sciname,comname
Alopias vulpinus,Thresher Shark
Ammodytes hexapterus,Pacific Sand Lance
Ardea herodias,Great Blue Heron
Balaenoptera acutorostrata,Minke Whale
Balaenoptera borealis,Sei Whale
Balaenoptera musculus,Blue Whale
Balaenoptera physalus,Fin Whale
Brachyramphus marmoratus,Marbled Murrelet
Branta canadensis,Canada Goose
Carcharodon carcharias,Great White Shark
Cetorhinus maximus,Basking Shark
Clupea pallasii,Pacific Herring
Delphinus delphis,Common Dophin
Dermochelys coriacea,Leatherback Turtle
Eretmochelys imbricata,Hawksbill Turtle
Eschrichtius robustus,Gray Whale
Galeocerdo cuvier,Tiger Shark
Gavia immer,Common Loon
Globicephala macrorhynchus,Short-Finned Pilot Whale
Grampus griseus,Risso's Dolphin
Haliaeetus leucocephalus,Bald Eagle
Hypomesus pretiosus,Surf Smelt
Isurus paucus,Longfin Mako
Kogia breviceps,Pygmy Sperm Whale
Lagenorhynchus obliquidens,White-Sided Dolphin
Megaptera novaeangliae,Humpback Whale
Mesoplodon densirostris,Blainville's Beaked Whale
Oncorhynchus gorbuscha,Pink Salmon
Oncorhynchus kisutch,Coho Salmon
Oncorhynchus nerka,Sockeye Salmon
Oncorhynchus tshawytscha,Chinook Salmon
Orcinus orca,Orca Whale
Phoca vitulina,Harbor Seal
Phocoena phocoena,Harbor Porpoise
Physeter macrocephalus,Sperm Whale
Prionace glauca,Blue Shark
Pseudorca crassidens,False Killer Whale
Stenella coeruleoalba,Striped Dolphin
Thaleichthys pacificus,Eulachon
Ziphius cavirostris,Cuvier's Beaked Whale
