year,cat_ts,cat_txt,iucn_sid,cat_ts_score
1996,VU,Vulnerable,233,0.4
2006,NT,Near Threatened,233,0.2
1996,NT,Lower Risk/near threatened,234,0.2
2004,LC,Least Concern,234,0.0
1996,NT,Lower Risk/near threatened,2474,0.2
2008,LC,Least Concern,2474,0.0
1994,VU,Vulnerable,2475,0.4
1996,EN,Endangered,2475,0.6
2008,EN,Endangered,2475,0.6
1965,CR,"""Very rare and believed to be decreasing in numbers""",2477,0.8
1986,EN,Endangered,2477,0.6
1988,EN,Endangered,2477,0.6
1990,EN,Endangered,2477,0.6
1994,EN,Endangered,2477,0.6
1996,EN,Endangered,2477,0.6
2008,EN,Endangered,2477,0.6
1965,T,"""Less rare but believed to be threatened-requires watching""",2478,0.6
1986,VU,Vulnerable,2478,0.4
1988,VU,Vulnerable,2478,0.4
1990,VU,Vulnerable,2478,0.4
1994,VU,Vulnerable,2478,0.4
1996,EN,Endangered,2478,0.6
2008,EN,Endangered,2478,0.6
2013,EN,Endangered,2478,0.6
1996,VU,Vulnerable,3590,0.4
2008,VU,Vulnerable,3590,0.4
2015,VU,Vulnerable,3590,0.4
1996,VU,Vulnerable,3855,0.4
2000,VU,Vulnerable,3855,0.4
2009,VU,Vulnerable,3855,0.4
1996,VU,Vulnerable,4292,0.4
2000,VU,Vulnerable,4292,0.4
2005,VU,Vulnerable,4292,0.4
1996,LC,Lower Risk/least concern,6336,0.0
2008,LC,Least Concern,6336,0.0
1982,EN,Endangered,8005,0.6
1986,EN,Endangered,8005,0.6
1988,EN,Endangered,8005,0.6
1990,EN,Endangered,8005,0.6
1994,EN,Endangered,8005,0.6
1996,CR,Critically Endangered,8005,0.8
2008,CR,Critically Endangered,8005,0.8
1996,CD,Lower Risk/conservation dependent,8097,0.3
2008,LC,Least Concern,8097,0.0
1994,VU,Vulnerable,8239,0.4
1996,EN,Endangered,8239,0.6
2008,EN,Endangered,8239,0.6
2012,NT,Near Threatened,8239,0.2
2016,NT,Near Threatened,8239,0.2
1996,LC,Lower Risk/least concern,8951,0.0
