rgn_id,year,stock,C_Ct
1,2009,CH AABM NC,0.78699
2,2009,CH AABM NC,0.78699
3,2009,CH AABM NC,0.78699
4,2009,CH AABM NC,0.78699
5,2009,CH AABM NC,0.78699
6,2009,CH AABM NC,0.78699
8,2009,CH AABM NC,0.78699
1,2010,CH AABM NC,0.8517
2,2010,CH AABM NC,0.8517
3,2010,CH AABM NC,0.8517
4,2010,CH AABM NC,0.8517
5,2010,CH AABM NC,0.8517
6,2010,CH AABM NC,0.8517
8,2010,CH AABM NC,0.8517
1,2011,CH AABM NC,0.65664
2,2011,CH AABM NC,0.65664
3,2011,CH AABM NC,0.65664
4,2011,CH AABM NC,0.65664
5,2011,CH AABM NC,0.65664
6,2011,CH AABM NC,0.65664
8,2011,CH AABM NC,0.65664
1,2012,CH AABM NC,0.80473
2,2012,CH AABM NC,0.80473
3,2012,CH AABM NC,0.80473
4,2012,CH AABM NC,0.80473
5,2012,CH AABM NC,0.80473
6,2012,CH AABM NC,0.80473
8,2012,CH AABM NC,0.80473
1,2013,CH AABM NC,0.52616
2,2013,CH AABM NC,0.52616
3,2013,CH AABM NC,0.52616
4,2013,CH AABM NC,0.52616
5,2013,CH AABM NC,0.52616
6,2013,CH AABM NC,0.52616
8,2013,CH AABM NC,0.52616
1,2014,CH AABM NC,0.82597
2,2014,CH AABM NC,0.82597
3,2014,CH AABM NC,0.82597
4,2014,CH AABM NC,0.82597
5,2014,CH AABM NC,0.82597
6,2014,CH AABM NC,0.82597
8,2014,CH AABM NC,0.82597
1,2015,CH AABM NC,0.64438
2,2015,CH AABM NC,0.64438
3,2015,CH AABM NC,0.64438
4,2015,CH AABM NC,0.64438
5,2015,CH AABM NC,0.64438
6,2015,CH AABM NC,0.64438
8,2015,CH AABM NC,0.64438
1,2009,CH AABM WCVI,1.36492
2,2009,CH AABM WCVI,1.36492
3,2009,CH AABM WCVI,1.36492
4,2009,CH AABM WCVI,1.36492
5,2009,CH AABM WCVI,1.36492
6,2009,CH AABM WCVI,1.36492
8,2009,CH AABM WCVI,1.36492
1,2010,CH AABM WCVI,0.97714
2,2010,CH AABM WCVI,0.97714
3,2010,CH AABM WCVI,0.97714
4,2010,CH AABM WCVI,0.97714
5,2010,CH AABM WCVI,0.97714
6,2010,CH AABM WCVI,0.97714
8,2010,CH AABM WCVI,0.97714
1,2011,CH AABM WCVI,1.51507
2,2011,CH AABM WCVI,1.51507
3,2011,CH AABM WCVI,1.51507
4,2011,CH AABM WCVI,1.51507
5,2011,CH AABM WCVI,1.51507
6,2011,CH AABM WCVI,1.51507
8,2011,CH AABM WCVI,1.51507
1,2012,CH AABM WCVI,1.18162
2,2012,CH AABM WCVI,1.18162
3,2012,CH AABM WCVI,1.18162
4,2012,CH AABM WCVI,1.18162
5,2012,CH AABM WCVI,1.18162
6,2012,CH AABM WCVI,1.18162
8,2012,CH AABM WCVI,1.18162
1,2013,CH AABM WCVI,0.63819
2,2013,CH AABM WCVI,0.63819
3,2013,CH AABM WCVI,0.63819
4,2013,CH AABM WCVI,0.63819
5,2013,CH AABM WCVI,0.63819
6,2013,CH AABM WCVI,0.63819
8,2013,CH AABM WCVI,0.63819
1,2014,CH AABM WCVI,0.98279
2,2014,CH AABM WCVI,0.98279
3,2014,CH AABM WCVI,0.98279
4,2014,CH AABM WCVI,0.98279
5,2014,CH AABM WCVI,0.98279
6,2014,CH AABM WCVI,0.98279
8,2014,CH AABM WCVI,0.98279
1,2015,CH AABM WCVI,0.64942
2,2015,CH AABM WCVI,0.64942
3,2015,CH AABM WCVI,0.64942
4,2015,CH AABM WCVI,0.64942
5,2015,CH AABM WCVI,0.64942
6,2015,CH AABM WCVI,0.64942
8,2015,CH AABM WCVI,0.64942
1,2016,CH AABM WCVI,0.95038
2,2016,CH AABM WCVI,0.95038
3,2016,CH AABM WCVI,0.95038
4,2016,CH AABM WCVI,0.95038
5,2016,CH AABM WCVI,0.95038
6,2016,CH AABM WCVI,0.95038
8,2016,CH AABM WCVI,0.95038
1,2005,FRS ES,NA
2,2005,FRS ES,NA
3,2005,FRS ES,NA
4,2005,FRS ES,NA
5,2005,FRS ES,NA
6,2005,FRS ES,NA
8,2005,FRS ES,NA
1,2006,FRS ES,NA
2,2006,FRS ES,NA
3,2006,FRS ES,NA
4,2006,FRS ES,NA
5,2006,FRS ES,NA
6,2006,FRS ES,NA
8,2006,FRS ES,NA
1,2007,FRS ES,0.6
2,2007,FRS ES,0.6
3,2007,FRS ES,0.6
4,2007,FRS ES,0.6
5,2007,FRS ES,0.6
6,2007,FRS ES,0.6
8,2007,FRS ES,0.6
1,2008,FRS ES,0.8
2,2008,FRS ES,0.8
3,2008,FRS ES,0.8
4,2008,FRS ES,0.8
5,2008,FRS ES,0.8
6,2008,FRS ES,0.8
8,2008,FRS ES,0.8
1,2009,FRS ES,1
2,2009,FRS ES,1
3,2009,FRS ES,1
4,2009,FRS ES,1
5,2009,FRS ES,1
6,2009,FRS ES,1
8,2009,FRS ES,1
1,2010,FRS ES,0.6
2,2010,FRS ES,0.6
3,2010,FRS ES,0.6
4,2010,FRS ES,0.6
5,2010,FRS ES,0.6
6,2010,FRS ES,0.6
8,2010,FRS ES,0.6
1,2011,FRS ES,0.8
2,2011,FRS ES,0.8
3,2011,FRS ES,0.8
4,2011,FRS ES,0.8
5,2011,FRS ES,0.8
6,2011,FRS ES,0.8
8,2011,FRS ES,0.8
1,2012,FRS ES,0.5
2,2012,FRS ES,0.5
3,2012,FRS ES,0.5
