year,rgn_id,n_cells
-1,1,2
1886,1,0
1911,1,0
1913,1,0
1914,1,0
1920,1,0
1921,1,0
1922,1,0
1923,1,0
1927,1,0
1928,1,0
1931,1,0
1934,1,0
1936,1,0
1937,1,0
1938,1,0
1939,1,0
1940,1,0
1941,1,0
1943,1,0
1944,1,0
1946,1,0
1947,1,0
1948,1,0
1949,1,0
1950,1,0
1951,1,0
1953,1,0
1954,1,0
1955,1,0
1956,1,0
1957,1,0
1958,1,0
1959,1,0
1960,1,0
1961,1,0
1962,1,0
1963,1,0
1964,1,0
1965,1,0
1966,1,0
1967,1,0
1968,1,0
1969,1,0
1970,1,0
1971,1,155
1972,1,0
1973,1,0
1974,1,0
1975,1,0
1976,1,0
1977,1,0
1978,1,0
1979,1,0
1980,1,11
1981,1,8
1982,1,0
1983,1,0
1984,1,0
1985,1,0
1986,1,0
1987,1,1
1988,1,0
1989,1,0
1990,1,0
1991,1,25
1992,1,0
1993,1,122
1994,1,447
1995,1,0
1996,1,0
1997,1,0
1998,1,0
1999,1,0
2000,1,0
2001,1,0
2002,1,0
2003,1,0
2004,1,932
2005,1,6
2006,1,4946
2007,1,439
2008,1,3158
2009,1,0
2010,1,0
2011,1,0
2012,1,0
2013,1,0
NA,1,44706
-1,2,0
1886,2,0
1911,2,0
1913,2,0
1914,2,0
1920,2,0
1921,2,0
1922,2,0
1923,2,0
1927,2,0
1928,2,0
1931,2,0
1934,2,0
1936,2,0
1937,2,0
1938,2,0
1939,2,0
1940,2,0
1941,2,0
1943,2,0
1944,2,0
1946,2,0
1947,2,0
1948,2,0
1949,2,0
1950,2,0
1951,2,0
1953,2,0
1954,2,0
1955,2,0
1956,2,0
1957,2,0
1958,2,0
1959,2,0
1960,2,0
1961,2,0
1962,2,0
1963,2,0
1964,2,0
1965,2,0
1966,2,0
1967,2,0
1968,2,0
1969,2,0
1970,2,0
1971,2,26
1972,2,0
1973,2,2195
1974,2,0
1975,2,0
1976,2,0
1977,2,0
1978,2,0
1979,2,0
1980,2,0
1981,2,5
1982,2,0
1983,2,0
1984,2,0
1985,2,0
1986,2,0
1987,2,0
1988,2,0
1989,2,0
1990,2,0
1991,2,0
1992,2,0
1993,2,0
1994,2,0
1995,2,0
1996,2,5898
1997,2,0
1998,2,0
1999,2,0
2000,2,0
2001,2,0
2002,2,0
2003,2,0
2004,2,0
2005,2,0
2006,2,0
2007,2,0
2008,2,8317
2009,2,0
2010,2,1
2011,2,0
2012,2,0
2013,2,0
NA,2,15493
-1,3,0
1886,3,0
1911,3,0
1913,3,0
1914,3,0
1920,3,0
1921,3,0
1922,3,0
1923,3,0
1927,3,0
1928,3,0
1931,3,0
1934,3,0
1936,3,0
1937,3,0
1938,3,0
1939,3,0
1940,3,0
1941,3,0
1943,3,0
1944,3,0
1946,3,0
1947,3,0
1948,3,0
1949,3,0
1950,3,0
1951,3,0
1953,3,0
1954,3,0
1955,3,0
1956,3,0
1957,3,0
1958,3,0
1959,3,0
1960,3,0
1961,3,0
1962,3,0
1963,3,0
1964,3,0
1965,3,0
1966,3,0
1967,3,0
1968,3,0
1969,3,0
1970,3,0
1971,3,0
1972,3,0
1973,3,0
1974,3,0
1975,3,0
1976,3,0
1977,3,0
1978,3,0
1979,3,0
1980,3,0
1981,3,0
1982,3,0
1983,3,0
1984,3,0
1985,3,0
1986,3,0
1987,3,2440
1988,3,0
1989,3,0
1990,3,0
1991,3,0
1992,3,64
1993,3,0
1994,3,0
1995,3,0
1996,3,0
1997,3,0
1998,3,0
1999,3,0
2000,3,0
2001,3,0
2002,3,0
2003,3,0
2004,3,0
2005,3,0
2006,3,5969
2007,3,2345
2008,3,8477
2009,3,0
2010,3,0
2011,3,0
2012,3,0
2013,3,0
NA,3,32078
-1,4,18
1886,4,0
1911,4,0
1913,4,0
1914,4,0
1920,4,0
1921,4,0
1922,4,0
1923,4,0
1927,4,0
1928,4,0
1931,4,0
1934,4,0
1936,4,0
1937,4,0
1938,4,0
1939,4,0
1940,4,28
1941,4,0
1943,4,0
1944,4,0
1946,4,0
1947,4,0
1948,4,0
1949,4,0
1950,4,0
1951,4,0
1953,4,0
1954,4,0
1955,4,0
1956,4,0
1957,4,0
1958,4,0
1959,4,0
1960,4,0
1961,4,0
1962,4,0
1963,4,0
1964,4,0
1965,4,0
1966,4,0
1967,4,0
1968,4,0
1969,4,0
1970,4,15
1971,4,4
1972,4,0
1973,4,666
1974,4,13
1975,4,0
1976,4,0
1977,4,0
1978,4,0
1979,4,0
1980,4,0
1981,4,0
1982,4,22
1983,4,0
1984,4,0
1985,4,0
1986,4,349
1987,4,0
1988,4,6
1989,4,28
1990,4,22
1991,4,0
1992,4,97
1993,4,0
1994,4,0
1995,4,296
1996,4,189
1997,4,11
1998,4,0
1999,4,0
2000,4,0
2001,4,1
2002,4,0
2003,4,0
2004,4,0
2005,4,0
2006,4,1348
2007,4,658
2008,4,11
2009,4,176
2010,4,0
2011,4,0
2012,4,0
2013,4,4
NA,4,46116
-1,5,25
1886,5,0
1911,5,874
1913,5,0
1914,5,0
1920,5,0
1921,5,0
1922,5,0
1923,5,0
1927,5,0
1928,5,17
1931,5,0
1934,5,0
1936,5,0
1937,5,0
1938,5,0
1939,5,0
1940,5,0
1941,5,0
1943,5,0
1944,5,0
1946,5,0
1947,5,0
1948,5,0
1949,5,0
1950,5,0
1951,5,0
1953,5,0
1954,5,0
1955,5,50
1956,5,0
1957,5,0
1958,5,0
1959,5,0
1960,5,0
1961,5,0
1962,5,0
1963,5,0
1964,5,0
1965,5,0
1966,5,0
1967,5,6
1968,5,0
1969,5,0
1970,5,0
1971,5,2
1972,5,0
1973,5,0
1974,5,7
1975,5,0
1976,5,3
1977,5,0
1978,5,0
1979,5,0
1980,5,0
1981,5,20
1982,5,0
1983,5,0
1984,5,0
1985,5,0
1986,5,1084
1987,5,0
1988,5,3
1989,5,7
1990,5,0
1991,5,564
1992,5,0
1993,5,0
1994,5,0
1995,5,810
1996,5,134
1997,5,15
1998,5,0
1999,5,0
2000,5,0
2001,5,1000
2002,5,0
2003,5,0
2004,5,1
2005,5,0
2006,5,0
2007,5,0
2008,5,0
2009,5,0
2010,5,0
2011,5,162
2012,5,0
2013,5,0
NA,5,29078
-1,6,10
1886,6,0
1911,6,0
1913,6,0
1914,6,0
1920,6,0
1921,6,8
1922,6,0
1923,6,0
1927,6,0
1928,6,0
1931,6,0
1934,6,0
1936,6,144
1937,6,0
1938,6,8
1939,6,0
1940,6,22
1941,6,0
1943,6,0
1944,6,1
1946,6,0
1947,6,5
1948,6,0
1949,6,1
1950,6,6
1951,6,0
1953,6,0
1954,6,1
1955,6,0
1956,6,4
1957,6,4
1958,6,17
1959,6,15
1960,6,1
1961,6,16
1962,6,4
1963,6,4
1964,6,0
1965,6,40
1966,6,7
1967,6,9
1968,6,0
1969,6,4
1970,6,0
1971,6,307
1972,6,22
1973,6,232
1974,6,22
1975,6,118
1976,6,12
1977,6,4
1978,6,2
1979,6,0
1980,6,5
1981,6,4
1982,6,109
1983,6,0
1984,6,4
1985,6,0
1986,6,19
1987,6,0
1988,6,13
1989,6,28
1990,6,12
1991,6,6
1992,6,1
1993,6,54
1994,6,0
1995,6,613
1996,6,16
1997,6,66
1998,6,19
1999,6,182
2000,6,7
2001,6,44
2002,6,5
2003,6,115
2004,6,33
2005,6,0
2006,6,0
2007,6,25
2008,6,0
2009,6,2
2010,6,0
2011,6,0
2012,6,0
2013,6,23
NA,6,40144
-1,8,0
1886,8,0
1911,8,0
1913,8,0
1914,8,0
1920,8,0
1921,8,0
1922,8,0
1923,8,0
1927,8,0
1928,8,0
1931,8,0
1934,8,0
1936,8,0
1937,8,0
1938,8,0
1939,8,0
1940,8,0
1941,8,0
1943,8,0
1944,8,0
1946,8,0
1947,8,0
1948,8,0
1949,8,0
1950,8,0
1951,8,0
1953,8,0
1954,8,0
1955,8,0
1956,8,0
1957,8,0
1958,8,0
1959,8,0
1960,8,0
1961,8,0
1962,8,0
1963,8,0
1964,8,0
1965,8,0
1966,8,0
1967,8,0
1968,8,0
1969,8,0
1970,8,0
1971,8,0
1972,8,0
1973,8,0
1974,8,0
1975,8,0
1976,8,0
1977,8,0
1978,8,0
1979,8,0
1980,8,0
1981,8,0
1982,8,0
1983,8,0
1984,8,0
1985,8,0
1986,8,0
1987,8,0
1988,8,0
1989,8,0
1990,8,0
1991,8,0
1992,8,0
1993,8,0
1994,8,0
1995,8,0
1996,8,0
1997,8,0
1998,8,0
1999,8,0
2000,8,0
2001,8,0
2002,8,0
2003,8,0
2004,8,0
2005,8,0
2006,8,1056
2007,8,0
2008,8,0
2009,8,0
2010,8,0
2011,8,0
2012,8,0
2013,8,0
NA,8,3495
-1,NA,734
1886,NA,10592
1911,NA,9165
1913,NA,9049
1914,NA,1048
1920,NA,5523
1921,NA,0
1922,NA,2838
1923,NA,17
1927,NA,7555
1928,NA,0
1931,NA,1
1934,NA,13
1936,NA,4
1937,NA,6
1938,NA,39506
1939,NA,21631
1940,NA,407
1941,NA,4368
1943,NA,62
1944,NA,0
1946,NA,2
1947,NA,11
1948,NA,108
1949,NA,0
1950,NA,1
1951,NA,5
1953,NA,1
1954,NA,0
1955,NA,129
1956,NA,231
1957,NA,4489
1958,NA,5
1959,NA,28
1960,NA,43
1961,NA,5599
1962,NA,935
1963,NA,426
1964,NA,76
1965,NA,264
1966,NA,124
1967,NA,2494
1968,NA,1593
1969,NA,587
1970,NA,21
1971,NA,1827
1972,NA,10920
1973,NA,25018
1974,NA,8174
1975,NA,30090
1976,NA,0
1977,NA,497
1978,NA,241
1979,NA,44
1980,NA,54
1981,NA,4492
1982,NA,942
1983,NA,2014
1984,NA,1265
1985,NA,2307
1986,NA,29559
1987,NA,18988
1988,NA,96
1989,NA,69
1990,NA,40
1991,NA,125
1992,NA,1188
1993,NA,38169
1994,NA,11088
1995,NA,32368
1996,NA,22633
1997,NA,2823
1998,NA,3568
1999,NA,22477
2000,NA,8190
2001,NA,52722
2002,NA,3
2003,NA,522
2004,NA,2589
2005,NA,102
2006,NA,6364
2007,NA,3848
2008,NA,57873
2009,NA,923
2010,NA,17085
2011,NA,420
2012,NA,17329
2013,NA,11117
NA,NA,9985614
