year,rgn_id,n_cells,n_cells_tot,n_cells_cum,a_tot_km2,a_prot_km2,pct_prot,lsp_status,rgn_name,rgn_code
1990,1,0,54958,177,13739.5,44.25,0.0032,0.01,North Coast,NC
1991,1,25,54958,202,13739.5,50.5,0.0037,0.01,North Coast,NC
1992,1,0,54958,202,13739.5,50.5,0.0037,0.01,North Coast,NC
1993,1,122,54958,324,13739.5,81,0.0059,0.02,North Coast,NC
1994,1,447,54958,771,13739.5,192.75,0.014,0.05,North Coast,NC
1995,1,0,54958,771,13739.5,192.75,0.014,0.05,North Coast,NC
1996,1,0,54958,771,13739.5,192.75,0.014,0.05,North Coast,NC
1997,1,0,54958,771,13739.5,192.75,0.014,0.05,North Coast,NC
1998,1,0,54958,771,13739.5,192.75,0.014,0.05,North Coast,NC
1999,1,0,54958,771,13739.5,192.75,0.014,0.05,North Coast,NC
2e3,1,0,54958,771,13739.5,192.75,0.014,0.05,North Coast,NC
2001,1,0,54958,771,13739.5,192.75,0.014,0.05,North Coast,NC
2002,1,0,54958,771,13739.5,192.75,0.014,0.05,North Coast,NC
2003,1,0,54958,771,13739.5,192.75,0.014,0.05,North Coast,NC
2004,1,932,54958,1703,13739.5,425.75,0.031,0.1,North Coast,NC
2005,1,6,54958,1709,13739.5,427.25,0.0311,0.1,North Coast,NC
2006,1,4946,54958,6655,13739.5,1663.75,0.1211,0.4,North Coast,NC
2007,1,439,54958,7094,13739.5,1773.5,0.1291,0.43,North Coast,NC
2008,1,3158,54958,10252,13739.5,2563,0.1865,0.62,North Coast,NC
2009,1,0,54958,10252,13739.5,2563,0.1865,0.62,North Coast,NC
2010,1,0,54958,10252,13739.5,2563,0.1865,0.62,North Coast,NC
2011,1,0,54958,10252,13739.5,2563,0.1865,0.62,North Coast,NC
2012,1,0,54958,10252,13739.5,2563,0.1865,0.62,North Coast,NC
2013,1,0,54958,10252,13739.5,2563,0.1865,0.62,North Coast,NC
2014,1,NA,54958,10252,13739.5,2563,0.1865,0.62,North Coast,NC
2015,1,103,54958,10355,13739.5,2588.75,0.1884,0.63,North Coast,NC
2016,1,NA,54958,10355,13739.5,2588.75,0.1884,0.63,North Coast,NC
1990,2,0,31935,2226,7983.75,556.5,0.0697,0.23,Haida Gwaii,HG
1991,2,0,31935,2226,7983.75,556.5,0.0697,0.23,Haida Gwaii,HG
1992,2,0,31935,2226,7983.75,556.5,0.0697,0.23,Haida Gwaii,HG
1993,2,0,31935,2226,7983.75,556.5,0.0697,0.23,Haida Gwaii,HG
