year,rgn_id,n_cells,n_cells_tot,n_cells_cum,a_tot_km2,a_prot_km2,pct_prot,lsp_status,rgn_name
1980,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1981,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1982,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1983,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1984,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1985,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1986,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1987,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1988,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1989,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1990,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1991,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1992,1,0,31899,25,7974.75,6.25,8e-4,0,North Coast
1993,1,28,31899,53,7974.75,13.25,0.0017,0.01,North Coast
1994,1,21,31899,74,7974.75,18.5,0.0023,0.01,North Coast
1995,1,0,31899,74,7974.75,18.5,0.0023,0.01,North Coast
1996,1,0,31899,74,7974.75,18.5,0.0023,0.01,North Coast
1997,1,0,31899,74,7974.75,18.5,0.0023,0.01,North Coast
1998,1,0,31899,74,7974.75,18.5,0.0023,0.01,North Coast
1999,1,0,31899,74,7974.75,18.5,0.0023,0.01,North Coast
2e3,1,0,31899,74,7974.75,18.5,0.0023,0.01,North Coast
2001,1,0,31899,74,7974.75,18.5,0.0023,0.01,North Coast
2002,1,0,31899,74,7974.75,18.5,0.0023,0.01,North Coast
2003,1,0,31899,74,7974.75,18.5,0.0023,0.01,North Coast
2004,1,91,31899,165,7974.75,41.25,0.0052,0.02,North Coast
2005,1,0,31899,165,7974.75,41.25,0.0052,0.02,North Coast
2006,1,1193,31899,1358,7974.75,339.5,0.0426,0.14,North Coast
2007,1,35,31899,1393,7974.75,348.25,0.0437,0.15,North Coast
2008,1,800,31899,2193,7974.75,548.25,0.0687,0.23,North Coast
2009,1,0,31899,2193,7974.75,548.25,0.0687,0.23,North Coast
2010,1,0,31899,2193,7974.75,548.25,0.0687,0.23,North Coast
2011,1,0,31899,2193,7974.75,548.25,0.0687,0.23,North Coast
2012,1,0,31899,2193,7974.75,548.25,0.0687,0.23,North Coast
2013,1,0,31899,2193,7974.75,548.25,0.0687,0.23,North Coast
2014,1,NA,31899,2193,7974.75,548.25,0.0687,0.23,North Coast
2015,1,8673,31899,10866,7974.75,2716.5,0.3406,1,North Coast
2016,1,NA,31899,10866,7974.75,2716.5,0.3406,1,North Coast
1980,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1981,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1982,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1983,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1984,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1985,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1986,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1987,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1988,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1989,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1990,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1991,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1992,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1993,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1994,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1995,2,0,26821,147,6705.25,36.75,0.0055,0.02,Haida Gwaii
1996,2,25,26821,172,6705.25,43,0.0064,0.02,Haida Gwaii
1997,2,0,26821,172,6705.25,43,0.0064,0.02,Haida Gwaii
1998,2,0,26821,172,6705.25,43,0.0064,0.02,Haida Gwaii
1999,2,0,26821,172,6705.25,43,0.0064,0.02,Haida Gwaii
2e3,2,0,26821,172,6705.25,43,0.0064,0.02,Haida Gwaii
2001,2,0,26821,172,6705.25,43,0.0064,0.02,Haida Gwaii
2002,2,0,26821,172,6705.25,43,0.0064,0.02,Haida Gwaii
2003,2,0,26821,172,6705.25,43,0.0064,0.02,Haida Gwaii
2004,2,0,26821,172,6705.25,43,0.0064,0.02,Haida Gwaii
2005,2,0,26821,172,6705.25,43,0.0064,0.02,Haida Gwaii
2006,2,0,26821,172,6705.25,43,0.0064,0.02,Haida Gwaii
2007,2,0,26821,172,6705.25,43,0.0064,0.02,Haida Gwaii
2008,2,6527,26821,6699,6705.25,1674.75,0.2498,0.83,Haida Gwaii
2009,2,0,26821,6699,6705.25,1674.75,0.2498,0.83,Haida Gwaii
2010,2,9148,26821,15847,6705.25,3961.75,0.5908,1,Haida Gwaii
2011,2,0,26821,15847,6705.25,3961.75,0.5908,1,Haida Gwaii
2012,2,0,26821,15847,6705.25,3961.75,0.5908,1,Haida Gwaii
2013,2,0,26821,15847,6705.25,3961.75,0.5908,1,Haida Gwaii
2014,2,NA,26821,15847,6705.25,3961.75,0.5908,1,Haida Gwaii
2015,2,3185,26821,19032,6705.25,4758,0.7096,1,Haida Gwaii
2016,2,NA,26821,19032,6705.25,4758,0.7096,1,Haida Gwaii
1980,3,0,20562,37,5140.5,9.25,0.0018,0.01,Central Coast
1981,3,0,20562,37,5140.5,9.25,0.0018,0.01,Central Coast
1982,3,0,20562,37,5140.5,9.25,0.0018,0.01,Central Coast
1983,3,0,20562,37,5140.5,9.25,0.0018,0.01,Central Coast
1984,3,0,20562,37,5140.5,9.25,0.0018,0.01,Central Coast
1985,3,0,20562,37,5140.5,9.25,0.0018,0.01,Central Coast
1986,3,0,20562,37,5140.5,9.25,0.0018,0.01,Central Coast
1987,3,299,20562,336,5140.5,84,0.0163,0.05,Central Coast
1988,3,0,20562,336,5140.5,84,0.0163,0.05,Central Coast
1989,3,0,20562,336,5140.5,84,0.0163,0.05,Central Coast
1990,3,0,20562,336,5140.5,84,0.0163,0.05,Central Coast
1991,3,0,20562,336,5140.5,84,0.0163,0.05,Central Coast
1992,3,62,20562,398,5140.5,99.5,0.0194,0.06,Central Coast
1993,3,0,20562,398,5140.5,99.5,0.0194,0.06,Central Coast
1994,3,0,20562,398,5140.5,99.5,0.0194,0.06,Central Coast
1995,3,0,20562,398,5140.5,99.5,0.0194,0.06,Central Coast
1996,3,0,20562,398,5140.5,99.5,0.0194,0.06,Central Coast
1997,3,0,20562,398,5140.5,99.5,0.0194,0.06,Central Coast
1998,3,0,20562,398,5140.5,99.5,0.0194,0.06,Central Coast
1999,3,0,20562,398,5140.5,99.5,0.0194,0.06,Central Coast
2e3,3,0,20562,398,5140.5,99.5,0.0194,0.06,Central Coast
2001,3,0,20562,398,5140.5,99.5,0.0194,0.06,Central Coast
2002,3,0,20562,398,5140.5,99.5,0.0194,0.06,Central Coast
2003,3,0,20562,398,5140.5,99.5,0.0194,0.06,Central Coast
