rgn_id,year,rgn_name,lsp_st_inland,a_prot_inland,a_tot_inland,lsp_st_3nm,a_prot_3nm,a_tot_3nm,lsp_status
1,1990,North Coast,0.01,44.25,13739.5,0,6.25,7974.75,0.005
1,1991,North Coast,0.01,50.5,13739.5,0,6.25,7974.75,0.005
1,1992,North Coast,0.01,50.5,13739.5,0,6.25,7974.75,0.005
1,1993,North Coast,0.02,81,13739.5,0.01,13.25,7974.75,0.015
1,1994,North Coast,0.05,192.75,13739.5,0.01,18.5,7974.75,0.030000000000000002
1,1995,North Coast,0.05,192.75,13739.5,0.01,18.5,7974.75,0.030000000000000002
1,1996,North Coast,0.05,192.75,13739.5,0.01,18.5,7974.75,0.030000000000000002
1,1997,North Coast,0.05,192.75,13739.5,0.01,18.5,7974.75,0.030000000000000002
1,1998,North Coast,0.05,192.75,13739.5,0.01,18.5,7974.75,0.030000000000000002
1,1999,North Coast,0.05,192.75,13739.5,0.01,18.5,7974.75,0.030000000000000002
1,2e3,North Coast,0.05,192.75,13739.5,0.01,18.5,7974.75,0.030000000000000002
1,2001,North Coast,0.05,192.75,13739.5,0.01,18.5,7974.75,0.030000000000000002
1,2002,North Coast,0.05,192.75,13739.5,0.01,18.5,7974.75,0.030000000000000002
1,2003,North Coast,0.05,192.75,13739.5,0.01,18.5,7974.75,0.030000000000000002
1,2004,North Coast,0.1,425.75,13739.5,0.02,41.25,7974.75,0.060000000000000005
1,2005,North Coast,0.1,427.25,13739.5,0.02,41.25,7974.75,0.060000000000000005
1,2006,North Coast,0.4,1663.75,13739.5,0.14,339.5,7974.75,0.27
1,2007,North Coast,0.43,1773.5,13739.5,0.15,348.25,7974.75,0.29
1,2008,North Coast,0.62,2563,13739.5,0.23,548.25,7974.75,0.425
1,2009,North Coast,0.62,2563,13739.5,0.23,548.25,7974.75,0.425
1,2010,North Coast,0.62,2563,13739.5,0.23,548.25,7974.75,0.425
1,2011,North Coast,0.62,2563,13739.5,0.23,548.25,7974.75,0.425
1,2012,North Coast,0.62,2563,13739.5,0.23,548.25,7974.75,0.425
1,2013,North Coast,0.62,2563,13739.5,0.23,548.25,7974.75,0.425
1,2014,North Coast,0.62,2563,13739.5,0.23,548.25,7974.75,0.425
1,2015,North Coast,0.63,2588.75,13739.5,1,2716.5,7974.75,0.815
1,2016,North Coast,0.63,2588.75,13739.5,1,2716.5,7974.75,0.815
2,1990,Haida Gwaii,0.23,556.5,7983.75,0.02,36.75,6705.25,0.125
2,1991,Haida Gwaii,0.23,556.5,7983.75,0.02,36.75,6705.25,0.125
2,1992,Haida Gwaii,0.23,556.5,7983.75,0.02,36.75,6705.25,0.125
2,1993,Haida Gwaii,0.23,556.5,7983.75,0.02,36.75,6705.25,0.125
2,1994,Haida Gwaii,0.23,556.5,7983.75,0.02,36.75,6705.25,0.125
2,1995,Haida Gwaii,0.23,556.5,7983.75,0.02,36.75,6705.25,0.125
2,1996,Haida Gwaii,0.85,2031,7983.75,0.02,43,6705.25,0.435
2,1997,Haida Gwaii,0.85,2031,7983.75,0.02,43,6705.25,0.435
2,1998,Haida Gwaii,0.85,2031,7983.75,0.02,43,6705.25,0.435
2,1999,Haida Gwaii,0.85,2031,7983.75,0.02,43,6705.25,0.435
2,2e3,Haida Gwaii,0.85,2031,7983.75,0.02,43,6705.25,0.435
