rgn_id,year,med_inc_min,income_lower_ref
1,1996,32640.286148157404,32640
1,1997,NA,32401
1,1998,NA,32161
1,1999,NA,31921
1,2000,NA,31682
1,2001,31442.245398773008,31442
1,2002,NA,29477
1,2003,NA,27512
1,2004,NA,25547
1,2005,NA,23582
1,2006,21617.33455545371,21617
1,2007,NA,23026
1,2008,NA,24435
1,2009,NA,25844
1,2010,NA,27253
1,2011,28662.435362802335,28662
1,2012,NA,28972
1,2013,NA,29281
1,2014,NA,29590
1,2015,NA,29899
1,2016,30208,30208
2,1996,37262.754417694145,37263
2,1997,NA,38448
2,1998,NA,39633
2,1999,NA,40818
2,2000,NA,42003
2,2001,43188.61349693252,43189
2,2002,NA,41202
2,2003,NA,39215
2,2004,NA,37228
2,2005,NA,35241
2,2006,33254.540788267645,33255
2,2007,NA,32995
2,2008,NA,32735
2,2009,NA,32476
2,2010,NA,32216
2,2011,31956.500417014176,31957
2,2012,NA,31607
2,2013,NA,31257
2,2014,NA,30907
2,2015,NA,30558
2,2016,30208,30208
3,1996,31225.24484115636,31225
3,1997,NA,31416
3,1998,NA,31608
3,1999,NA,31799
3,2000,NA,31990
3,2001,32181.398773006138,32181
3,2002,NA,31183
3,2003,NA,30185
3,2004,NA,29187
3,2005,NA,28189
3,2006,27191.142071494043,27191
3,2007,NA,27306
3,2008,NA,27422
3,2009,NA,27537
3,2010,NA,27652
3,2011,27767.169307756463,27767
3,2012,NA,29420
3,2013,NA,31073
3,2014,NA,32726
3,2015,NA,34379
3,2016,36032,36032
4,1996,28772.506575687883,28773
4,1997,NA,29824
4,1998,NA,30875
4,1999,NA,31927
4,2000,NA,32978
4,2001,34029.93865030675,34030
4,2002,NA,32564
4,2003,NA,31099
4,2004,NA,29633
4,2005,NA,28167
4,2006,26701.55087076077,26702
4,2007,NA,26850
4,2008,NA,26998
4,2009,NA,27146
4,2010,NA,27294
4,2011,27441.61801501251,27442
4,2012,NA,27905
4,2013,NA,28369
4,2014,NA,28833
4,2015,NA,29296
4,2016,29760,29760
5,1996,35187.36050075928,35187
5,1997,NA,36650
5,1998,NA,38112
5,1999,NA,39575
5,2000,NA,41037
5,2001,42499.34969325153,42499
5,2002,NA,41099
5,2003,NA,39698
5,2004,NA,38297
5,2005,NA,36896
5,2006,35495.36205316224,35495
5,2007,NA,34321
5,2008,NA,33147
5,2009,NA,31973
5,2010,NA,30798
5,2011,29624.096747289408,29624
5,2012,NA,28845
5,2013,NA,28066
5,2014,NA,27286
5,2015,NA,26507
5,2016,25728,25728
6,1996,25817.133845961747,25817
6,1997,NA,24243
6,1998,NA,22668
6,1999,NA,21094
6,2000,NA,19519
6,2001,17944.490797546012,17944
6,2002,NA,18215
6,2003,NA,18485
6,2004,NA,18755
6,2005,NA,19025
6,2006,19295.307057745187,19295
6,2007,NA,19644
6,2008,NA,19992
6,2009,NA,20341
6,2010,NA,20689
6,2011,21037.68140116764,21038
6,2012,NA,21496
6,2013,NA,21954
6,2014,NA,22412
6,2015,NA,22870
6,2016,23328,23328
