html,link,link_area,area_name
"<p><b>Select a BC region, statistical area or herring section listed below...</b><br>",NA,"<p><b>Select a BC region, statistical area or herring section listed below...</b><br>",NA
Sélectionnez une région de C.-B. ou secteur statistique ou section de hareng...,NA,Sélectionnez une région de C.-B. ou secteur statistique ou section de hareng...,NA
"<a href=""reg1roll-eng.html"">Region 1</a> - Haida Gwaii (HG) Haida Gwaii",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/reg1roll-eng.html,Region 1,Haida Gwaii (HG) Haida Gwaii
"<a href=""reg2roll-eng.html"">Region 2</a> - Prince Rupert District (PRD) District de Prince Rupert",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/reg2roll-eng.html,Region 2,Prince Rupert District (PRD) District de Prince Rupert
"<a href=""reg3roll-eng.html"">Region 3</a> - Central Coast (CC) Côte Centrale",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/reg3roll-eng.html,Region 3,Central Coast (CC) Côte Centrale
"<a href=""reg4roll-eng.html"">Region 4</a> - Johnstone Strait (JSTR) Détroit de Johnstone",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/reg4roll-eng.html,Region 4,Johnstone Strait (JSTR) Détroit de Johnstone
"<a href=""reg5roll-eng.html"">Region 5</a> - Strait of Georgia (SOG) Détroit de Géorgie",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/reg5roll-eng.html,Region 5,Strait of Georgia (SOG) Détroit de Géorgie
"<a href=""reg6roll-eng.html"">Region 6</a> - West Coast Vancouver Island (WCVI) Côte ouest de l’île de Vancouver - SA 21 to 27",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/reg6roll-eng.html,Region 6,West Coast Vancouver Island (WCVI) Côte ouest de l’île de Vancouver - SA 21 to 27
<b>STATISTICAL AREA SPAWN TABLES (1940-2016) Tableaux de Pontes de Secteurs Statistique</b><br><br>,NA,<b>STATISTICAL AREA SPAWN TABLES (1940-2016) Tableaux de Pontes de Secteurs Statistique</b><br><br>,NA
"<a href=""sta00rol-eng.html"">Statistical Area 2W</a>, West Coast Haida Gwaii - Côte Ouest de Haida Gwaii",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta00rol-eng.html,Statistical Area 2W,West Coast Haida Gwaii - Côte Ouest de Haida Gwaii
