order_no,issued_date,revoked_date,closes_area,species,closure_type
PTN-2008-295,2008-10-10,2008-10-21,Area 1,All B.M.,biotoxins
PTN-2008-296,2008-10-16,2008-10-17,"Area 23, except SA 23-4, 23-6",All B.M.,biotoxins
PTN-2008-297,2008-10-16,2008-10-17,SA 23-4 and 23-6,"All BM except g.ducks, h. clams, butter clams, scallops",biotoxins
PTN-2008-298,2008-10-17,2008-10-24,"Areas 3 to 10, except SA 4-2 and 4-13",All B.M.,biotoxins
PTN-2008-299,2008-10-17,2008-10-31,"Area 12, Area 13, except SA 13-1 to 13-12, 13-15 to 13-17, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-5), Areas 16 to 29 (except SA 17-20, 23-6 and 29-5)",Scallops,biotoxins
PTN-2008-300,2008-10-17,2008-10-31,"Area 23, except SA 23-4 and portion of 23-6 (Effingham Inlet)",All B.M.,biotoxins
PTN-2008-301,2008-10-17,2008-10-31,SA 23-4 and portion of 23-6 (Effingham Inlet),"Gducks, horseclams, butter clams, scallops",biotoxins
PTN-2008-302,2008-10-17,2009-06-26,"Areas 13 to 29, except SA 14-7 and 14-11",butter clams,biotoxins
PTN-2008-303,2008-10-21,2009-01-09,"Area 1, except SA 1-5",All B.M.,biotoxins
PTN-2008-304,2008-10-21,2009-01-09,"Area 1, except SA 1-5","All B.M., except razor clams",biotoxins
PTN-2008-305,2008-10-21,2008-10-30,Area 2,All B.M.,biotoxins
PTN-2008-306,2008-10-22,2008-11-28,"Area 25, except SA 25-1 to 25-6 and 25-8",All B.M.,biotoxins
PTN-2008-307,2008-10-22,2008-11-28,SA 25-4 to 25-6 and 25-8,All B.M. except Geo and HC,biotoxins
PTN-2008-308,2008-10-24,2008-10-29,"Area 24, except SA 24-4 to 24—9, 24-13, 24-14",All B.M.,biotoxins
PTN-2008-309,2008-10-24,2008-10-29,"SA 24-4 to 24-7, 24-13, 24-14",All B.M. except gducks and horseclams,biotoxins
PTN-2008-310,2008-10-24,2008-10-30,"Areas 3 to 10, except SA 4-2, 4-10 and 4-13",All B.M.,biotoxins
PTN-2008-311,2008-10-24,2009-04-01,SA 4-10 except Digby Island,All B.M.,biotoxins
