rgn_id,csdtype,pop
1,CY,24714.524421673654
1,DM,8912.131695577595
1,IRI,2436.306647212416
1,NL,742.0398144923421
1,RDA,7351.800543259017
2,IRI,1435.3553176413054
2,RDA,905.0994065345343
2,VL,1987.5696713523375
3,IRI,2259.2236372548737
3,RDA,1365.9892852578719
4,CY,18795.884731736827
4,DM,4183.904484383887
4,IRI,2336.893483610898
4,RDA,4083.910725887364
4,T,2364.594321829905
4,VL,1479.972054278973
5,CY,145197.50989521097
5,DM,156577.33776663095
5,IRI,4937.957011245071
5,RDA,14226.252555230989
5,T,10315.827828052588
5,VL,1576.2717526073538
6,CY,2482166.7595158727
6,DM,512661.28793996613
6,IGD,696.2370160005403
6,IM,3690.5453566615247
6,IRI,27318.71058631944
6,RDA,164119.8358096147
6,T,51134.361565206156
6,VL,12040.920559071952
8,RDA,1.0098624992431995
