lic_area,desc,pfma,rgn_id
bc interior,"dfo organizational area established in 2001. includes that portion of management areas 29 above the sawmill creek confluence with the fraser river, and the watersheds which drain into this area portion.",29,6
clam area b,johnstone strait - area 13 and all intertidal zones surrounding cortes island and twin islands in subareas 15-3 and 15-5.,13,4
clam area b,johnstone strait - area 13 and all intertidal zones surrounding cortes island and twin islands in subareas 15-3 and 15-5.,13,6
clam area c,"sunshine coast - areas 15 (excluding intertidal zones surrounding cortes island and twin islands), area 16 (excluding subareas 16-19 and 16-20), area 28 and subarea 29-1.",15,6
clam area c,"sunshine coast - areas 15 (excluding intertidal zones surrounding cortes island and twin islands), area 16 (excluding subareas 16-19 and 16-20), area 28 and subarea 29-1.",16,6
clam area c,"sunshine coast - areas 15 (excluding intertidal zones surrounding cortes island and twin islands), area 16 (excluding subareas 16-19 and 16-20), area 28 and subarea 29-1.",28,6
clam area d,upper strait of georgia - area 14 and subareas 16-19 and 16-20.,14,6
clam area e,"lower strait of georgia - areas 17, 18, 19, 20 and subareas 29-4 and 29-5.",17,6
clam area e,"lower strait of georgia - areas 17, 18, 19, 20 and subareas 29-4 and 29-5.",18,6
clam area e,"lower strait of georgia - areas 17, 18, 19, 20 and subareas 29-4 and 29-5.",19,5
clam area e,"lower strait of georgia - areas 17, 18, 19, 20 and subareas 29-4 and 29-5.",19,6
clam area e,"lower strait of georgia - areas 17, 18, 19, 20 and subareas 29-4 and 29-5.",20,5
clam area f27,west coast of vancouver island - area 27.,27,4
clam area g,queen charlotte sound - areas 11 and 12.,11,4
clam area g,queen charlotte sound - areas 11 and 12.,12,4
crab area g,"areas 11, 12, 13, 15 and 111.",11,4
crab area g,"areas 11, 12, 13, 15 and 111.",12,4
crab area g,"areas 11, 12, 13, 15 and 111.",13,4
crab area g,"areas 11, 12, 13, 15 and 111.",13,6
crab area g,"areas 11, 12, 13, 15 and 111.",15,6
crab area g,"areas 11, 12, 13, 15 and 111.",111,3
crab area g,"areas 11, 12, 13, 15 and 111.",111,4
crab area i,areas 28 and 29 excluding subareas 29-5 and 29-8.,28,6
crab area i,areas 28 and 29 excluding subareas 29-5 and 29-8.,29,6
food and bait herring gulf,"areas 13, 14, 17, 18 and 29",13,4
food and bait herring gulf,"areas 13, 14, 17, 18 and 29",13,6
food and bait herring gulf,"areas 13, 14, 17, 18 and 29",14,6
food and bait herring gulf,"areas 13, 14, 17, 18 and 29",17,6
food and bait herring gulf,"areas 13, 14, 17, 18 and 29",18,6
food and bait herring gulf,"areas 13, 14, 17, 18 and 29",29,6
food and bait herring north,"areas 3, 4 and 5.",3,1
food and bait herring north,"areas 3, 4 and 5.",4,1
food and bait herring north,"areas 3, 4 and 5.",5,1
geoduck area g,"areas 12 through 19, and 29.",12,4
geoduck area g,"areas 12 through 19, and 29.",19,5
geoduck area g,"areas 12 through 19, and 29.",19,6
geoduck area g,"areas 12 through 19, and 29.",29,6
geoduck area n,areas 1 through 10 and related offshore areas.,1,2
geoduck area n,areas 1 through 10 and related offshore areas.,10,3
geoduck area n,areas 1 through 10 and related offshore areas.,10,4
geoduck area w,"areas 20, 23, 24, 25, 26, 27 and related offshore areas.?",20,5
geoduck area w,"areas 20, 23, 24, 25, 26, 27 and related offshore areas.?",23,5
geoduck area w,"areas 20, 23, 24, 25, 26, 27 and related offshore areas.?",24,5
geoduck area w,"areas 20, 23, 24, 25, 26, 27 and related offshore areas.?",25,5
geoduck area w,"areas 20, 23, 24, 25, 26, 27 and related offshore areas.?",26,5
geoduck area w,"areas 20, 23, 24, 25, 26, 27 and related offshore areas.?",26,4
geoduck area w,"areas 20, 23, 24, 25, 26, 27 and related offshore areas.?",27,4
herring gill net prince rupert,"areas 3, 4 and 5.",3,1
herring gill net prince rupert,"areas 3, 4 and 5.",4,1
herring gill net prince rupert,"areas 3, 4 and 5.",5,1
herring gill net wcvi,areas 23 and 25.,23,5
herring gill net wcvi,areas 23 and 25.,25,5
herring seine central,"areas 6, 7 and 8.",6,1
herring seine central,"areas 6, 7 and 8.",6,8
herring seine central,"areas 6, 7 and 8.",6,3
herring seine central,"areas 6, 7 and 8.",7,3
herring seine central,"areas 6, 7 and 8.",7,8
herring seine central,"areas 6, 7 and 8.",8,3
herring seine prince rupert,area 5.,5,1
herring seine wcvi,areas 23 and 25.,23,5
herring seine wcvi,areas 23 and 25.,25,5
lower fraser,"dfo organizational area established in 2001; includes management area 28 and that portion of management area 29 below the sawmill creek confluence with the fraser river, and the watersheds which drain into this area portion.",28,6
lower fraser,"dfo organizational area established in 2001; includes management area 28 and that portion of management area 29 below the sawmill creek confluence with the fraser river, and the watersheds which drain into this area portion.",29,6
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",1,2
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",10,3
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",10,4
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",101,2
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",101,7
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",101,1
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",110,2
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",110,3
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",110,4
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",130,2
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",130,3
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",130,7
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",142,2
north coast dfo,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",142,7
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",1,2
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",10,3
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",10,4
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",101,2
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",101,7
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",101,1
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",105,1
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",105,2
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",106,1
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",106,2
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",106,3
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",106,8
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",109,2
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",109,3
