year,area,subarea,closure_type,total_days_closed
2008,1,1,biotoxins,82
2008,1,2,biotoxins,82
2008,1,3,biotoxins,82
2008,1,4,biotoxins,82
2008,1,5,biotoxins,11
2008,1,6,biotoxins,82
2008,1,7,biotoxins,82
2008,2,1,biotoxins,71
2008,2,2,biotoxins,71
2008,2,3,biotoxins,71
2008,2,4,biotoxins,71
2008,2,5,biotoxins,71
2008,2,6,biotoxins,71
2008,2,7,biotoxins,71
2008,2,8,biotoxins,71
2008,2,9,biotoxins,71
2008,2,10,biotoxins,71
2008,2,11,biotoxins,71
2008,2,12,biotoxins,71
2008,2,13,biotoxins,71
2008,2,14,biotoxins,71
2008,2,15,biotoxins,71
2008,2,16,biotoxins,71
2008,2,17,biotoxins,71
2008,2,18,biotoxins,71
2008,2,19,biotoxins,71
2008,2,31,biotoxins,71
2008,2,32,biotoxins,71
2008,2,33,biotoxins,71
2008,2,34,biotoxins,71
2008,2,35,biotoxins,71
2008,2,36,biotoxins,71
2008,2,37,biotoxins,71
2008,2,38,biotoxins,71
2008,2,39,biotoxins,71
2008,2,40,biotoxins,71
2008,2,41,biotoxins,71
2008,2,42,biotoxins,71
2008,2,43,biotoxins,71
2008,2,44,biotoxins,71
2008,2,45,biotoxins,71
2008,2,46,biotoxins,71
2008,2,47,biotoxins,71
2008,2,48,biotoxins,71
2008,2,49,biotoxins,71
2008,2,50,biotoxins,71
2008,2,51,biotoxins,71
2008,2,52,biotoxins,71
2008,2,53,biotoxins,71
2008,2,54,biotoxins,71
2008,2,55,biotoxins,71
2008,2,56,biotoxins,71
2008,2,57,biotoxins,71
2008,2,58,biotoxins,71
2008,2,59,biotoxins,71
2008,2,60,biotoxins,71
2008,2,61,biotoxins,71
2008,2,62,biotoxins,71
2008,2,63,biotoxins,71
2008,2,64,biotoxins,71
2008,2,65,biotoxins,71
2008,2,66,biotoxins,71
2008,2,67,biotoxins,71
2008,2,68,biotoxins,71
2008,2,69,biotoxins,71
2008,2,70,biotoxins,71
2008,2,71,biotoxins,71
2008,2,72,biotoxins,71
2008,2,73,biotoxins,71
2008,2,74,biotoxins,71
2008,2,75,biotoxins,71
2008,2,76,biotoxins,71
2008,2,77,biotoxins,71
2008,2,78,biotoxins,71
2008,2,79,biotoxins,71
2008,2,80,biotoxins,71
2008,2,81,biotoxins,71
2008,2,82,biotoxins,71
2008,2,83,biotoxins,71
2008,2,84,biotoxins,71
2008,2,85,biotoxins,71
2008,2,86,biotoxins,71
2008,2,87,biotoxins,71
2008,2,88,biotoxins,71
2008,2,89,biotoxins,71
2008,2,90,biotoxins,71
2008,2,91,biotoxins,71
2008,2,92,biotoxins,71
2008,2,93,biotoxins,71
2008,2,94,biotoxins,71
2008,2,95,biotoxins,71
2008,2,96,biotoxins,71
2008,2,97,biotoxins,71
2008,2,98,biotoxins,71
2008,2,99,biotoxins,71
2008,2,100,biotoxins,71
2008,3,1,biotoxins,62
2008,3,2,biotoxins,62
2008,3,3,biotoxins,62
2008,3,4,biotoxins,15
2008,3,5,biotoxins,15
2008,3,6,biotoxins,62
2008,3,7,biotoxins,62
2008,3,8,biotoxins,62
2008,3,9,biotoxins,62
2008,3,10,biotoxins,62
2008,3,11,biotoxins,62
2008,3,12,biotoxins,62
2008,3,13,biotoxins,62
2008,3,14,biotoxins,62
2008,3,15,biotoxins,62
2008,3,16,biotoxins,62
2008,3,17,biotoxins,62
2008,3,18,biotoxins,62
2008,4,1,biotoxins,75
2008,4,2,biotoxins,62
2008,4,3,biotoxins,75
2008,4,4,biotoxins,75
2008,4,5,biotoxins,75
2008,4,6,biotoxins,28
2008,4,7,biotoxins,28
2008,4,8,biotoxins,75
2008,4,9,biotoxins,75
2008,4,10,biotoxins,75
2008,4,11,biotoxins,75
2008,4,12,biotoxins,75
2008,4,13,biotoxins,62
2008,4,14,biotoxins,75
2008,4,15,biotoxins,75
2008,5,1,biotoxins,57
2008,5,2,biotoxins,57
2008,5,3,biotoxins,57
2008,5,4,biotoxins,57
2008,5,5,biotoxins,57
2008,5,6,biotoxins,57
2008,5,7,biotoxins,57
2008,5,8,biotoxins,57
2008,5,9,biotoxins,57
2008,5,10,biotoxins,57
2008,5,11,biotoxins,57
2008,5,12,biotoxins,57
2008,5,13,biotoxins,57
2008,5,14,biotoxins,57
2008,5,15,biotoxins,57
2008,5,16,biotoxins,57
2008,5,17,biotoxins,57
2008,5,18,biotoxins,57
2008,5,19,biotoxins,57
2008,5,20,biotoxins,57
2008,5,21,biotoxins,57
2008,5,22,biotoxins,57
2008,5,23,biotoxins,57
2008,5,24,biotoxins,57
2008,7,1,biotoxins,47
2008,7,2,biotoxins,47
2008,7,3,biotoxins,47
2008,7,4,biotoxins,47
2008,7,5,biotoxins,47
2008,7,6,biotoxins,47
2008,7,7,biotoxins,47
2008,7,8,biotoxins,47
2008,7,9,biotoxins,47
2008,7,10,biotoxins,47
2008,7,11,biotoxins,47
2008,7,12,biotoxins,47
2008,7,13,biotoxins,47
2008,7,14,biotoxins,47
2008,7,15,biotoxins,47
2008,7,16,biotoxins,47
2008,7,17,biotoxins,47
2008,7,18,biotoxins,47
2008,7,19,biotoxins,47
2008,7,20,biotoxins,47
2008,7,21,biotoxins,47
2008,7,22,biotoxins,47
2008,7,23,biotoxins,47
2008,7,24,biotoxins,47
2008,7,25,biotoxins,47
2008,7,26,biotoxins,47
2008,7,27,biotoxins,47
2008,7,28,biotoxins,47
2008,7,29,biotoxins,47
2008,7,30,biotoxins,47
2008,7,31,biotoxins,47
2008,7,32,biotoxins,47
2008,12,1,biotoxins,55
2008,12,2,biotoxins,55
2008,12,3,biotoxins,55
2008,12,4,biotoxins,55
2008,12,5,biotoxins,55
2008,12,6,biotoxins,55
2008,12,7,biotoxins,55
2008,12,8,biotoxins,55
2008,12,9,biotoxins,55
2008,12,10,biotoxins,55
2008,12,11,biotoxins,55
2008,12,12,biotoxins,55
2008,12,13,biotoxins,55
2008,12,14,biotoxins,55
2008,12,15,biotoxins,55
2008,12,16,biotoxins,55
2008,12,17,biotoxins,55
2008,12,18,biotoxins,55
2008,12,19,biotoxins,55
2008,12,20,biotoxins,55
2008,12,21,biotoxins,55
2008,12,22,biotoxins,55
2008,12,23,biotoxins,55
2008,12,24,biotoxins,55
2008,12,25,biotoxins,55
2008,12,26,biotoxins,55
2008,12,27,biotoxins,36
2008,12,27,sanitary closure,19
2008,12,28,biotoxins,55
2008,12,29,biotoxins,55
2008,12,30,biotoxins,55
2008,12,31,biotoxins,55
2008,12,32,biotoxins,55
2008,12,33,biotoxins,55
2008,12,34,biotoxins,55
2008,12,35,biotoxins,55
2008,12,36,biotoxins,55
2008,12,37,biotoxins,55
2008,12,38,biotoxins,55
2008,12,39,biotoxins,55
2008,12,40,biotoxins,55
2008,12,41,biotoxins,55
2008,12,42,biotoxins,55
2008,12,43,biotoxins,55
2008,12,44,biotoxins,55
2008,12,45,biotoxins,55
2008,12,46,biotoxins,55
2008,12,47,biotoxins,55
2008,12,48,biotoxins,55
2008,13,12,biotoxins,47
2008,13,13,biotoxins,75
2008,13,14,biotoxins,75
2008,13,16,biotoxins,47
2008,13,17,biotoxins,47
2008,13,18,biotoxins,75
2008,13,19,biotoxins,75
2008,13,20,biotoxins,75
2008,13,21,biotoxins,75
2008,13,22,biotoxins,75
2008,13,23,biotoxins,75
2008,13,24,biotoxins,75
2008,13,25,biotoxins,75
2008,13,26,biotoxins,75
2008,13,27,biotoxins,75
2008,13,28,biotoxins,75
2008,13,29,biotoxins,75
2008,13,30,biotoxins,75
2008,13,31,biotoxins,75
2008,13,32,biotoxins,75
2008,13,33,biotoxins,75
2008,13,34,biotoxins,75
2008,13,35,biotoxins,75
2008,13,36,biotoxins,75
2008,13,37,biotoxins,75
2008,13,38,biotoxins,75
2008,13,39,biotoxins,75
2008,13,40,biotoxins,75
2008,13,41,biotoxins,75
2008,13,42,biotoxins,75
2008,13,43,biotoxins,75
2008,14,1,biotoxins,75
2008,14,2,biotoxins,75
2008,14,3,biotoxins,75
2008,14,4,biotoxins,75
2008,14,5,biotoxins,75
2008,14,6,biotoxins,75
2008,14,7,biotoxins,75
2008,14,8,biotoxins,75
2008,14,9,biotoxins,75
2008,14,10,biotoxins,75
