year,area,subarea,total_days_closed
2008,1,1,82
2008,1,2,82
2008,1,3,82
2008,1,4,82
2008,1,5,11
2008,1,6,82
2008,1,7,82
2008,2,1,71
2008,2,2,71
2008,2,3,71
2008,2,4,71
2008,2,5,71
2008,2,6,71
2008,2,7,71
2008,2,8,71
2008,2,9,71
2008,2,10,71
2008,2,11,71
2008,2,12,71
2008,2,13,71
2008,2,14,71
2008,2,15,71
2008,2,16,71
2008,2,17,71
2008,2,18,71
2008,2,19,71
2008,2,31,71
2008,2,32,71
2008,2,33,71
2008,2,34,71
2008,2,35,71
2008,2,36,71
2008,2,37,71
2008,2,38,71
2008,2,39,71
2008,2,40,71
2008,2,41,71
2008,2,42,71
2008,2,43,71
2008,2,44,71
2008,2,45,71
2008,2,46,71
2008,2,47,71
2008,2,48,71
2008,2,49,71
2008,2,50,71
2008,2,51,71
2008,2,52,71
2008,2,53,71
2008,2,54,71
2008,2,55,71
2008,2,56,71
2008,2,57,71
2008,2,58,71
2008,2,59,71
2008,2,60,71
2008,2,61,71
2008,2,62,71
2008,2,63,71
2008,2,64,71
2008,2,65,71
2008,2,66,71
2008,2,67,71
2008,2,68,71
2008,2,69,71
2008,2,70,71
2008,2,71,71
2008,2,72,71
2008,2,73,71
2008,2,74,71
2008,2,75,71
2008,2,76,71
2008,2,77,71
2008,2,78,71
2008,2,79,71
2008,2,80,71
2008,2,81,71
2008,2,82,71
2008,2,83,71
2008,2,84,71
2008,2,85,71
2008,2,86,71
2008,2,87,71
2008,2,88,71
2008,2,89,71
2008,2,90,71
2008,2,91,71
2008,2,92,71
2008,2,93,71
2008,2,94,71
2008,2,95,71
2008,2,96,71
2008,2,97,71
2008,2,98,71
2008,2,99,71
2008,2,100,71
2008,3,1,62
2008,3,2,62
2008,3,3,62
2008,3,4,15
2008,3,5,15
2008,3,6,62
2008,3,7,62
2008,3,8,62
2008,3,9,62
2008,3,10,62
2008,3,11,62
2008,3,12,62
2008,3,13,62
2008,3,14,62
2008,3,15,62
2008,3,16,62
2008,3,17,62
2008,3,18,62
2008,4,1,75
2008,4,2,62
2008,4,3,75
2008,4,4,75
2008,4,5,75
2008,4,6,28
2008,4,7,28
2008,4,8,75
2008,4,9,75
2008,4,10,75
2008,4,11,75
2008,4,12,75
2008,4,13,62
2008,4,14,75
2008,4,15,75
2008,5,1,57
2008,5,2,57
2008,5,3,57
2008,5,4,57
2008,5,5,57
2008,5,6,57
2008,5,7,57
2008,5,8,57
2008,5,9,57
2008,5,10,57
2008,5,11,57
2008,5,12,57
2008,5,13,57
2008,5,14,57
2008,5,15,57
2008,5,16,57
2008,5,17,57
2008,5,18,57
2008,5,19,57
2008,5,20,57
2008,5,21,57
2008,5,22,57
2008,5,23,57
2008,5,24,57
2008,7,1,47
2008,7,2,47
2008,7,3,47
2008,7,4,47
2008,7,5,47
2008,7,6,47
2008,7,7,47
2008,7,8,47
2008,7,9,47
2008,7,10,47
2008,7,11,47
2008,7,12,47
2008,7,13,47
2008,7,14,47
2008,7,15,47
2008,7,16,47
2008,7,17,47
2008,7,18,47
2008,7,19,47
2008,7,20,47
2008,7,21,47
2008,7,22,47
2008,7,23,47
2008,7,24,47
2008,7,25,47
2008,7,26,47
2008,7,27,47
2008,7,28,47
2008,7,29,47
2008,7,30,47
2008,7,31,47
2008,7,32,47
2008,12,1,55
2008,12,2,55
2008,12,3,55
2008,12,4,55
2008,12,5,55
2008,12,6,55
2008,12,7,55
2008,12,8,55
2008,12,9,55
2008,12,10,55
2008,12,11,55
2008,12,12,55
2008,12,13,55
2008,12,14,55
2008,12,15,55
2008,12,16,55
2008,12,17,55
2008,12,18,55
2008,12,19,55
2008,12,20,55
2008,12,21,55
2008,12,22,55
2008,12,23,55
2008,12,24,55
2008,12,25,55
2008,12,26,55
2008,12,27,55
2008,12,28,55
2008,12,29,55
2008,12,30,55
2008,12,31,55
2008,12,32,55
2008,12,33,55
2008,12,34,55
2008,12,35,55
2008,12,36,55
2008,12,37,55
2008,12,38,55
2008,12,39,55
2008,12,40,55
2008,12,41,55
2008,12,42,55
2008,12,43,55
2008,12,44,55
2008,12,45,55
2008,12,46,55
2008,12,47,55
2008,12,48,55
2008,13,12,47
2008,13,13,75
2008,13,14,75
2008,13,16,47
2008,13,17,47
2008,13,18,75
2008,13,19,75
2008,13,20,75
2008,13,21,75
2008,13,22,75
2008,13,23,75
2008,13,24,75
2008,13,25,75
2008,13,26,75
2008,13,27,75
2008,13,28,75
2008,13,29,75
2008,13,30,75
2008,13,31,75
2008,13,32,75
2008,13,33,75
2008,13,34,75
2008,13,35,75
2008,13,36,75
2008,13,37,75
2008,13,38,75
2008,13,39,75
2008,13,40,75
2008,13,41,75
2008,13,42,75
2008,13,43,75
2008,14,1,75
2008,14,2,75
2008,14,3,75
2008,14,4,75
2008,14,5,75
2008,14,6,75
2008,14,7,75
2008,14,8,75
2008,14,9,75
2008,14,10,75
2008,14,11,75
2008,14,12,75
2008,14,13,75
2008,14,14,75
2008,14,15,75
2008,15,1,75
2008,15,2,75
2008,15,3,75
2008,15,4,75
2008,15,5,47
2008,15,6,75
2008,16,5,43
2008,16,6,43
2008,16,7,43
2008,16,8,43
2008,16,9,43
2008,16,10,47
2008,16,11,47
2008,16,12,47
2008,16,13,47
2008,16,14,47
2008,16,15,47
2008,16,16,47
2008,17,1,75
2008,17,2,75
2008,17,3,75
2008,17,4,75
2008,17,5,75
2008,17,6,75
2008,17,7,75
2008,17,8,75
2008,17,9,75
2008,17,10,75
2008,17,11,75
2008,17,12,75
2008,17,13,75
2008,17,14,75
2008,17,15,75
2008,17,16,75
2008,17,17,75
2008,17,18,75
2008,17,19,75
2008,17,21,75
2008,23,1,76
2008,23,2,76
2008,23,3,76
2008,23,4,76
2008,23,5,76
2008,23,6,76
2008,23,7,76
2008,23,8,76
2008,23,9,76
2008,23,10,76
2008,23,11,76
2008,24,1,49
2008,24,2,49
2008,24,3,49
2008,24,4,49
2008,24,5,49
2008,24,6,49
2008,24,7,49
2008,24,8,16
2008,24,10,49
