sgc,name,type,pop,prev_pop
5909805,Inkahtsaph 6,IRI,0,0
5909806,Kopchitchin 2,IRI,42,32
5909807,Ohamil 1,IRI,90,77
5909808,Puckatholetchin 11,IRI,5,5
5909809,Saddle Rock 9,IRI,0,0
5909810,Lukseetsissum 9,IRI,18,21
5909812,Schkam 2,IRI,131,132
5909814,Skawahlook 1,IRI,0,0
5909815,Speyum 3,IRI,5,0
5909816,Spuzzum 1,IRI,39,32
5909817,Tuckkwiowhum 1,IRI,34,36
5909818,Yale Town 1,IRI,10,10
5909819,Kahmoose 4,IRI,65,88
5909821,Kwawkwawapilt 6,IRI,324,342
5909824,Skwah 4,IRI,192,216
5909825,Skwali 3,IRI,10,10
5909826,Skway 5,IRI,84,98
5909827,Soowahlie 14,IRI,247,187
5909830,Tzeachten 13,IRI,2358,1467
5909831,Yakweakwioose 12,IRI,44,39
5909832,Seabird Island,IRI,767,594
5909833,Scowlitz 1,IRI,10,10
5909834,Tseatah 2,IRI,23,16
5909835,Aitchelitch 9,IRI,15,18
5909836,Boston Bar 1A,IRI,0,0
5909837,Cheam 1,IRI,202,223
5909838,Schelowat 1,IRI,10,10
5909839,Chehalis 5,IRI,537,537
5909841,Stullawheets 8,IRI,51,48
5909842,Douglas 8,IRI,67,10
5909843,Peters 1,IRI,30,27
5909844,Popkum 1,IRI,10,5
5909845,Skookumchuck 4,IRI,85,94
5909847,Bucktum 4,IRI,0,5
5909848,Tipella 7,IRI,0,26
5909849,Skwahla 2,IRI,0,0
5909850,Boothroyd 13,IRI,0,5
5909852,Paqulh,IRI,0,0
5909875,Q'alatk�7em,IRI,80,84
5909876,Albert Flat 5,IRI,20,15
5909877,Upper Sumas 6,IRI,178,187
5909878,Matsqui Main 2,IRI,110,81
5909879,Holachten 8,IRI,300,316
5909880,Lakahahmen 11,IRI,177,185
5909881,Skweahm 10,IRI,213,292
5909882,Squawkum Creek 3,IRI,116,108
5909883,Sachteen,IRI,10,5
5909884,Skowkale,IRI,841,795
5909885,Squiaala,IRI,136,80
5915001,Langley,DM,117285,104177
5915002,Langley,CY,25888,25081
5915004,Surrey,CY,517887,468251
5915007,White Rock,CY,19952,19339
5915011,Delta,DM,102238,99863
5915015,Richmond,CY,198309,190473
5915020,Greater Vancouver A,RDA,16133,12988
5915022,Vancouver,CY,631486,603502
5915025,Burnaby,CY,232755,223218
5915029,New Westminster,CY,70996,65976
5915034,Coquitlam,CY,139284,126804
5915036,Belcarra,VL,643,644
5915038,Anmore,VL,2210,2092
5915039,Port Coquitlam,CY,58612,55958
5915043,Port Moody,CY,33551,33011
5915046,North Vancouver,DM,85935,84412
5915051,North Vancouver,CY,52898,48196
5915055,West Vancouver,DM,42473,42694
5915062,Bowen Island,IM,3680,3402
5915065,Lions Bay,VL,1334,1318
5915070,Pitt Meadows,CY,18573,17736
5915075,Maple Ridge,CY,82256,76052
5915801,Semiahmoo,IRI,120,108
5915802,Tsawwassen,IRI,816,720
5915803,Musqueam 2,IRI,1652,1569
5915804,Coquitlam 2,IRI,0,5
5915805,Coquitlam 1,IRI,54,39
5915806,Burrard Inlet 3,IRI,1855,1472
5915807,Mission 1,IRI,576,574
5915808,Capilano 5,IRI,2931,2700
5915809,Barnston Island 3,IRI,49,47
5915810,Musqueam 4,IRI,10,5
5915811,Seymour Creek 2,IRI,123,107
5915813,Katzie 2,IRI,40,0
5915816,McMillan Island 6,IRI,94,68
5915825,Matsqui 4,IRI,471,498
5915830,Katzie 1,IRI,262,229
5915835,Langley 5,IRI,0,0
5915840,Whonnock 1,IRI,0,0
5917005,North Saanich,DM,11249,11089
5917010,Sidney,T,11672,11178
5917015,Central Saanich,DM,16814,15936
5917021,Saanich,DM,114148,109752
5917027,Saltspring Island,RDA,10557,10234
5917029,Southern Gulf Islands,RDA,4732,4868
5917030,Oak Bay,DM,18094,18015
5917034,Victoria,CY,85792,80017
5917040,Esquimalt,DM,17655,16209
5917041,Colwood,CY,16859,16093
5917042,Metchosin,DM,4708,4803
5917044,Langford,CY,35342,29228
5917047,View Royal,T,10408,9381
5917049,Highlands,DM,2225,2120
5917052,Sooke,DM,13001,11435
5917054,Juan de Fuca (Part 1),RDA,4670,4237
5917056,Juan de Fuca (Part 2),RDA,190,229
5917801,Cole Bay 3,IRI,332,322
5917802,Union Bay 4,IRI,94,116
5917803,East Saanich 2,IRI,1689,1709
5917804,South Saanich 1,IRI,822,818
5917805,Galiano Island 9,IRI,0,0
5917809,Becher Bay 1,IRI,129,324
5917811,Esquimalt,IRI,NA,NA
5917812,New Songhees 1A,IRI,1842,1678
5917815,Gordon River 2,IRI,111,96
5917819,T'Sou-ke,IRI,225,219
5919008,North Cowichan,DM,29676,28807
5919012,Duncan,CY,4944,4932
5919013,Cowichan Valley D,RDA,3243,2971
5919015,Cowichan Valley G,RDA,2325,2221
5919016,Lake Cowichan,T,3226,2974
5919017,Cowichan Valley H,RDA,2446,2332
5919021,Ladysmith,T,8537,7921
5919033,Cowichan Valley F,RDA,1629,1649
5919035,Cowichan Valley I,RDA,1206,1111
5919043,Cowichan Valley A,RDA,4733,4393
5919046,Cowichan Valley B,RDA,8558,8127
5919049,Cowichan Valley C,RDA,5019,4796
5919051,Cowichan Valley E,RDA,4121,3854
5919801,Halalt 2,IRI,168,160
5919802,Squaw-hay-one 11,IRI,35,40
5919803,Tsussie 6,IRI,103,88
5919804,Chemainus 13,IRI,735,683
5919808,Kil-pah-las 3,IRI,0,0
5919809,Penelakut Island 7,IRI,452,446
5919811,Shingle Point 4,IRI,0,0
5919812,Cowichan Lake,IRI,21,33
5919814,Malachan 11,IRI,158,162
5919815,Malahat 11,IRI,143,102
5919816,Oyster Bay 12,IRI,77,89
5919817,Portier Pass 5,IRI,0,0
5919818,Theik 2,IRI,36,31
5919820,Est-Patrolas 4,IRI,23,41
5919821,Tzart-Lam 5,IRI,39,32
5919822,Cowichan,IRI,2086,2337
5921007,Nanaimo,CY,90504,83810
5921008,Lantzville,DM,3605,3601
5921010,Nanaimo A,RDA,7058,6908
5921014,Nanaimo B,RDA,4033,4045
5921016,Nanaimo C,RDA,2808,2834
5921018,Parksville,CY,12514,11977
5921023,Qualicum Beach,T,8943,8687
5921030,Nanaimo E,RDA,6125,5674
5921032,Nanaimo F,RDA,7724,7422
5921034,Nanaimo G,RDA,7465,7158
5921036,Nanaimo H,RDA,3884,3509
5921804,Nanaimo Town 1,IRI,360,377
5921805,Nanoose,IRI,230,204
5921806,Qualicum,IRI,74,81
5921807,Nanaimo River,IRI,371,287
5923008,Port Alberni,CY,17678,17743
5923019,Ucluelet,DM,1717,1627
5923025,Tofino,DM,1932,1876
5923033,Alberni-Clayoquot B,RDA,443,456
5923035,Alberni-Clayoquot D,RDA,1616,1701
5923037,Alberni-Clayoquot E,RDA,2754,2885
5923039,Alberni-Clayoquot F,RDA,1935,1916
5923047,Alberni-Clayoquot A,RDA,243,192
5923049,Alberni-Clayoquot C,RDA,677,433
5923801,Ahahswinis 1,IRI,119,160
5923802,Alberni 2,IRI,10,10
5923803,Anacla 12,IRI,82,73
5923804,Clakamucus 2,IRI,0,0
5923805,Elhlateese 2,IRI,5,19
5923806,Hesquiat 1,IRI,5,5
5923807,Ittatsoo 1,IRI,274,240
5923808,Marktosis 15,IRI,622,695
5923809,Numukamis 1,IRI,5,10
5923810,Macoah 1,IRI,19,22
5923813,Opitsat 1,IRI,150,156
5923814,Sachsa 4,IRI,0,0
5923816,Tsahaheh 1,IRI,542,584
5923822,Klehkoot 2,IRI,15,10
5923823,Esowista 3,IRI,94,176
5923824,Refuge Cove 6,IRI,44,72
5923825,Tin Wis 11,IRI,0,0
5924025,Gold River,VL,1212,1267
5924029,Zeballos,VL,107,125
5924030,Tahsis,VL,248,316
5924034,Campbell River,CY,32588,31186
5924039,Sayward,VL,311,317
5924042,Strathcona D (Oyster Bay - Buttle Lake),RDA,4396,4037
5924048,Strathcona A,RDA,764,807
5924052,Strathcona B,RDA,1035,1007
5924054,Strathcona C,RDA,2431,2601
5924803,Ahaminaquus 12,IRI,0,0
5924804,Campbell River 11,IRI,381,424
5924805,Chenahkint 12,IRI,0,0
5924806,Houpsitas 6,IRI,181,182
5924812,Quinsam 12,IRI,294,246
5924813,Village Island 1,IRI,0,0
5924814,Yuquot 1,IRI,5,10
5924817,Cape Mudge 10,IRI,147,143
5924818,Squirrel Cove 8,IRI,0,0
5924820,Tork 7,IRI,64,47
5924833,Oclucje 7,IRI,30,30
5924835,Tsa Xana 18,IRI,187,234
5924836,Ehatis 11,IRI,88,70
5924840,Homalco 9,IRI,202,203
5926005,Comox,T,14028,13627
5926010,Courtenay,CY,25599,24216
5926014,Cumberland,VL,3753,3398
5926021,Comox Valley A,RDA,7213,6735
5926022,Comox Valley B (Lazo North),RDA,7095,6958
5926024,Comox Valley C (Puntledge - Black Creek),RDA,8617,8353
5926801,Comox 1,IRI,222,251
5926802,Pentledge 2,IRI,0,0
5927008,Powell River,CY,13157,13165
5927010,Powell River A,RDA,1105,1008
5927012,Powell River B,RDA,1541,1488
5927016,Powell River C,RDA,2064,2014
5927018,Powell River D,RDA,1076,1053
5927020,Powell River E,RDA,399,426
5927802,Sliammon 1,IRI,707,730
5927806,Sechelt (Part),IGD,21,22
5929005,Gibsons,T,4605,4437
5929011,Sechelt,DM,10216,9291
5929018,Sunshine Coast A,RDA,2624,2678
5929022,Sunshine Coast B,RDA,2726,2675
5929024,Sunshine Coast D,RDA,3421,3244
5929026,Sunshine Coast E,RDA,3664,3482
5929028,Sunshine Coast F,RDA,2043,2015
5929801,Chekwelp 26,IRI,0,0
5929803,Sechelt (Part),IGD,671,797
5931006,Squamish,DM,19512,17158
5931012,Pemberton,VL,2574,2434
5931017,Squamish-Lillooet C,RDA,1663,1739
5931020,Whistler,DM,11854,9824
5931021,Squamish-Lillooet D,RDA,1057,836
5931026,Lillooet,DM,2275,2321
5931032,Squamish-Lillooet A,RDA,187,224
5931034,Squamish-Lillooet B,RDA,363,451
5931801,Cheakamus 11,IRI,57,56
5931802,Kowtain 17,IRI,35,37
5931806,Seaichem 16,IRI,51,53
5931807,Stawamus 24,IRI,107,97
5931808,Waiwakum 14,IRI,160,111
5931809,Yekwaupsum 18,IRI,28,23
5931812,Nesuch 3,IRI,138,110
5931813,Bridge River 1,IRI,241,236
5931814,Cayoosh Creek 1,IRI,66,54
5931815,Chilhil 6,IRI,70,70
5931816,Fountain  1,IRI,111,130
5931817,Fountain  3,IRI,10,10
5931818,Fountain 10,IRI,5,5
5931819,Fountain 11,IRI,0,0
5931820,Fountain 12,IRI,10,15
5931821,Lillooet 1,IRI,243,222
5931822,Fountain Creek 8,IRI,0,5
5931823,McCartney's Flat 4,IRI,26,32
5931824,Seton Lake 5,IRI,0,5
5931826,Necait 6,IRI,20,16
5931827,Nesikep 6,IRI,10,5
5931828,Pashilqua 2,IRI,45,30
5931829,Pavilion 1,IRI,52,51
5931831,Slosh 1,IRI,177,223
5931832,Towinock 2,IRI,5,5
5931833,Mission 5,IRI,23,25
5931842,Fountain 1B,IRI,73,51
5931843,Mount Currie,IRI,1285,1306
5931844,Nequatque,IRI,132,292
5933006,Merritt,CY,7139,7113
5933008,Thompson-Nicola M (Beautiful Nicola Valley - North),RDA,1598,1823
5933012,Thompson-Nicola N (Beautiful Nicola Valley - South),RDA,762,749
5933015,Lytton,VL,249,228
5933019,Ashcroft,VL,1558,1628
5933024,Cache Creek,VL,963,1040
5933028,Clinton,VL,641,636
5933032,Thompson-Nicola E (Bonaparte Plateau),RDA,1094,1072
5933035,Logan Lake,DM,1993,2073
5933037,Thompson-Nicola I (Blue Sky Country),RDA,1262,1256
5933039,Thompson-Nicola J (Copper Desert Country),RDA,1580,1560
5933042,Kamloops,CY,90280,85678
5933044,Thompson-Nicola P (Rivers and the Peaks),RDA,3672,3620
5933045,Sun Peaks Mountain,VL,616,371
5933054,Chase,VL,2286,2495
5933060,Thompson-Nicola L (Grasslands),RDA,2955,3049
5933067,Clearwater,DM,2324,2331
5933068,Thompson-Nicola A (Wells Gray Country),RDA,1493,1536
5933070,Thompson-Nicola B (Thompson Headwaters),RDA,233,283
5933072,Thompson-Nicola O (Lower North Thompson),RDA,1323,1335
5933074,Barriere,DM,1713,1773
5933801,Coldwater 1,IRI,318,349
5933802,Douglas Lake 3,IRI,149,158
5933803,Hamilton Creek 2,IRI,0,0
5933805,Joeyaska 2,IRI,42,44
5933806,Nicola Lake 1,IRI,123,144
5933807,Nicola Mameet 1,IRI,532,603
5933808,Nooaitch 10,IRI,142,127
5933809,Paul's Basin 2,IRI,25,36
5933810,Chuchhraischin,IRI,0,0
5933811,Zoht 4,IRI,25,25
5933812,Bonaparte 3,IRI,121,138
5933813,Halhalaeden,IRI,5,5
5933814,Canoe Creek 1,IRI,60,97
5933817,Skeetchestn,IRI,293,253
5933819,High Bar 1,IRI,0,5
5933821,Canoe Creek 2,IRI,34,0
5933823,Kitzowit 20,IRI,16,20
5933824,Skuppah 2A,IRI,0,0
5933825,Inklyuhkinatko 2,IRI,30,41
5933828,Basque 18,IRI,0,5
5933829,Klahkamich 17,IRI,32,52
5933831,Kleetlekut 22,IRI,10,5
5933832,Klickkumcheen 18,IRI,80,87
5933833,Inkluckcheen,IRI,141,199
5933834,Kumcheen 1,IRI,41,39
5933836,Lower Hat Creek 2,IRI,25,54
5933837,Peq-Paq 22,IRI,0,0
5933839,Lytton 4A,IRI,0,0
5933840,Lytton 4E,IRI,5,5
5933841,Lytton 9A,IRI,5,5
5933842,Lytton 9B,IRI,0,0
5933844,Ashcroft 4,IRI,68,76
5933845,105 Mile Post 2,IRI,10,21
5933846,Oregon Jack Creek 5,IRI,0,5
5933848,Nickel Palm 4,IRI,5,10
5933849,Siska Flat,IRI,90,106
5933850,Nickeyeah 25,IRI,10,16
5933851,Nicomen 1,IRI,63,64
5933852,Nohomeen 23,IRI,5,5
5933853,Nuuautin 2,IRI,139,128
5933854,Paska Island 3,IRI,5,0
5933855,Papyum 27,IRI,20,29
5933857,Pemynoos 9,IRI,0,0
5933858,Seah 5,IRI,10,20
5933859,Shackan 11,IRI,64,55
5933861,Kloklowuck 7,IRI,5,5
5933865,Skuppah 4,IRI,5,5
5933866,Skwayaynope 26,IRI,10,5
5933868,Spintlum Flat 3,IRI,10,5
5933870,Nkaih 10,IRI,0,0
5933872,Marble Canyon 3,IRI,84,68
5933873,Stryen 9,IRI,71,75
5933874,Tsaukan 12,IRI,0,0
5933875,Upper Hat Creek 1,IRI,25,29
5933876,Upper Nepa 6,IRI,15,10
5933877,Whispering Pines 4,IRI,59,60
5933878,Yawaucht 11,IRI,5,10
5933879,Zacht 5,IRI,5,25
5933880,Kamloops 1,IRI,3021,2577
5933881,Spences Bridge,IRI,5,0
5933882,Kanaka Bar,IRI,71,15
5933884,Sahhaltkum 4,IRI,304,320
5933886,Nekalliston 2,IRI,0,0
5933887,North Thompson 1,IRI,218,252
5933888,Louis Creek 4,IRI,10,15
5933889,Squaam 2,IRI,10,10
5933895,Shawniken 4B,IRI,16,15
5933896,Nekliptum  1,IRI,0,53
5933897,Boothroyd 8A (Part),IRI,0,0
5933898,Neskonlith,IRI,237,237
5935010,Kelowna,CY,127380,117312
5935012,Central Okanagan,RDA,3824,3795
5935016,Lake Country,DM,12922,11708
5935018,Peachland,DM,5428,5200
5935020,Central Okanagan J,RDA,1981,1947
5935029,West Kelowna,DM,32655,30902
5935801,Duck Lake 7,IRI,1664,1917
5935802,Tsinstikeptum  9,IRI,7612,5872
5935803,Tsinstikeptum 10,IRI,1416,1186
5937005,Lumby,VL,1833,1731
5937010,Coldstream,DM,10648,10314
5937014,Vernon,CY,40116,38180
5937017,North Okanagan B,RDA,3203,3041
5937021,North Okanagan C,RDA,3870,3847
5937022,North Okanagan D,RDA,2672,2848
5937023,North Okanagan E,RDA,1010,939
5937024,Spallumcheen,DM,5106,5040
5937028,Armstrong,CY,5114,4830
5937033,Enderby,CY,2964,2932
5937041,North Okanagan F,RDA,4000,3938
5937801,Okanagan (Part) 1,IRI,2869,2604
5937802,Enderby 2,IRI,316,390
5937803,Priest's Valley 6,IRI,628,598
5937805,Harris 3,IRI,5,5
5939007,Golden,T,3708,3701
5939011,Columbia-Shuswap A,RDA,3148,3065
5939019,Revelstoke,CY,7547,7139
5939023,Columbia-Shuswap B,RDA,598,552
5939032,Salmon Arm,CY,17706,17464
5939037,Columbia-Shuswap C,RDA,7921,7662
5939039,Columbia-Shuswap D,RDA,4044,4047
5939043,Columbia-Shuswap E,RDA,1185,1335
5939044,Columbia-Shuswap F,RDA,2454,2368
5939045,Sicamous,DM,2429,2441
5939801,Chum Creek 2,IRI,41,51
5939802,Hustalen 1,IRI,31,26
5939803,North Bay 5,IRI,51,75
5939804,Okanagan (Part) 1,IRI,75,69
5939805,Quaaout 1,IRI,171,234
5939806,Salmon River 1,IRI,39,45
5939807,Scotch Creek 4,IRI,20,19
5939808,Switsemalph 3,IRI,71,90
5939811,Switsemalph,IRI,127,129
5941005,One Hundred Mile House,DM,1980,1886
5941009,Williams Lake,CY,10753,10832
5941010,Cariboo D,RDA,2929,2988
5941012,Cariboo E,RDA,4064,4129
5941013,Quesnel,CY,9879,10007
5941014,Cariboo F,RDA,4554,4564
5941015,Cariboo G,RDA,5156,4955
5941016,Cariboo H,RDA,1784,1569
5941017,Cariboo L,RDA,4204,4177
5941019,Cariboo A,RDA,6265,6250
5941021,Cariboo B,RDA,3842,4006
5941025,Wells,DM,217,245
5941026,Cariboo C,RDA,1225,1225
5941027,Cariboo I,RDA,1440,1511
5941039,Cariboo J,RDA,642,600
5941041,Cariboo K,RDA,398,494
5941801,Alkali Lake 1,IRI,328,353
5941802,Canim Lake 1,IRI,228,224
5941803,Canim Lake 4,IRI,0,0
5941804,Canoe Creek 3,IRI,0,0
5941805,Deep Creek 2,IRI,91,111
5941806,Dog Creek 1,IRI,79,80
5941807,Dog Creek 2,IRI,20,30
5941808,Lohbiee 3,IRI,91,118
5941809,Quesnel 1,IRI,102,73
5941810,Soda Creek 1,IRI,59,33
5941811,Johny Sticks 2,IRI,10,20
5941812,Williams Lake 1,IRI,191,227
5941813,Canim Lake 2,IRI,5,5
5941817,Alexis Creek 14,IRI,0,0
5941818,Alexis Creek 16,IRI,0,0
5941821,Anahim's Flat 1,IRI,342,475
5941827,Charley Boy's Meadow 3,IRI,0,0
5941828,Chilco Lake 1,IRI,5,43
5941829,Chilco Lake 1A,IRI,25,0
5941831,Tanakut 4,IRI,15,5
5941833,Kluskus 1,IRI,36,39
5941834,Louis Squinas Ranch 14,IRI,0,0
5941835,Coglistiko River 29,IRI,0,0
5941837,Nazco 20,IRI,90,132
5941838,Puntzi Lake 2,IRI,0,5
5941839,Redstone Flat 1,IRI,196,185
5941840,Squinas 2,IRI,134,161
5941841,Stone 1,IRI,187,201
5941844,Agats Meadow 8,IRI,0,0
5941845,Thomas Squinas Ranch 2A,IRI,0,20
5941848,Alexis Creek 21,IRI,0,0
5941849,Baptiste Meadow 2,IRI,5,5
5941850,Toosey 1,IRI,107,113
5941851,Towdystan Lake 3,IRI,10,10
5941852,Trout Lake Alec 16,IRI,15,21
5941854,Ulkatcho 13,IRI,0,0
5941855,Windy Mouth 7,IRI,5,5
5941856,Alexis Creek 34,IRI,0,0
5941858,Cahoose 10,IRI,0,0
5941859,Blackwater Meadow 11,IRI,0,0
5941860,Cahoose 12,IRI,0,0
5941861,Betty Creek 18,IRI,0,0
5941862,Salmon River Meadow 7,IRI,0,0
5941863,Tzetzi Lake 11,IRI,0,0
5941864,Sundayman's Meadow 3,IRI,0,5
5941866,Euchinico Creek 17,IRI,0,0
5941868,Sandy Harry 4,IRI,5,5
5941871,Fishtrap 19,IRI,15,20
5941872,Swan Lake  3,IRI,5,5
5941873,Alkali Lake 4A,IRI,10,5
5941876,Lezbye  6,IRI,20,0
5941879,Michel Gardens 36,IRI,5,10
5941880,Ulkatcho 14A,IRI,155,138
5941881,Baezaeko River 27,IRI,0,0
5941882,Alexandria,IRI,35,52
5941883,Anahim's Meadow,IRI,10,0
5941884,Garden,IRI,5,10
5941885,Little Springs,IRI,15,10
5943008,Alert Bay,VL,489,435
5943012,Port McNeill,T,2337,2505
5943017,Port Alice,VL,664,805
5943023,Port Hardy,DM,4132,4008
5943027,Mount Waddington B,RDA,60,81
5943031,Mount Waddington C,RDA,750,756
5943033,Mount Waddington D,RDA,228,272
5943037,Mount Waddington A,RDA,885,981
5943804,Fort Rupert 1,IRI,27,46
5943806,Tsulquate 4,IRI,431,491
5943807,Dead Point 5,IRI,10,10
5943808,Gwayasdums 1,IRI,27,38
5943809,Hopetown 10A,IRI,0,0
5943813,Quaee 7,IRI,78,91
5943815,Kippase 2,IRI,228,211
5943816,Quatsino Subdivision 18,IRI,224,214
5943817,Thomas Point 5,IRI,0,0
5943835,Nimpkish 2,IRI,0,10
5943836,Hope Island 1,IRI,0,15
5943837,Alert Bay,IRI,465,537
5945006,Central Coast A,RDA,203,129
5945010,Central Coast C,RDA,653,588
5945012,Central Coast D,RDA,399,384
5945014,Central Coast E,RDA,148,95
5945801,Bella Bella 1,IRI,1019,1095
5945802,Bella Coola 1,IRI,807,852
5945803,Katit 1,IRI,90,63
5947007,Port Edward,DM,467,544
5947012,Prince Rupert,CY,12220,12508
5947016,Skeena-Queen Charlotte A,RDA,41,29
5947021,Skeena-Queen Charlotte C,RDA,68,147
5947023,Masset,VL,793,884
5947026,Queen Charlotte,VL,852,944
5947027,Skeena-Queen Charlotte D,RDA,539,524
5947030,Port Clements,VL,282,378
5947032,Skeena-Queen Charlotte E,RDA,340,317
5947803,Masset 1,IRI,555,614
5947804,Skidegate 1,IRI,837,709
5947806,Kulkayu (Hartley Bay) 4,IRI,52,20
5947807,Dolphin Island 1,IRI,353,405
5947809,Lax Kw'alaams 1,IRI,646,678
5947810,S1/2 Tsimpsean 2,IRI,88,83
5949005,Kitimat,DM,8131,8335
5949011,Terrace,CY,11643,11486
5949013,Kitimat-Stikine C (Part 1),RDA,2834,2696
5949018,Kitimat-Stikine E,RDA,3993,3988
5949020,Kitimat-Stikine C (Part 2),RDA,5,5
5949022,Hazelton,VL,313,300
5949024,New Hazelton,DM,580,666
5949028,Kitimat-Stikine B,RDA,1473,1507
5949032,Stewart,DM,401,494
5949035,Nisga'a,NL,1880,1909
5949038,Kitimat-Stikine F,RDA,360,328
5949039,Kitimat-Stikine A,RDA,20,35
5949041,Kitimat-Stikine D,RDA,99,140
5949802,Kitasoo 1,IRI,292,322
5949803,Kitamaat 2,IRI,525,514
5949804,Kitsumkaylum 1,IRI,334,302
5949805,Kshish 4,IRI,0,0
5949807,Kulspai 6,IRI,87,95
5949810,Coryatsaqua (Moricetown) 2,IRI,86,88
5949811,Hagwilget 1,IRI,191,238
5949812,Gitanmaax 1,IRI,630,627
5949813,Kispiox 1,IRI,599,536
5949814,Gitsegukla 1,IRI,427,448
5949815,Gitanyow 1,IRI,434,383
5949816,Gitwangak 1,IRI,430,500
5949817,Moricetown 1,IRI,306,259
5949818,Sik-e-dakh 2,IRI,236,222
5949819,Babine 17,IRI,111,175
5949820,Bulkley River 19,IRI,128,38
5949832,Iskut 6,IRI,295,315
5949843,Guhthe Tah 12,IRI,148,157
5949844,Kitselas 1,IRI,269,220
5949845,Dease Lake 9,IRI,54,58
5949846,Tahltan 1,IRI,0,0
5949847,Telegraph Creek,IRI,53,5
5951007,Vanderhoof,DM,4439,4480
5951009,Fraser Lake,VL,988,1167
5951013,Fort St. James,DM,1598,1691
5951015,Bulkley-Nechako C,RDA,1415,1429
5951017,Bulkley-Nechako D,RDA,1472,1734
5951019,Bulkley-Nechako F,RDA,3665,3702
5951022,Burns Lake,VL,1779,2029
5951028,Bulkley-Nechako B,RDA,1938,2102
5951031,Bulkley-Nechako E,RDA,1593,1507
