sgc,name,type,pop,prev_pop
5901003,Elkford,DM,2499,2523
5901006,Sparwood,DM,3784,3667
5901012,Fernie,CY,5249,4448
5901017,East Kootenay A,RDA,1943,1899
5901019,East Kootenay B,RDA,1976,1746
5901022,Cranbrook,CY,20047,19319
5901028,Kimberley,CY,7425,6652
5901035,East Kootenay C,RDA,6036,5713
5901037,East Kootenay E,RDA,1753,1634
5901039,Invermere,DM,3391,2955
5901040,Radium Hot Springs,VL,776,777
5901043,Canal Flats,VL,668,715
5901046,East Kootenay F,RDA,2726,2635
5901048,East Kootenay G,RDA,1462,1412
5901801,Tobacco Plains 2,IRI,75,57
5901802,Isidore's Ranch 4,IRI,0,0
5901803,Kootenay 1,IRI,170,104
5901804,Columbia Lake 3,IRI,140,131
5901805,Cassimayooks (Mayook) 5,IRI,0,5
5901806,Shuswap,IRI,319,293
5903004,Creston,T,5351,5306
5903010,Central Kootenay A,RDA,1930,2030
5903011,Salmo,VL,1141,1139
5903013,Central Kootenay B,RDA,4657,4464
5903015,Nelson,CY,10572,10230
5903017,Central Kootenay C,RDA,1482,1372
5903019,Slocan,VL,272,296
5903023,Kaslo,VL,968,1031
5903027,Silverton,VL,195,195
5903032,New Denver,VL,473,504
5903039,Central Kootenay D,RDA,1343,1408
5903041,Central Kootenay E,RDA,3772,3781
5903043,Central Kootenay F,RDA,3963,3976
5903045,Castlegar,CY,8039,7816
5903047,Central Kootenay G,RDA,1623,1597
5903050,Nakusp,VL,1605,1569
5903052,Central Kootenay H,RDA,4667,4289
5903056,Central Kootenay I,RDA,2534,2570
5903058,Central Kootenay J,RDA,3137,2996
5903060,Central Kootenay K,RDA,1681,1759
5903807,Creston 1,IRI,112,113
5905005,Fruitvale,VL,1920,2011
5905009,Montrose,VL,996,1030
5905014,Trail,CY,7709,7681
5905018,Warfield,VL,1680,1700
5905023,Rossland,CY,3729,3556
5905026,Kootenay Boundary A,RDA,1891,1850
5905030,Kootenay Boundary B / Lower Columbia-Old-Glory,RDA,1442,1395
5905032,Grand Forks,CY,4049,3985
5905037,Midway,VL,649,674
5905042,Greenwood,CY,665,708
5905050,Kootenay Boundary C / Christina Lake,RDA,1337,1391
5905052,Kootenay Boundary D / Rural Grand Forks,RDA,3225,3187
5905054,Kootenay Boundary E / West Boundary,RDA,2155,1970
5907005,Osoyoos,T,5085,4845
5907009,Keremeos,VL,1502,1330
5907014,Oliver,T,4928,4824
5907022,Okanagan-Similkameen A,RDA,1858,1892
5907024,Princeton,T,2828,2724
5907026,Okanagan-Similkameen B,RDA,1047,1140
5907028,Okanagan-Similkameen C,RDA,3557,3473
5907035,Summerland,DM,11615,11280
5907041,Penticton,CY,33761,32877
5907047,Okanagan-Similkameen D,RDA,5874,5717
5907049,Okanagan-Similkameen E,RDA,1903,1844
5907051,Okanagan-Similkameen F,RDA,2014,2100
5907053,Okanagan-Similkameen G,RDA,2236,2314
5907055,Okanagan-Similkameen H,RDA,1953,1768
5907801,Lower Similkameen 2,IRI,58,50
5907802,Osoyoos 1,IRI,762,628
5907803,Penticton 1,IRI,1783,1667
5907805,Chopaka 7 & 8,IRI,81,70
5907806,Blind Creek 6,IRI,26,25
5907807,Chuchuwayha 2,IRI,58,76
5907808,Alexis 9,IRI,10,25
5907809,Ashnola 10,IRI,83,73
5909009,Hope,DM,6181,5969
5909014,Fraser Valley A,RDA,405,437
5909016,Fraser Valley B,RDA,915,721
5909020,Chilliwack,CY,83788,77936
5909027,Harrison Hot Springs,VL,1468,1468
5909032,Kent,DM,6067,5664
5909034,Fraser Valley D,RDA,1529,1346
5909035,Fraser Valley H,RDA,1847,1769
5909036,Fraser Valley E,RDA,1540,1589
5909048,Fraser Valley C,RDA,1023,973
5909052,Abbotsford,CY,141397,133497
5909056,Mission,DM,38833,36426
5909060,Fraser Valley F,RDA,1293,1303
5909062,Fraser Valley G,RDA,1776,1764
5909804,Chawathil 4,IRI,186,163
