year,pfma,taxa,fn,n_lic
1992,5,crab,FALSE,40
1992,5,rockfish,FALSE,1296
1992,6,crab,FALSE,40
1992,6,rockfish,FALSE,1296
1992,7,crab,FALSE,40
1992,7,rockfish,FALSE,1296
1992,8,crab,FALSE,40
1992,8,rockfish,FALSE,1296
1992,9,crab,FALSE,40
1992,9,rockfish,FALSE,1296
1992,10,bivalve,FALSE,23
1992,10,crab,FALSE,40
1992,10,processing,FALSE,9
1992,10,rockfish,FALSE,1296
1992,11,bivalve,FALSE,76
1992,11,rockfish,FALSE,1296
1992,12,bivalve,FALSE,88
1992,12,rockfish,FALSE,1296
1992,13,bivalve,FALSE,264
1992,14,bivalve,FALSE,436
1992,15,bivalve,FALSE,438
1992,16,bivalve,FALSE,610
1992,17,bivalve,FALSE,587
1992,18,bivalve,FALSE,587
1992,19,bivalve,FALSE,599
1992,20,bivalve,FALSE,607
1992,20,crab,FALSE,70
1992,20,rockfish,FALSE,1296
1992,21,crab,FALSE,70
1992,21,rockfish,FALSE,1296
1992,23,bivalve,FALSE,289
1992,23,crab,FALSE,70
1992,23,rockfish,FALSE,1296
1992,24,bivalve,FALSE,289
1992,24,crab,FALSE,70
1992,24,rockfish,FALSE,1296
1992,25,bivalve,FALSE,289
1992,25,crab,FALSE,70
1992,25,rockfish,FALSE,1296
1992,26,bivalve,FALSE,289
1992,26,crab,FALSE,70
1992,26,rockfish,FALSE,1296
1992,27,bivalve,FALSE,289
1992,27,crab,FALSE,70
1992,27,rockfish,FALSE,1296
1992,28,bivalve,FALSE,174
1992,29,bivalve,FALSE,773
1992,101,crab,FALSE,19
1992,101,rockfish,FALSE,1296
1992,102,bivalve,FALSE,10
1992,102,crab,FALSE,19
1992,102,rockfish,FALSE,1296
1992,103,crab,FALSE,19
1992,103,rockfish,FALSE,1296
1992,104,crab,FALSE,19
1992,104,rockfish,FALSE,1296
1992,105,crab,FALSE,19
1992,105,rockfish,FALSE,1296
1992,106,crab,FALSE,19
1992,106,rockfish,FALSE,1296
1992,107,crab,FALSE,19
1992,107,rockfish,FALSE,1296
1992,108,crab,FALSE,19
1992,108,rockfish,FALSE,1296
1992,109,crab,FALSE,19
1992,109,rockfish,FALSE,1296
1992,110,crab,FALSE,19
1992,110,rockfish,FALSE,1296
1992,111,rockfish,FALSE,1296
1992,121,crab,FALSE,70
1992,121,rockfish,FALSE,1296
1992,123,crab,FALSE,70
1992,123,rockfish,FALSE,1296
1992,124,crab,FALSE,70
1992,124,rockfish,FALSE,1296
1992,125,crab,FALSE,70
1992,125,rockfish,FALSE,1296
1992,126,crab,FALSE,70
1992,126,rockfish,FALSE,1296
1992,127,crab,FALSE,70
1992,127,rockfish,FALSE,1296
1992,130,crab,FALSE,19
1992,130,rockfish,FALSE,1296
1992,142,crab,FALSE,19
1992,142,rockfish,FALSE,1296
1993,1,bivalve,FALSE,35
1993,1,crab,FALSE,25
1993,1,processing,FALSE,4
1993,1,rockfish,FALSE,252
1993,2,crab,FALSE,25
1993,2,rockfish,FALSE,252
1993,3,crab,FALSE,38
1993,3,rockfish,FALSE,252
1993,4,crab,FALSE,38
1993,4,rockfish,FALSE,252
1993,5,crab,FALSE,38
1993,5,rockfish,FALSE,252
1993,6,crab,FALSE,38
1993,6,rockfish,FALSE,252
1993,7,crab,FALSE,38
1993,7,rockfish,FALSE,252
1993,8,crab,FALSE,38
1993,8,rockfish,FALSE,252
1993,9,crab,FALSE,38
1993,9,rockfish,FALSE,252
1993,10,bivalve,FALSE,24
1993,10,crab,FALSE,38
1993,10,processing,FALSE,4
1993,10,rockfish,FALSE,252
1993,11,bivalve,FALSE,61
1993,11,rockfish,FALSE,252
1993,12,bivalve,FALSE,73
1993,12,rockfish,FALSE,253
1993,13,bivalve,FALSE,314
1993,13,rockfish,FALSE,1
1993,14,bivalve,FALSE,533
1993,14,rockfish,FALSE,1
1993,15,bivalve,FALSE,514
1993,15,rockfish,FALSE,1
1993,16,bivalve,FALSE,733
1993,16,rockfish,FALSE,1
1993,17,bivalve,FALSE,387
1993,17,rockfish,FALSE,1
1993,18,bivalve,FALSE,387
1993,18,rockfish,FALSE,1
1993,19,bivalve,FALSE,399
1993,19,rockfish,FALSE,1
1993,20,bivalve,FALSE,406
1993,20,crab,FALSE,63
1993,20,rockfish,FALSE,253
1993,21,crab,FALSE,63
1993,21,rockfish,FALSE,252
1993,23,bivalve,FALSE,153
1993,23,crab,FALSE,63
1993,23,rockfish,FALSE,252
1993,24,bivalve,FALSE,153
1993,24,crab,FALSE,63
1993,24,rockfish,FALSE,252
1993,25,bivalve,FALSE,153
1993,25,crab,FALSE,63
1993,25,rockfish,FALSE,252
1993,26,bivalve,FALSE,153
1993,26,crab,FALSE,63
1993,26,rockfish,FALSE,252
1993,27,bivalve,FALSE,153
1993,27,crab,FALSE,63
1993,27,rockfish,FALSE,252
1993,28,bivalve,FALSE,200
1993,28,rockfish,FALSE,1
1993,29,bivalve,FALSE,599
1993,29,rockfish,FALSE,1
1993,101,crab,FALSE,25
1993,101,rockfish,FALSE,252
1993,102,bivalve,FALSE,11
1993,102,crab,FALSE,25
1993,102,rockfish,FALSE,252
1993,103,crab,FALSE,25
1993,103,rockfish,FALSE,252
1993,104,crab,FALSE,25
1993,104,rockfish,FALSE,252
1993,105,crab,FALSE,25
1993,105,rockfish,FALSE,252
1993,106,crab,FALSE,25
1993,106,rockfish,FALSE,252
1993,107,crab,FALSE,25
1993,107,rockfish,FALSE,252
1993,108,crab,FALSE,25
1993,108,rockfish,FALSE,252
1993,109,crab,FALSE,25
1993,109,rockfish,FALSE,252
1993,110,crab,FALSE,25
1993,110,rockfish,FALSE,252
1993,111,rockfish,FALSE,252
1993,121,crab,FALSE,63
1993,121,rockfish,FALSE,252
1993,123,crab,FALSE,63
1993,123,rockfish,FALSE,252
1993,124,crab,FALSE,63
1993,124,rockfish,FALSE,252
1993,125,crab,FALSE,63
1993,125,rockfish,FALSE,252
1993,126,crab,FALSE,63
1993,126,rockfish,FALSE,252
1993,127,crab,FALSE,63
1993,127,rockfish,FALSE,252
1993,130,crab,FALSE,25
1993,130,rockfish,FALSE,252
1993,142,crab,FALSE,25
1993,142,rockfish,FALSE,252
1994,1,bivalve,FALSE,53
1994,1,crab,FALSE,35
1994,1,echinoderm,FALSE,77
1994,1,rockfish,FALSE,184
1994,2,crab,FALSE,35
1994,2,rockfish,FALSE,184
1994,3,crab,FALSE,34
1994,3,rockfish,FALSE,184
1994,4,crab,FALSE,34
1994,4,rockfish,FALSE,184
1994,5,crab,FALSE,34
1994,5,rockfish,FALSE,184
1994,6,crab,FALSE,34
1994,6,rockfish,FALSE,184
1994,7,crab,FALSE,34
1994,7,rockfish,FALSE,184
1994,8,crab,FALSE,34
1994,8,rockfish,FALSE,184
1994,9,crab,FALSE,34
1994,9,rockfish,FALSE,184
1994,10,bivalve,FALSE,27
1994,10,crab,FALSE,34
1994,10,echinoderm,FALSE,77
1994,10,rockfish,FALSE,184
1994,11,bivalve,FALSE,84
1994,11,echinoderm,FALSE,33
1994,11,rockfish,FALSE,184
1994,12,bivalve,FALSE,94
1994,12,rockfish,FALSE,259
1994,13,bivalve,FALSE,319
1994,13,rockfish,FALSE,75
1994,14,bivalve,FALSE,568
1994,14,rockfish,FALSE,75
1994,15,bivalve,FALSE,429
1994,15,rockfish,FALSE,75
1994,16,bivalve,FALSE,678
1994,16,rockfish,FALSE,75
1994,17,bivalve,FALSE,478
1994,17,rockfish,FALSE,75
1994,18,bivalve,FALSE,478
1994,18,rockfish,FALSE,75
1994,19,bivalve,FALSE,488
1994,19,rockfish,FALSE,75
1994,20,bivalve,FALSE,496
1994,20,crab,FALSE,54
1994,20,rockfish,FALSE,259
1994,21,crab,FALSE,54
1994,21,rockfish,FALSE,184
1994,23,bivalve,FALSE,349
1994,23,crab,FALSE,54
1994,23,rockfish,FALSE,184
1994,24,bivalve,FALSE,349
1994,24,crab,FALSE,54
1994,24,rockfish,FALSE,184
1994,25,bivalve,FALSE,349
1994,25,crab,FALSE,54
1994,25,rockfish,FALSE,184
1994,26,bivalve,FALSE,349
1994,26,crab,FALSE,54
1994,26,rockfish,FALSE,184
1994,27,bivalve,FALSE,349
1994,27,crab,FALSE,54
1994,27,rockfish,FALSE,184
1994,28,bivalve,FALSE,110
1994,28,rockfish,FALSE,75
1994,29,bivalve,FALSE,598
1994,29,echinoderm,FALSE,33
1994,29,rockfish,FALSE,75
1994,101,crab,FALSE,35
1994,101,echinoderm,FALSE,77
1994,101,rockfish,FALSE,184
1994,102,bivalve,FALSE,26
1994,102,crab,FALSE,35
1994,102,rockfish,FALSE,184
1994,103,crab,FALSE,35
1994,103,rockfish,FALSE,184
1994,104,crab,FALSE,35
1994,104,rockfish,FALSE,184
1994,105,crab,FALSE,35
1994,105,echinoderm,FALSE,77
1994,105,rockfish,FALSE,184
1994,106,crab,FALSE,35
1994,106,echinoderm,FALSE,77
1994,106,rockfish,FALSE,184
1994,107,crab,FALSE,35
1994,107,rockfish,FALSE,184
1994,108,crab,FALSE,35
1994,108,rockfish,FALSE,184
1994,109,crab,FALSE,35
1994,109,echinoderm,FALSE,77
1994,109,rockfish,FALSE,184
1994,110,crab,FALSE,35
1994,110,rockfish,FALSE,184
