order_no,issued_date,revoked_date,area_closed,year_issued,year_revoked
PTN-2008-302,2008-10-17,2009-06-26,13,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,14,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,15,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,16,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,17,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,18,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,19,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,20,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,21,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,22,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,23,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,24,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,25,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,26,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,27,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,28,2008.0,2009.0
PTN-2008-302,2008-10-17,2009-06-26,29,2008.0,2009.0
PTN-2008-303,2008-10-21,2009-01-09,1,2008.0,2009.0
PTN-2008-304,2008-10-21,2009-01-09,1,2008.0,2009.0
PTN-2008-311,2008-10-24,2009-04-01,4,2008.0,2009.0
PTN-2008-312,2008-10-24,2009-04-01,4,2008.0,2009.0
PTN-2008-315,2008-10-30,2009-01-16,2,2008.0,2009.0
PTN-2008-316,2008-10-30,2009-01-16,2,2008.0,2009.0
PTN-2008-326,2008-11-04,2009-04-01,5,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,12,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,13,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,14,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,15,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,16,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,17,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,18,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,19,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,20,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,21,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,22,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,23,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,24,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,25,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,26,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,27,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,28,2008.0,2009.0
PTN-2008-330,2008-11-07,2009-04-01,29,2008.0,2009.0
PTN-2008-331,2008-11-07,2009-05-01,29,2008.0,2009.0
PTN-2008-335,2008-11-14,2009-03-06,7,2008.0,2009.0
PTN-2008-336,2008-11-14,2009-03-06,7,2008.0,2009.0
PTN-2008-342,2008-11-19,2009-01-08,23,2008.0,2009.0
PSN-2008-344,2008-11-26,2010-01-15,12,2008.0,2010.0
PSN-2008-346,2008-11-26,2009-04-27,17,2008.0,2009.0
PSN-2008-347,2008-11-26,2009-06-05,18,2008.0,2009.0
PSN-2008-348,2008-11-26,2009-06-05,23,2008.0,2009.0
PTN-2008-351,2008-11-26,2009-01-05,3,2008.0,2009.0
PTN-2008-351,2008-11-26,2009-01-05,4,2008.0,2009.0
PTN-2008-357,2008-11-28,2009-01-05,4,2008.0,2009.0
PTN-2008-358,2008-11-28,2009-01-05,4,2008.0,2009.0
PTN-2008-365,2008-12-05,2009-02-13,13,2008.0,2009.0
PTN-2008-365,2008-12-05,2009-02-13,15,2008.0,2009.0
PTN-2008-365,2008-12-05,2009-02-13,16,2008.0,2009.0
PTN-2008-367,2008-12-09,2009-01-05,3,2008.0,2009.0
PTN-2008-367,2008-12-09,2009-01-05,4,2008.0,2009.0
PTN-2008-367,2008-12-09,2009-01-05,5,2008.0,2009.0
PTN-2008-367,2008-12-09,2009-01-05,6,2008.0,2009.0
