rgn_id,pfmsa_id,area_km2,a_tot_km2
1.0,103-0,8.0,7886.5
1.0,105-1,53.75,7886.5
1.0,105-2,97.25,7886.5
1.0,106-1,186.5,7886.5
1.0,106-2,164.25,7886.5
1.0,3-1,339.0,7886.5
1.0,3-10,31.0,7886.5
1.0,3-11,0.25,7886.5
1.0,3-12,135.5,7886.5
1.0,3-13,29.75,7886.5
1.0,3-14,208.75,7886.5
1.0,3-15,67.0,7886.5
1.0,3-16,15.25,7886.5
1.0,3-17,32.5,7886.5
1.0,3-2,45.75,7886.5
1.0,3-3,135.0,7886.5
1.0,3-4,45.5,7886.5
1.0,3-5,1.75,7886.5
1.0,3-6,72.0,7886.5
1.0,3-7,149.5,7886.5
1.0,3-8,20.5,7886.5
1.0,3-9,27.75,7886.5
1.0,4-1,258.5,7886.5
1.0,4-10,46.5,7886.5
1.0,4-11,19.25,7886.5
1.0,4-12,285.75,7886.5
1.0,4-13,124.5,7886.5
1.0,4-14,1.25,7886.5
1.0,4-15,37.5,7886.5
1.0,4-2,256.75,7886.5
1.0,4-3,109.5,7886.5
1.0,4-4,11.25,7886.5
1.0,4-5,294.25,7886.5
1.0,4-6,2.25,7886.5
1.0,4-7,4.0,7886.5
1.0,4-8,13.25,7886.5
1.0,4-9,545.0,7886.5
1.0,5-1,51.25,7886.5
1.0,5-10,136.0,7886.5
1.0,5-11,167.25,7886.5
1.0,5-12,14.5,7886.5
1.0,5-13,93.5,7886.5
1.0,5-14,77.5,7886.5
1.0,5-15,9.5,7886.5
1.0,5-16,43.25,7886.5
1.0,5-17,268.5,7886.5
1.0,5-18,5.75,7886.5
1.0,5-19,9.75,7886.5
1.0,5-2,62.0,7886.5
1.0,5-20,232.25,7886.5
1.0,5-21,16.5,7886.5
1.0,5-22,168.5,7886.5
1.0,5-23,82.25,7886.5
1.0,5-24,42.0,7886.5
1.0,5-3,42.5,7886.5
1.0,5-4,41.5,7886.5
1.0,5-5,11.5,7886.5
1.0,5-6,5.5,7886.5
1.0,5-7,4.75,7886.5
1.0,5-8,9.0,7886.5
1.0,5-9,28.25,7886.5
1.0,6-1,340.0,7886.5
1.0,6-10,372.25,7886.5
1.0,6-11,44.5,7886.5
1.0,6-12,32.75,7886.5
1.0,6-13,98.5,7886.5
1.0,6-2,187.25,7886.5
1.0,6-20,28.75,7886.5
1.0,6-26,12.25,7886.5
1.0,6-27,8.75,7886.5
1.0,6-28,44.25,7886.5
1.0,6-3,155.75,7886.5
1.0,6-4,81.0,7886.5
1.0,6-5,293.25,7886.5
1.0,6-6,187.25,7886.5
1.0,6-7,40.0,7886.5
1.0,6-8,9.75,7886.5
1.0,6-9,451.0,7886.5
2.0,101-1,118.25,6617.25
2.0,101-10,77.75,6617.25
2.0,101-2,97.75,6617.25
2.0,101-3,34.0,6617.25
2.0,101-6,55.75,6617.25
2.0,101-7,135.75,6617.25
2.0,102-1,538.25,6617.25
2.0,102-2,451.0,6617.25
2.0,102-3,154.0,6617.25
2.0,1-1,141.0,6617.25
2.0,1-2,98.5,6617.25
2.0,1-3,105.75,6617.25
2.0,130-3,65.5,6617.25
2.0,1-4,38.0,6617.25
2.0,142-1,538.75,6617.25
2.0,142-2,478.5,6617.25
2.0,1-5,228.75,6617.25
2.0,1-6,304.0,6617.25
2.0,1-7,47.25,6617.25
2.0,2-1,268.0,6617.25
2.0,2-10,70.75,6617.25
2.0,2-100,1.25,6617.25
2.0,2-11,217.0,6617.25
2.0,2-12,157.5,6617.25
2.0,2-13,29.25,6617.25
2.0,2-14,88.5,6617.25
2.0,2-15,59.0,6617.25
2.0,2-16,9.5,6617.25
2.0,2-17,45.5,6617.25
2.0,2-18,73.0,6617.25
2.0,2-19,52.75,6617.25
2.0,2-2,64.0,6617.25
2.0,2-3,92.0,6617.25
2.0,2-31,93.5,6617.25
2.0,2-32,4.0,6617.25
2.0,2-33,3.0,6617.25
2.0,2-34,4.75,6617.25
2.0,2-35,14.0,6617.25
2.0,2-36,4.5,6617.25
2.0,2-37,3.75,6617.25
2.0,2-38,202.0,6617.25
2.0,2-39,5.25,6617.25
2.0,2-4,30.5,6617.25
2.0,2-40,2.5,6617.25
2.0,2-41,3.75,6617.25
2.0,2-42,14.0,6617.25
2.0,2-43,10.75,6617.25
2.0,2-44,5.25,6617.25
2.0,2-45,9.0,6617.25
2.0,2-46,7.75,6617.25
2.0,2-47,6.0,6617.25
2.0,2-48,13.5,6617.25
2.0,2-49,65.0,6617.25
2.0,2-5,6.75,6617.25
2.0,2-50,8.5,6617.25
2.0,2-51,6.75,6617.25
2.0,2-52,4.5,6617.25
2.0,2-53,11.5,6617.25
2.0,2-54,4.5,6617.25
2.0,2-55,5.75,6617.25
2.0,2-56,3.75,6617.25
2.0,2-57,2.25,6617.25
2.0,2-58,3.5,6617.25
2.0,2-59,4.25,6617.25
2.0,2-6,97.25,6617.25
2.0,2-60,11.25,6617.25
2.0,2-61,5.5,6617.25
2.0,2-62,11.5,6617.25
2.0,2-63,19.25,6617.25
2.0,2-64,13.75,6617.25
2.0,2-65,9.0,6617.25
2.0,2-66,9.0,6617.25
2.0,2-67,9.0,6617.25
2.0,2-68,78.5,6617.25
2.0,2-69,36.5,6617.25
2.0,2-7,174.75,6617.25
2.0,2-70,7.25,6617.25
2.0,2-71,6.0,6617.25
2.0,2-72,0.5,6617.25
2.0,2-73,10.75,6617.25
2.0,2-74,1.0,6617.25
2.0,2-75,63.25,6617.25
2.0,2-76,15.75,6617.25
2.0,2-77,6.5,6617.25
2.0,2-78,84.75,6617.25
2.0,2-79,47.25,6617.25
2.0,2-8,170.5,6617.25
2.0,2-80,5.25,6617.25
2.0,2-81,2.75,6617.25
2.0,2-82,11.0,6617.25
2.0,2-83,2.75,6617.25
2.0,2-84,0.75,6617.25
2.0,2-85,17.75,6617.25
2.0,2-86,14.5,6617.25
2.0,2-87,12.25,6617.25
2.0,2-88,61.75,6617.25
2.0,2-89,8.25,6617.25
2.0,2-9,18.25,6617.25
2.0,2-90,5.0,6617.25
2.0,2-91,4.5,6617.25
2.0,2-92,14.25,6617.25
2.0,2-93,1.25,6617.25
2.0,2-94,0.75,6617.25
2.0,2-95,3.5,6617.25
2.0,2-96,2.0,6617.25
2.0,2-97,28.5,6617.25
2.0,2-98,9.75,6617.25
2.0,2-99,2.5,6617.25
3.0,10-1,102.75,5063.25
3.0,10-2,45.0,5063.25
3.0,107-2,33.5,5063.25
3.0,107-3,0.25,5063.25
3.0,108-1,53.5,5063.25
3.0,109-0,32.25,5063.25
3.0,111-0,54.0,5063.25
3.0,127-4,55.0,5063.25
3.0,130-1,9.0,5063.25
3.0,6-15,3.25,5063.25
3.0,6-16,127.25,5063.25
3.0,6-17,41.75,5063.25
3.0,6-18,28.5,5063.25
3.0,6-19,99.25,5063.25
3.0,6-20,81.5,5063.25
3.0,6-22,5.75,5063.25
3.0,6-23,10.5,5063.25
3.0,6-24,5.0,5063.25
3.0,6-25,20.5,5063.25
3.0,7-1,168.5,5063.25
3.0,7-10,64.5,5063.25
3.0,7-11,27.0,5063.25
3.0,7-12,84.25,5063.25
3.0,7-13,50.0,5063.25
3.0,7-14,96.75,5063.25
3.0,7-15,69.25,5063.25
3.0,7-16,41.0,5063.25
3.0,7-17,87.5,5063.25
3.0,7-18,105.75,5063.25
3.0,7-19,28.5,5063.25
3.0,7-2,84.0,5063.25
3.0,7-20,11.75,5063.25
3.0,7-21,12.75,5063.25
3.0,7-22,2.0,5063.25
3.0,7-23,28.0,5063.25
3.0,7-24,24.25,5063.25
3.0,7-25,259.25,5063.25
3.0,7-26,147.5,5063.25
3.0,7-27,85.5,5063.25
3.0,7-28,26.5,5063.25
3.0,7-29,35.25,5063.25
3.0,7-3,247.25,5063.25
3.0,7-30,19.0,5063.25
3.0,7-31,106.0,5063.25
3.0,7-32,19.0,5063.25
3.0,7-4,70.25,5063.25
3.0,7-5,53.0,5063.25
3.0,7-6,87.25,5063.25
3.0,7-7,31.5,5063.25
3.0,7-8,2.0,5063.25
3.0,7-9,139.0,5063.25
3.0,8-1,130.25,5063.25
3.0,8-10,36.5,5063.25
3.0,8-11,46.25,5063.25
3.0,8-12,87.0,5063.25
3.0,8-13,134.25,5063.25
3.0,8-14,54.5,5063.25
3.0,8-15,136.75,5063.25
3.0,8-16,95.0,5063.25
3.0,8-2,48.75,5063.25
3.0,8-3,47.75,5063.25
3.0,8-4,234.25,5063.25
3.0,8-5,74.0,5063.25
3.0,8-6,8.75,5063.25
3.0,8-7,158.5,5063.25
3.0,8-8,83.75,5063.25
3.0,8-9,62.5,5063.25
3.0,9-1,137.75,5063.25
3.0,9-10,20.25,5063.25
3.0,9-11,25.5,5063.25
3.0,9-12,92.75,5063.25
3.0,9-2,88.5,5063.25
3.0,9-3,25.5,5063.25
3.0,9-4,29.25,5063.25
3.0,9-5,16.75,5063.25
3.0,9-6,39.75,5063.25
3.0,9-7,11.0,5063.25
3.0,9-8,15.0,5063.25
4.0,10-1,8.0,6325.25
4.0,10-10,14.75,6325.25
4.0,10-12,17.75,6325.25
4.0,10-2,125.75,6325.25
4.0,10-3,41.0,6325.25
4.0,10-4,54.0,6325.25
4.0,10-5,16.25,6325.25
4.0,10-6,12.5,6325.25
4.0,10-7,15.5,6325.25
4.0,10-8,5.25,6325.25
4.0,10-9,10.0,6325.25
4.0,11-1,75.75,6325.25
4.0,11-10,33.75,6325.25
4.0,111-0,366.5,6325.25
4.0,11-2,394.25,6325.25
4.0,11-3,79.75,6325.25
4.0,11-4,1.75,6325.25
4.0,11-8,12.25,6325.25
4.0,11-9,9.25,6325.25
4.0,12-1,63.25,6325.25
4.0,12-10,19.75,6325.25
4.0,12-11,102.0,6325.25
4.0,12-12,47.75,6325.25
4.0,12-13,186.0,6325.25
4.0,12-14,36.5,6325.25
4.0,12-15,84.5,6325.25
4.0,12-16,112.5,6325.25
4.0,12-17,18.25,6325.25
4.0,12-18,98.5,6325.25
4.0,12-19,32.25,6325.25
4.0,12-2,49.25,6325.25
4.0,12-20,3.75,6325.25
4.0,12-21,1.5,6325.25
4.0,12-22,14.0,6325.25
4.0,12-23,27.5,6325.25
4.0,12-24,1.5,6325.25
4.0,12-25,15.5,6325.25
4.0,12-26,126.25,6325.25
4.0,12-27,79.25,6325.25
4.0,12-28,12.25,6325.25
4.0,12-29,17.0,6325.25
4.0,12-3,121.0,6325.25
4.0,12-30,51.5,6325.25
4.0,12-31,35.0,6325.25
4.0,12-32,21.0,6325.25
4.0,12-33,24.0,6325.25
4.0,12-34,33.5,6325.25
4.0,12-35,94.75,6325.25
4.0,12-36,14.0,6325.25
4.0,12-37,8.5,6325.25
4.0,12-38,19.0,6325.25
4.0,12-39,124.5,6325.25
4.0,12-4,11.25,6325.25
4.0,12-40,67.25,6325.25
4.0,12-41,98.0,6325.25
4.0,12-42,29.5,6325.25
4.0,12-43,33.75,6325.25
4.0,12-44,3.75,6325.25
4.0,12-45,44.0,6325.25
4.0,12-46,7.75,6325.25
4.0,12-47,15.25,6325.25
4.0,12-48,12.5,6325.25
4.0,12-5,42.75,6325.25
4.0,12-6,197.5,6325.25
4.0,126-4,4.5,6325.25
