value,rgn_id,n_cells
14,1,740
NA,1,380634
14,2,108
NA,2,253287
14,3,1260
NA,3,357942
14,4,79
NA,4,364514
14,5,49
NA,5,203339
14,6,1064
NA,6,263315
14,8,1267
NA,8,25544
14,NA,127335
NA,NA,268890123
