rgn_id,year,stock,C_Ct
1,2009,CH AABM NC,1.27067
2,2009,CH AABM NC,1.27067
3,2009,CH AABM NC,1.27067
4,2009,CH AABM NC,1.27067
5,2009,CH AABM NC,1.27067
6,2009,CH AABM NC,1.27067
8,2009,CH AABM NC,1.27067
1,2010,CH AABM NC,1.17412
2,2010,CH AABM NC,1.17412
3,2010,CH AABM NC,1.17412
4,2010,CH AABM NC,1.17412
5,2010,CH AABM NC,1.17412
6,2010,CH AABM NC,1.17412
8,2010,CH AABM NC,1.17412
1,2011,CH AABM NC,1.52291
2,2011,CH AABM NC,1.52291
3,2011,CH AABM NC,1.52291
4,2011,CH AABM NC,1.52291
5,2011,CH AABM NC,1.52291
6,2011,CH AABM NC,1.52291
8,2011,CH AABM NC,1.52291
1,2012,CH AABM NC,1.24265
2,2012,CH AABM NC,1.24265
3,2012,CH AABM NC,1.24265
4,2012,CH AABM NC,1.24265
5,2012,CH AABM NC,1.24265
6,2012,CH AABM NC,1.24265
8,2012,CH AABM NC,1.24265
1,2013,CH AABM NC,1.90055
2,2013,CH AABM NC,1.90055
3,2013,CH AABM NC,1.90055
4,2013,CH AABM NC,1.90055
5,2013,CH AABM NC,1.90055
6,2013,CH AABM NC,1.90055
8,2013,CH AABM NC,1.90055
1,2014,CH AABM NC,1.21069
2,2014,CH AABM NC,1.21069
3,2014,CH AABM NC,1.21069
4,2014,CH AABM NC,1.21069
5,2014,CH AABM NC,1.21069
6,2014,CH AABM NC,1.21069
8,2014,CH AABM NC,1.21069
1,2015,CH AABM NC,1.55189
2,2015,CH AABM NC,1.55189
3,2015,CH AABM NC,1.55189
4,2015,CH AABM NC,1.55189
5,2015,CH AABM NC,1.55189
6,2015,CH AABM NC,1.55189
8,2015,CH AABM NC,1.55189
1,2009,CH AABM WCVI,0.73264
2,2009,CH AABM WCVI,0.73264
3,2009,CH AABM WCVI,0.73264
4,2009,CH AABM WCVI,0.73264
5,2009,CH AABM WCVI,0.73264
6,2009,CH AABM WCVI,0.73264
8,2009,CH AABM WCVI,0.73264
1,2010,CH AABM WCVI,1.02339
2,2010,CH AABM WCVI,1.02339
3,2010,CH AABM WCVI,1.02339
4,2010,CH AABM WCVI,1.02339
5,2010,CH AABM WCVI,1.02339
6,2010,CH AABM WCVI,1.02339
8,2010,CH AABM WCVI,1.02339
1,2011,CH AABM WCVI,0.66003
2,2011,CH AABM WCVI,0.66003
3,2011,CH AABM WCVI,0.66003
4,2011,CH AABM WCVI,0.66003
5,2011,CH AABM WCVI,0.66003
6,2011,CH AABM WCVI,0.66003
8,2011,CH AABM WCVI,0.66003
1,2012,CH AABM WCVI,0.8463
2,2012,CH AABM WCVI,0.8463
3,2012,CH AABM WCVI,0.8463
4,2012,CH AABM WCVI,0.8463
5,2012,CH AABM WCVI,0.8463
6,2012,CH AABM WCVI,0.8463
8,2012,CH AABM WCVI,0.8463
