rgn_id,trash_score,year
1,0.6771508849935487,2002
1,0.6771508849935487,2003
1,0.6771508849935487,2004
1,0.6771508849935487,2005
1,0.6771508849935487,2006
1,0.6771508849935487,2007
1,0.6771508849935487,2008
1,0.6771508849935487,2009
1,0.6771508849935487,2010
1,0.6771508849935487,2011
1,0.6771508849935487,2012
1,0.6771508849935487,2013
2,0.7445982450475711,2002
2,0.7445982450475711,2003
2,0.7445982450475711,2004
2,0.7445982450475711,2005
2,0.7445982450475711,2006
2,0.7445982450475711,2007
2,0.7445982450475711,2008
2,0.7445982450475711,2009
2,0.7445982450475711,2010
2,0.7445982450475711,2011
2,0.7445982450475711,2012
2,0.7445982450475711,2013
3,0.6596567302209773,2002
3,0.6596567302209773,2003
3,0.6596567302209773,2004
3,0.6596567302209773,2005
3,0.6596567302209773,2006
3,0.6596567302209773,2007
3,0.6596567302209773,2008
3,0.6596567302209773,2009
3,0.6596567302209773,2010
3,0.6596567302209773,2011
3,0.6596567302209773,2012
3,0.6596567302209773,2013
4,0.7549966280244861,2002
4,0.7549966280244861,2003
4,0.7549966280244861,2004
4,0.7549966280244861,2005
4,0.7549966280244861,2006
4,0.7549966280244861,2007
4,0.7549966280244861,2008
4,0.7549966280244861,2009
4,0.7549966280244861,2010
4,0.7549966280244861,2011
4,0.7549966280244861,2012
4,0.7549966280244861,2013
5,0.7570319112573083,2002
5,0.7570319112573083,2003
5,0.7570319112573083,2004
5,0.7570319112573083,2005
5,0.7570319112573083,2006
5,0.7570319112573083,2007
5,0.7570319112573083,2008
5,0.7570319112573083,2009
5,0.7570319112573083,2010
5,0.7570319112573083,2011
5,0.7570319112573083,2012
5,0.7570319112573083,2013
6,0.8279076299597505,2002
6,0.8279076299597505,2003
6,0.8279076299597505,2004
6,0.8279076299597505,2005
6,0.8279076299597505,2006
6,0.8279076299597505,2007
6,0.8279076299597505,2008
6,0.8279076299597505,2009
6,0.8279076299597505,2010
6,0.8279076299597505,2011
6,0.8279076299597505,2012
6,0.8279076299597505,2013
7,0.8815482771226879,2002
7,0.8815482771226879,2003
7,0.8815482771226879,2004
7,0.8815482771226879,2005
7,0.8815482771226879,2006
7,0.8815482771226879,2007
7,0.8815482771226879,2008
7,0.8815482771226879,2009
7,0.8815482771226879,2010
7,0.8815482771226879,2011
7,0.8815482771226879,2012
7,0.8815482771226879,2013
8,0.694095764254381,2002
8,0.694095764254381,2003
8,0.694095764254381,2004
8,0.694095764254381,2005
8,0.694095764254381,2006
8,0.694095764254381,2007
8,0.694095764254381,2008
8,0.694095764254381,2009
8,0.694095764254381,2010
8,0.694095764254381,2011
8,0.694095764254381,2012
8,0.694095764254381,2013
