Stock,Year,B,B/Bmsy,F (1-SPR),F/Fmsy
Pacific ocean perch,1940,65470.6,2.496590909,0.002727,0.00545462
Pacific ocean perch,1941,65414,2.494432581,0.004091,0.00818219
Pacific ocean perch,1942,65352.8,2.492098841,0.007264,0.0145276
Pacific ocean perch,1943,65287.2,2.489597315,0.025529,0.0510577
Pacific ocean perch,1944,65179.7,2.485498017,0.044188,0.088375
Pacific ocean perch,1945,65025,2.479598841,0.065898,0.131797
Pacific ocean perch,1946,64811.5,2.471457444,0.05275,0.1055
Pacific ocean perch,1947,64634.3,2.464700275,0.045215,0.0904295
Pacific ocean perch,1948,64476.1,2.458667633,0.04832,0.0966393
Pacific ocean perch,1949,64309.2,2.452303234,0.11955,0.2391
Pacific ocean perch,1950,63941,2.43826266,0.167462,0.334924
Pacific ocean perch,1951,63438.5,2.419100824,0.199517,0.399034
Pacific ocean perch,1952,62868.7,2.397372636,0.380761,0.761522
Pacific ocean perch,1953,61595.9,2.348836943,0.309108,0.618215
Pacific ocean perch,1954,60799.3,2.318460189,0.403358,0.806716
Pacific ocean perch,1955,59700.3,2.276552013,0.341223,0.682446
Pacific ocean perch,1956,59103.1,2.253778981,0.471677,0.943355
Pacific ocean perch,1957,58028,2.212782184,0.432429,0.864859
Pacific ocean perch,1958,57419.6,2.189582062,0.369003,0.738006
Pacific ocean perch,1959,57282.3,2.1843464,0.263659,0.527318
Pacific ocean perch,1960,57598.2,2.196392617,0.385158,0.770317
Pacific ocean perch,1961,57284.2,2.184418853,0.47926,0.958521
Pacific ocean perch,1962,56259.6,2.145347773,0.563587,1.12717
Pacific ocean perch,1963,54465.2,2.076921904,0.651993,1.30399
Pacific ocean perch,1964,51762.9,1.973875076,0.682499,1.365
Pacific ocean perch,1965,48822.6,1.861752593,0.757051,1.5141
Pacific ocean perch,1966,45083.4,1.71916565,0.9220287,1.84406
Pacific ocean perch,1967,35014.9,1.335223459,0.9226598,1.84532
Pacific ocean perch,1968,27492.7,1.048379347,0.899673,1.79935
Pacific ocean perch,1969,23075.5,0.879938225,0.60691,1.21382
Pacific ocean perch,1970,22743.8,0.867289506,0.65906,1.31812
Pacific ocean perch,1971,22032.4,0.840161684,0.631551,1.2631
Pacific ocean perch,1972,21316.7,0.81286989,0.629838,1.25968
Pacific ocean perch,1973,20554.3,0.783797285,0.72857,1.45714
Pacific ocean perch,1974,19365.7,0.738472392,0.705975,1.41195
Pacific ocean perch,1975,18566.9,0.708011745,0.563211,1.12642
Pacific ocean perch,1976,18508.4,0.705780964,0.634405,1.26881
Pacific ocean perch,1977,18275,0.69688072,0.626432,1.25286
Pacific ocean perch,1978,17967.6,0.685158633,0.713794,1.42759
Pacific ocean perch,1979,17093.5,0.651826571,0.670202,1.3404
Pacific ocean perch,1980,16268.5,0.62036684,0.711848,1.4237
Pacific ocean perch,1981,15226.7,0.580639872,0.616122,1.23224
Pacific ocean perch,1982,14624.4,0.557672361,0.562671,1.12534
Pacific ocean perch,1983,14282,0.544615619,0.68558,1.37116
Pacific ocean perch,1984,13691.3,0.522090451,0.702941,1.40588
Pacific ocean perch,1985,13091.3,0.499210647,0.689974,1.37995
Pacific ocean perch,1986,12596.2,0.480330995,0.69179,1.38358
Pacific ocean perch,1987,12124.4,0.462339841,0.633975,1.26795
Pacific ocean perch,1988,11854.7,0.452055369,0.699605,1.39921
Pacific ocean perch,1989,11424.9,0.435665802,0.71654,1.43308
