loiczid,mean_cat_score,mean_pop_trend_score,n_cat_species,n_trend_species,source
49060,0.209345794392523,-0.1,107,90,iucn
49061,0.206422018348624,-0.108695652173913,109,92,iucn
49780,0.213888888888889,-0.0955056179775281,108,89,iucn
49781,0.211009174311927,-0.0888888888888889,109,90,iucn
49782,0.194339622641509,-0.1,106,90,iucn
50494,0.232727272727273,-0.104395604395604,110,91,iucn
50495,0.232110091743119,-0.111111111111111,109,90,iucn
50496,0.227522935779817,-0.105555555555556,109,90,iucn
50497,0.26231884057971,-0.0925925925925926,69,54,iucn
50498,0.220183486238532,-0.1,109,90,iucn
50499,0.216216216216216,-0.103260869565217,111,92,iucn
50500,0.214678899082569,-0.0833333333333333,109,90,iucn
51209,0.338297872340426,-0.0441176470588235,47,34,iucn
51210,0.322,-0.0285714285714286,50,35,iucn
51211,0.286666666666667,-0.0555555555555556,60,45,iucn
51212,0.276470588235294,-0.0588235294117647,68,51,iucn
51213,0.269014084507042,-0.0648148148148148,71,54,iucn
51214,0.23394495412844,-0.0944444444444444,109,90,iucn
51215,0.233018867924528,-0.102272727272727,106,88,iucn
51216,0.230188679245283,-0.102272727272727,106,88,iucn
51217,0.228571428571429,-0.0977011494252874,105,87,iucn
51218,0.271014492753623,-0.0925925925925926,69,54,iucn
51219,0.22,-0.104395604395604,110,91,iucn
51220,0.21875,-0.0967741935483871,112,93,iucn
51223,0.197142857142857,-0.0852272727272727,105,88,iucn
51924,0.348888888888889,-0.09375,45,32,iucn
51925,0.348888888888889,-0.09375,45,32,iucn
51926,0.345652173913043,-0.106060606060606,46,33,iucn
51927,0.345652173913043,-0.106060606060606,46,33,iucn
51928,0.35,-0.0757575757575758,46,33,iucn
51929,0.342553191489362,-0.0735294117647059,47,34,iucn
51930,0.338297872340426,-0.0441176470588235,47,34,iucn
51931,0.318,-0.0416666666666667,50,36,iucn
51932,0.283870967741935,-0.0434782608695652,62,46,iucn
51933,0.267142857142857,-0.0648148148148148,70,54,iucn
51934,0.223364485981308,-0.0965909090909091,107,88,iucn
51935,0.227619047619048,-0.0977011494252874,105,87,iucn
51936,0.225961538461538,-0.0930232558139535,104,86,iucn
51937,0.223529411764706,-0.0833333333333333,102,84,iucn
51938,0.277941176470588,-0.0849056603773585,68,53,iucn
51939,0.225225225225225,-0.108695652173913,111,92,iucn
51940,0.217857142857143,-0.10752688172043,112,93,iucn
51941,0.210526315789474,-0.0904255319148936,114,94,iucn
51942,0.207142857142857,-0.0815217391304348,112,92,iucn
51943,0.204587155963303,-0.0879120879120879,109,91,iucn
52643,0.381578947368421,-0.0740740740740741,38,27,iucn
52644,0.376923076923077,-0.0535714285714286,39,28,iucn
52645,0.36046511627907,-0.0833333333333333,43,30,iucn
52646,0.353333333333333,-0.09375,45,32,iucn
52647,0.353333333333333,-0.09375,45,32,iucn
52648,0.353333333333333,-0.09375,45,32,iucn
52649,0.348888888888889,-0.09375,45,32,iucn
52650,0.342553191489362,-0.0735294117647059,47,34,iucn
52651,0.33125,-0.0441176470588235,48,34,iucn
52652,0.294642857142857,-0.0595238095238095,56,42,iucn
52653,0.284375,-0.0625,64,48,iucn
52654,0.269444444444444,-0.0803571428571429,72,56,iucn
52655,0.223364485981308,-0.0965909090909091,107,88,iucn
52656,0.227619047619048,-0.0977011494252874,105,87,iucn
52657,0.225961538461538,-0.0930232558139535,104,86,iucn
52658,0.26865671641791,-0.0769230769230769,67,52,iucn
52659,0.273239436619718,-0.0892857142857143,71,56,iucn
52660,0.223893805309735,-0.102150537634409,113,93,iucn
52661,0.217857142857143,-0.108695652173913,112,92,iucn
52662,0.205263157894737,-0.0851063829787234,114,94,iucn
52663,0.207142857142857,-0.0815217391304348,112,92,iucn
52664,0.203669724770642,-0.0879120879120879,109,91,iucn
53363,0.381578947368421,-0.0740740740740741,38,27,iucn
53364,0.381578947368421,-0.0740740740740741,38,27,iucn
53365,0.3625,-0.0740740740740741,40,27,iucn
53366,0.358536585365854,-0.0535714285714286,41,28,iucn
53367,0.356818181818182,-0.0967741935483871,44,31,iucn
53368,0.353333333333333,-0.09375,45,32,iucn
53369,0.353333333333333,-0.09375,45,32,iucn
53370,0.356818181818182,-0.0806451612903226,44,31,iucn
53371,0.35,-0.0909090909090909,46,33,iucn
53372,0.33265306122449,-0.0571428571428571,49,35,iucn
53373,0.287931034482759,-0.0697674418604651,58,43,iucn
53374,0.273134328358209,-0.0588235294117647,67,51,iucn
53375,0.265753424657534,-0.087719298245614,73,57,iucn
53376,0.227619047619048,-0.0988372093023256,105,86,iucn
53377,0.231372549019608,-0.107142857142857,102,84,iucn
53378,0.235,-0.103658536585366,100,82,iucn
53379,0.267647058823529,-0.0849056603773585,68,53,iucn
53380,0.261971830985915,-0.0818181818181818,71,55,iucn
53381,0.221929824561404,-0.101063829787234,114,94,iucn
53382,0.213513513513514,-0.0934065934065934,111,91,iucn
53383,0.213392857142857,-0.0978260869565217,112,92,iucn
53384,0.206306306306306,-0.0879120879120879,111,91,iucn
53386,0.203669724770642,-0.0989010989010989,109,91,iucn
53387,0.197247706422018,-0.0989010989010989,109,91,iucn
54084,0.381578947368421,-0.0740740740740741,38,27,iucn
54085,0.3625,-0.0740740740740741,40,27,iucn
54086,0.3625,-0.0740740740740741,40,27,iucn
54087,0.358536585365854,-0.0892857142857143,41,28,iucn
54088,0.356818181818182,-0.0967741935483871,44,31,iucn
54089,0.356818181818182,-0.0967741935483871,44,31,iucn
54090,0.354347826086957,-0.106060606060606,46,33,iucn
54091,0.357777777777778,-0.09375,45,32,iucn
54092,0.35,-0.0909090909090909,46,33,iucn
54093,0.313461538461538,-0.105263157894737,52,38,iucn
54094,0.292982456140351,-0.0714285714285714,57,42,iucn
54095,0.277272727272727,-0.0686274509803922,66,51,iucn
54096,0.268918918918919,-0.0948275862068965,74,58,iucn
54097,0.227619047619048,-0.0988372093023256,105,86,iucn
54098,0.22970297029703,-0.102409638554217,101,83,iucn
54099,0.235,-0.103658536585366,100,82,iucn
54100,0.27536231884058,-0.0660377358490566,69,53,iucn
54101,0.265753424657534,-0.0701754385964912,73,57,iucn
54102,0.264788732394366,-0.0818181818181818,71,55,iucn
54103,0.213513513513514,-0.0934065934065934,111,91,iucn
54104,0.206034482758621,-0.09375,116,96,iucn
54105,0.204424778761062,-0.0913978494623656,113,93,iucn
54106,0.2,-0.0957446808510638,112,94,iucn
54107,0.201801801801802,-0.102150537634409,111,93,iucn
54805,0.381578947368421,-0.0740740740740741,38,27,iucn
54806,0.3625,-0.0740740740740741,40,27,iucn
54807,0.358536585365854,-0.0892857142857143,41,28,iucn
54808,0.358536585365854,-0.0892857142857143,41,28,iucn
54809,0.361363636363636,-0.129032258064516,44,31,iucn
54810,0.357777777777778,-0.109375,45,32,iucn
54811,0.354347826086957,-0.106060606060606,46,33,iucn
54812,0.357777777777778,-0.09375,45,32,iucn
54813,0.35,-0.0909090909090909,46,33,iucn
54814,0.307547169811321,-0.0897435897435897,53,39,iucn
54815,0.292982456140351,-0.0714285714285714,57,42,iucn
54816,0.2828125,-0.0612244897959184,64,49,iucn
54817,0.273239436619718,-0.0727272727272727,71,55,iucn
54818,0.235238095238095,-0.104651162790698,105,86,iucn
54819,0.272602739726027,-0.0803571428571429,73,56,iucn
54820,0.272602739726027,-0.0727272727272727,73,55,iucn
54821,0.276,-0.0789473684210526,75,57,iucn
54822,0.266233766233766,-0.076271186440678,77,59,iucn
54823,0.281333333333333,-0.0932203389830508,75,59,iucn
54824,0.221052631578947,-0.0904255319148936,114,94,iucn
54825,0.202608695652174,-0.0894736842105263,115,95,iucn
54826,0.198245614035088,-0.106382978723404,114,94,iucn
54827,0.2,-0.0957446808510638,112,94,iucn
55526,0.3625,-0.0740740740740741,40,27,iucn
55527,0.3625,-0.0740740740740741,40,27,iucn
55528,0.358536585365854,-0.0892857142857143,41,28,iucn
55529,0.35952380952381,-0.103448275862069,42,29,iucn
55530,0.361363636363636,-0.129032258064516,44,31,iucn
55531,0.361363636363636,-0.129032258064516,44,31,iucn
55532,0.354347826086957,-0.106060606060606,46,33,iucn
55533,0.357777777777778,-0.09375,45,32,iucn
55534,0.35,-0.0909090909090909,46,33,iucn
55535,0.313461538461538,-0.105263157894737,52,38,iucn
55536,0.303636363636364,-0.0975609756097561,55,41,iucn
55537,0.295,-0.0777777777777778,60,45,iucn
55538,0.285714285714286,-0.0925925925925926,70,54,iucn
55539,0.276712328767123,-0.087719298245614,73,57,iucn
55540,0.278666666666667,-0.0964912280701754,75,57,iucn
55541,0.27972972972973,-0.0803571428571429,74,56,iucn
55542,0.284415584415584,-0.076271186440678,77,59,iucn
55543,0.27051282051282,-0.0916666666666667,78,60,iucn
55544,0.224137931034483,-0.0885416666666667,116,96,iucn
55545,0.207563025210084,-0.086734693877551,119,98,iucn
55546,0.199152542372881,-0.103092783505155,118,97,iucn
55547,0.197457627118644,-0.108247422680412,118,97,iucn
55549,0.196491228070175,-0.0904255319148936,114,94,iucn
56247,0.373170731707317,-0.0892857142857143,41,28,iucn
56248,0.369767441860465,-0.116666666666667,43,30,iucn
56249,0.369767441860465,-0.116666666666667,43,30,iucn
56250,0.369767441860465,-0.116666666666667,43,30,iucn
56251,0.370454545454545,-0.129032258064516,44,31,iucn
56252,0.371111111111111,-0.140625,45,32,iucn
56253,0.363829787234043,-0.117647058823529,47,34,iucn
56254,0.367391304347826,-0.106060606060606,46,33,iucn
56255,0.359574468085106,-0.102941176470588,47,34,iucn
56256,0.348979591836735,-0.125,49,36,iucn
56257,0.310526315789474,-0.127906976744186,57,43,iucn
56258,0.312903225806452,-0.125,62,48,iucn
56259,0.3,-0.09,65,50,iucn
56260,0.291304347826087,-0.0849056603773585,69,53,iucn
56261,0.279166666666667,-0.0909090909090909,72,55,iucn
56262,0.281012658227848,-0.0901639344262295,79,61,iucn
56263,0.235245901639344,-0.1,122,100,iucn
56264,0.226890756302521,-0.111111111111111,119,99,iucn
56265,0.226271186440678,-0.112244897959184,118,98,iucn
56266,0.210743801652893,-0.095,121,100,iucn
56267,0.204132231404959,-0.101010101010101,121,99,iucn
56268,0.2025,-0.101010101010101,120,99,iucn
56269,0.201652892561983,-0.105,121,100,iucn
56270,0.203333333333333,-0.095,120,100,iucn
56271,0.204310344827586,-0.104166666666667,116,96,iucn
56968,0.369767441860465,-0.116666666666667,43,30,iucn
56969,0.369767441860465,-0.116666666666667,43,30,iucn
56970,0.369767441860465,-0.116666666666667,43,30,iucn
56971,0.369767441860465,-0.116666666666667,43,30,iucn
56972,0.370454545454545,-0.129032258064516,44,31,iucn
56973,0.371111111111111,-0.140625,45,32,iucn
56974,0.363829787234043,-0.147058823529412,47,34,iucn
56975,0.363829787234043,-0.117647058823529,47,34,iucn
56976,0.363829787234043,-0.117647058823529,47,34,iucn
56977,0.342,-0.135135135135135,50,37,iucn
56978,0.336363636363636,-0.170731707317073,55,41,iucn
56979,0.336842105263158,-0.13953488372093,57,43,iucn
56980,0.322033898305085,-0.116279069767442,59,43,iucn
56981,0.282608695652174,-0.0865384615384615,69,52,iucn
56982,0.297333333333333,-0.0775862068965517,75,58,iucn
56983,0.274390243902439,-0.0769230769230769,82,65,iucn
56984,0.2344,-0.101941747572816,125,103,iucn
56985,0.226446280991736,-0.108910891089109,121,101,iucn
56986,0.225833333333333,-0.116161616161616,120,99,iucn
56988,0.210434782608696,-0.111702127659574,115,94,iucn
56989,0.2,-0.0970873786407767,124,103,iucn
56990,0.2,-0.0931372549019608,122,102,iucn
56991,0.202439024390244,-0.100961538461538,123,104,iucn
56992,0.198333333333333,-0.0980392156862745,120,102,iucn
56993,0.198347107438017,-0.0961538461538462,121,104,iucn
57690,0.35952380952381,-0.137931034482759,42,29,iucn
57691,0.369767441860465,-0.116666666666667,43,30,iucn
57692,0.369767441860465,-0.116666666666667,43,30,iucn
57693,0.366666666666667,-0.140625,45,32,iucn
57694,0.367391304347826,-0.151515151515152,46,33,iucn
57695,0.363829787234043,-0.147058823529412,47,34,iucn
57696,0.363829787234043,-0.117647058823529,47,34,iucn
57697,0.363829787234043,-0.117647058823529,47,34,iucn
57698,0.351923076923077,-0.153846153846154,52,39,iucn
57699,0.341509433962264,-0.1625,53,40,iucn
57700,0.333928571428571,-0.130952380952381,56,42,iucn
57701,0.318032786885246,-0.133333333333333,61,45,iucn
57702,0.301470588235294,-0.117647058823529,68,51,iucn
57703,0.277631578947368,-0.0775862068965517,76,58,iucn
57704,0.267901234567901,-0.0793650793650794,81,63,iucn
57705,0.271428571428571,-0.0859375,84,64,iucn
57706,0.219672131147541,-0.115,122,100,iucn
57707,0.218032786885246,-0.128712871287129,122,101,iucn
57708,0.221186440677966,-0.127551020408163,118,98,iucn
57710,0.206896551724138,-0.109375,116,96,iucn
57711,0.196153846153846,-0.0954545454545455,130,110,iucn
57712,0.1984375,-0.100917431192661,128,109,iucn
57713,0.1984,-0.0943396226415094,125,106,iucn
57714,0.2,-0.0818181818181818,129,110,iucn
58411,0.369047619047619,-0.15,42,30,iucn
58412,0.352272727272727,-0.15,44,30,iucn
58413,0.362222222222222,-0.129032258064516,45,31,iucn
58414,0.36304347826087,-0.140625,46,32,iucn
58415,0.360416666666667,-0.147058823529412,48,34,iucn
58416,0.360416666666667,-0.147058823529412,48,34,iucn
58417,0.360416666666667,-0.117647058823529,48,34,iucn
58418,0.360416666666667,-0.117647058823529,48,34,iucn
58419,0.348076923076923,-0.144736842105263,52,38,iucn
58420,0.338888888888889,-0.1625,54,40,iucn
58421,0.325862068965517,-0.127906976744186,58,43,iucn
58422,0.317741935483871,-0.122222222222222,62,45,iucn
58423,0.284285714285714,-0.105769230769231,70,52,iucn
58424,0.27972972972973,-0.1,74,55,iucn
58425,0.267901234567901,-0.0725806451612903,81,62,iucn
58426,0.270731707317073,-0.0793650793650794,82,63,iucn
58427,0.22755905511811,-0.119047619047619,127,105,iucn
58428,0.215873015873016,-0.123809523809524,126,105,iucn
58429,0.210236220472441,-0.127358490566038,127,106,iucn
58430,0.201612903225806,-0.105769230769231,124,104,iucn
58431,0.208730158730159,-0.111650485436893,126,103,iucn
58432,0.196850393700787,-0.0990566037735849,127,106,iucn
58433,0.190977443609023,-0.0990990990990991,133,111,iucn
