loiczid,mean_cat_score,mean_pop_trend_score,n_cat_species,n_trend_species,source,year
49060,0.208411214953271,-0.1,107,90,iucn,1990
49061,0.205504587155963,-0.108695652173913,109,92,iucn,1990
49780,0.211111111111111,-0.0955056179775281,108,89,iucn,1990
49781,0.210091743119266,-0.0888888888888889,109,90,iucn,1990
49782,0.195283018867925,-0.1,106,90,iucn,1990
50494,0.23,-0.104395604395604,110,91,iucn,1990
50495,0.229357798165138,-0.111111111111111,109,90,iucn,1990
50496,0.224770642201835,-0.105555555555556,109,90,iucn,1990
50497,0.260869565217391,-0.0925925925925926,69,54,iucn,1990
50498,0.21743119266055,-0.1,109,90,iucn,1990
50499,0.213513513513514,-0.103260869565217,111,92,iucn,1990
50500,0.213761467889908,-0.0833333333333333,109,90,iucn,1990
51209,0.331914893617021,-0.0441176470588235,47,34,iucn,1990
51210,0.316,-0.0285714285714286,50,35,iucn,1990
51211,0.281666666666667,-0.0555555555555556,60,45,iucn,1990
51212,0.272058823529412,-0.0588235294117647,68,51,iucn,1990
51213,0.264788732394366,-0.0648148148148148,71,54,iucn,1990
51214,0.229357798165138,-0.0944444444444444,109,90,iucn,1990
51215,0.232075471698113,-0.102272727272727,106,88,iucn,1990
51216,0.227358490566038,-0.102272727272727,106,88,iucn,1990
51217,0.225714285714286,-0.0977011494252874,105,87,iucn,1990
51218,0.269565217391304,-0.0925925925925926,69,54,iucn,1990
51219,0.219090909090909,-0.104395604395604,110,91,iucn,1990
51220,0.217857142857143,-0.0967741935483871,112,93,iucn,1990
51223,0.198095238095238,-0.0852272727272727,105,88,iucn,1990
51924,0.328888888888889,-0.09375,45,32,iucn,1990
51925,0.328888888888889,-0.09375,45,32,iucn,1990
51926,0.326086956521739,-0.106060606060606,46,33,iucn,1990
51927,0.326086956521739,-0.106060606060606,46,33,iucn,1990
51928,0.334782608695652,-0.0757575757575758,46,33,iucn,1990
51929,0.327659574468085,-0.0735294117647059,47,34,iucn,1990
51930,0.331914893617021,-0.0441176470588235,47,34,iucn,1990
51931,0.312,-0.0416666666666667,50,36,iucn,1990
51932,0.279032258064516,-0.0434782608695652,62,46,iucn,1990
51933,0.262857142857143,-0.0648148148148148,70,54,iucn,1990
51934,0.218691588785047,-0.0965909090909091,107,88,iucn,1990
51935,0.222857142857143,-0.0977011494252874,105,87,iucn,1990
51936,0.225,-0.0930232558139535,104,86,iucn,1990
51937,0.222549019607843,-0.0833333333333333,102,84,iucn,1990
51938,0.279411764705882,-0.0849056603773585,68,53,iucn,1990
51939,0.224324324324324,-0.108695652173913,111,92,iucn,1990
51940,0.216964285714286,-0.10752688172043,112,93,iucn,1990
51941,0.209649122807018,-0.0904255319148936,114,94,iucn,1990
51942,0.20625,-0.0815217391304348,112,92,iucn,1990
51943,0.203669724770642,-0.0879120879120879,109,91,iucn,1990
52643,0.352631578947368,-0.0740740740740741,38,27,iucn,1990
52644,0.348717948717949,-0.0535714285714286,39,28,iucn,1990
52645,0.33953488372093,-0.0833333333333333,43,30,iucn,1990
52646,0.333333333333333,-0.09375,45,32,iucn,1990
52647,0.333333333333333,-0.09375,45,32,iucn,1990
52648,0.333333333333333,-0.09375,45,32,iucn,1990
52649,0.333333333333333,-0.09375,45,32,iucn,1990
52650,0.327659574468085,-0.0735294117647059,47,34,iucn,1990
52651,0.325,-0.0441176470588235,48,34,iucn,1990
52652,0.289285714285714,-0.0595238095238095,56,42,iucn,1990
52653,0.2796875,-0.0625,64,48,iucn,1990
52654,0.265277777777778,-0.0803571428571429,72,56,iucn,1990
52655,0.218691588785047,-0.0965909090909091,107,88,iucn,1990
52656,0.222857142857143,-0.0977011494252874,105,87,iucn,1990
52657,0.225,-0.0930232558139535,104,86,iucn,1990
52658,0.270149253731343,-0.0769230769230769,67,52,iucn,1990
52659,0.274647887323944,-0.0892857142857143,71,56,iucn,1990
52660,0.223008849557522,-0.102150537634409,113,93,iucn,1990
52661,0.216964285714286,-0.108695652173913,112,92,iucn,1990
52662,0.204385964912281,-0.0851063829787234,114,94,iucn,1990
52663,0.20625,-0.0815217391304348,112,92,iucn,1990
52664,0.202752293577982,-0.0879120879120879,109,91,iucn,1990
53363,0.352631578947368,-0.0740740740740741,38,27,iucn,1990
53364,0.352631578947368,-0.0740740740740741,38,27,iucn,1990
53365,0.335,-0.0740740740740741,40,27,iucn,1990
53366,0.331707317073171,-0.0535714285714286,41,28,iucn,1990
53367,0.336363636363636,-0.0967741935483871,44,31,iucn,1990
53368,0.333333333333333,-0.09375,45,32,iucn,1990
53369,0.333333333333333,-0.09375,45,32,iucn,1990
53370,0.340909090909091,-0.0806451612903226,44,31,iucn,1990
53371,0.334782608695652,-0.0909090909090909,46,33,iucn,1990
53372,0.326530612244898,-0.0571428571428571,49,35,iucn,1990
53373,0.282758620689655,-0.0697674418604651,58,43,iucn,1990
53374,0.26865671641791,-0.0588235294117647,67,51,iucn,1990
53375,0.261643835616438,-0.087719298245614,73,57,iucn,1990
53376,0.222857142857143,-0.0988372093023256,105,86,iucn,1990
53377,0.226470588235294,-0.107142857142857,102,84,iucn,1990
53378,0.234,-0.103658536585366,100,82,iucn,1990
53379,0.269117647058824,-0.0849056603773585,68,53,iucn,1990
53380,0.263380281690141,-0.0818181818181818,71,55,iucn,1990
53381,0.221052631578947,-0.101063829787234,114,94,iucn,1990
53382,0.212612612612613,-0.0934065934065934,111,91,iucn,1990
53383,0.2125,-0.0978260869565217,112,92,iucn,1990
53384,0.205405405405405,-0.0879120879120879,111,91,iucn,1990
53386,0.202752293577982,-0.0989010989010989,109,91,iucn,1990
53387,0.196330275229358,-0.0989010989010989,109,91,iucn,1990
54084,0.352631578947368,-0.0740740740740741,38,27,iucn,1990
54085,0.335,-0.0740740740740741,40,27,iucn,1990
54086,0.335,-0.0740740740740741,40,27,iucn,1990
54087,0.331707317073171,-0.0892857142857143,41,28,iucn,1990
54088,0.336363636363636,-0.0967741935483871,44,31,iucn,1990
54089,0.336363636363636,-0.0967741935483871,44,31,iucn,1990
54090,0.334782608695652,-0.106060606060606,46,33,iucn,1990
54091,0.342222222222222,-0.09375,45,32,iucn,1990
54092,0.334782608695652,-0.0909090909090909,46,33,iucn,1990
54093,0.3,-0.105263157894737,52,38,iucn,1990
54094,0.287719298245614,-0.0714285714285714,57,42,iucn,1990
54095,0.272727272727273,-0.0686274509803922,66,51,iucn,1990
54096,0.264864864864865,-0.0948275862068965,74,58,iucn,1990
54097,0.222857142857143,-0.0988372093023256,105,86,iucn,1990
54098,0.228712871287129,-0.102409638554217,101,83,iucn,1990
54099,0.234,-0.103658536585366,100,82,iucn,1990
54100,0.276811594202899,-0.0660377358490566,69,53,iucn,1990
54101,0.267123287671233,-0.0701754385964912,73,57,iucn,1990
54102,0.266197183098592,-0.0818181818181818,71,55,iucn,1990
54103,0.212612612612613,-0.0934065934065934,111,91,iucn,1990
54104,0.205172413793103,-0.09375,116,96,iucn,1990
54105,0.20353982300885,-0.0913978494623656,113,93,iucn,1990
54106,0.199107142857143,-0.0957446808510638,112,94,iucn,1990
54107,0.200900900900901,-0.102150537634409,111,93,iucn,1990
54805,0.352631578947368,-0.0740740740740741,38,27,iucn,1990
54806,0.335,-0.0740740740740741,40,27,iucn,1990
54807,0.331707317073171,-0.0892857142857143,41,28,iucn,1990
54808,0.331707317073171,-0.0892857142857143,41,28,iucn,1990
54809,0.340909090909091,-0.129032258064516,44,31,iucn,1990
54810,0.337777777777778,-0.109375,45,32,iucn,1990
54811,0.334782608695652,-0.106060606060606,46,33,iucn,1990
54812,0.342222222222222,-0.09375,45,32,iucn,1990
54813,0.334782608695652,-0.0909090909090909,46,33,iucn,1990
54814,0.294339622641509,-0.0897435897435897,53,39,iucn,1990
54815,0.287719298245614,-0.0714285714285714,57,42,iucn,1990
54816,0.278125,-0.0612244897959184,64,49,iucn,1990
54817,0.269014084507042,-0.0727272727272727,71,55,iucn,1990
54818,0.23047619047619,-0.104651162790698,105,86,iucn,1990
54819,0.273972602739726,-0.0803571428571429,73,56,iucn,1990
54820,0.273972602739726,-0.0727272727272727,73,55,iucn,1990
54821,0.277333333333333,-0.0789473684210526,75,57,iucn,1990
54822,0.267532467532468,-0.076271186440678,77,59,iucn,1990
54823,0.282666666666667,-0.0932203389830508,75,59,iucn,1990
