loiczid,mean_cat_score,mean_pop_trend_score,n_cat_species,n_trend_species,source
49060,0.248484848484849,-0.025,33,20,iucn
49061,0.248484848484849,-0.025,33,20,iucn
49780,0.248484848484849,-0.025,33,20,iucn
49781,0.248484848484849,-0.025,33,20,iucn
49782,0.229032258064516,0,31,19,iucn
50494,0.25625,-0.0263157894736842,32,19,iucn
50495,0.25625,-0.0263157894736842,32,19,iucn
50496,0.248484848484849,-0.025,33,20,iucn
50497,0.25625,-0.0263157894736842,32,19,iucn
50498,0.25625,-0.0263157894736842,64,38,iucn
50499,0.248484848484849,-0.025,33,20,iucn
50500,0.248484848484849,-0.025,33,20,iucn
51209,0.31304347826087,-0.0454545454545455,23,11,iucn
51210,0.288,0,25,12,iucn
51211,0.246666666666667,-0.0294117647058824,30,17,iucn
51212,0.241176470588235,-0.0263157894736842,68,38,iucn
51213,0.241176470588235,-0.0263157894736842,34,19,iucn
51214,0.241176470588235,-0.025,34,20,iucn
51215,0.248484848484849,-0.025,33,20,iucn
51216,0.248484848484849,-0.025,33,20,iucn
51217,0.248484848484849,-0.025,33,20,iucn
51218,0.25625,-0.0263157894736842,64,38,iucn
51219,0.25625,-0.0263157894736842,32,19,iucn
51220,0.248484848484849,-0.025,33,20,iucn
51223,0.215151515151515,0,33,20,iucn
51924,0.333333333333333,-0.111111111111111,21,9,iucn
51925,0.333333333333333,-0.111111111111111,21,9,iucn
51926,0.327272727272727,-0.15,22,10,iucn
51927,0.327272727272727,-0.15,22,10,iucn
51928,0.330434782608696,-0.0909090909090909,23,11,iucn
51929,0.316666666666667,-0.0833333333333333,24,12,iucn
51930,0.31304347826087,-0.0454545454545455,23,11,iucn
51931,0.288,0,25,12,iucn
51932,0.24375,-0.0277777777777778,64,36,iucn
51933,0.236363636363636,-0.0263157894736842,66,38,iucn
51934,0.229411764705882,-0.025,34,20,iucn
51935,0.248484848484849,-0.025,33,20,iucn
51936,0.248484848484849,-0.025,33,20,iucn
51937,0.248484848484849,-0.025,33,20,iucn
51938,0.25625,-0.0263157894736842,64,38,iucn
51939,0.25625,-0.0263157894736842,32,19,iucn
51940,0.248484848484849,-0.025,33,20,iucn
51941,0.241176470588235,-0.025,34,20,iucn
51942,0.234285714285714,-0.0238095238095238,35,21,iucn
51943,0.234285714285714,-0.0238095238095238,35,21,iucn
52643,0.388235294117647,0,17,7,iucn
52644,0.388235294117647,0,17,7,iucn
52645,0.35,-0.0625,20,8,iucn
52646,0.342857142857143,-0.111111111111111,21,9,iucn
52647,0.342857142857143,-0.111111111111111,21,9,iucn
52648,0.342857142857143,-0.111111111111111,21,9,iucn
52649,0.327272727272727,-0.15,22,10,iucn
52650,0.316666666666667,-0.0833333333333333,24,12,iucn
52651,0.3,-0.0454545454545455,24,11,iucn
52652,0.255172413793103,-0.0625,29,16,iucn
52653,0.24375,-0.0277777777777778,64,36,iucn
52654,0.236363636363636,-0.0263157894736842,66,38,iucn
52655,0.229411764705882,-0.025,34,20,iucn
52656,0.248484848484849,-0.025,33,20,iucn
52657,0.248484848484849,-0.025,33,20,iucn
52658,0.25625,-0.0263157894736842,64,38,iucn
52659,0.25625,-0.0263157894736842,64,38,iucn
52660,0.248484848484849,-0.0263157894736842,33,19,iucn
52661,0.241176470588235,-0.025,34,20,iucn
52662,0.234285714285714,-0.0238095238095238,35,21,iucn
52663,0.234285714285714,-0.0238095238095238,105,63,iucn
52664,0.234285714285714,-0.0238095238095238,35,21,iucn
53363,0.388235294117647,0,17,7,iucn
53364,0.388235294117647,0,17,7,iucn
53365,0.347368421052632,0,19,7,iucn
53366,0.347368421052632,0,19,7,iucn
53367,0.342857142857143,-0.111111111111111,21,9,iucn
53368,0.342857142857143,-0.111111111111111,21,9,iucn
53369,0.342857142857143,-0.111111111111111,21,9,iucn
53370,0.342857142857143,-0.111111111111111,21,9,iucn
53371,0.327272727272727,-0.1,22,10,iucn
53372,0.3,-0.0454545454545455,24,11,iucn
53373,0.246666666666667,-0.0625,30,16,iucn
53374,0.236363636363636,-0.0263157894736842,66,38,iucn
53375,0.236363636363636,-0.0263157894736842,66,38,iucn
53376,0.229411764705882,-0.025,34,20,iucn
53377,0.248484848484849,-0.025,33,20,iucn
53378,0.25625,-0.0263157894736842,32,19,iucn
53379,0.25625,-0.0263157894736842,64,38,iucn
53380,0.248484848484849,-0.0263157894736842,66,38,iucn
53381,0.241176470588235,-0.025,68,40,iucn
53382,0.241176470588235,-0.025,34,20,iucn
53383,0.241176470588235,-0.025,102,60,iucn
53384,0.234285714285714,-0.0238095238095238,35,21,iucn
53386,0.234285714285714,-0.0238095238095238,35,21,iucn
53387,0.236363636363636,0,33,19,iucn
54084,0.388235294117647,0,17,7,iucn
54085,0.347368421052632,0,19,7,iucn
54086,0.347368421052632,0,19,7,iucn
54087,0.34,-0.0625,20,8,iucn
54088,0.342857142857143,-0.111111111111111,21,9,iucn
