loiczid,mean_cat_score,mean_pop_trend_score,n_cat_species,n_trend_species,source
49060,0.197979797979798,-0.0671641791044776,99,67,aquamaps
49061,0.19,-0.0671641791044776,100,67,aquamaps
49780,0.132631578947368,-0.0786516853932584,190,89,aquamaps
49781,0.12972972972973,-0.0747126436781609,185,87,aquamaps
50494,0.121491228070175,-0.0561224489795918,228,98,aquamaps
50495,0.122272727272727,-0.0473684210526316,220,95,aquamaps
50496,0.131862745098039,-0.0691489361702128,204,94,aquamaps
50497,0.125742574257426,-0.0815217391304348,202,92,aquamaps
50498,0.127638190954774,-0.0815217391304348,398,184,aquamaps
50499,0.134408602150538,-0.0786516853932584,186,89,aquamaps
50500,0.130208333333333,-0.0769230769230769,192,91,aquamaps
51209,0.0305084745762712,-0.125,118,16,aquamaps
51210,0.0305084745762712,-0.125,118,16,aquamaps
51211,0.0304,-0.117647058823529,125,17,aquamaps
51212,0.0299319727891156,-0.105263157894737,294,38,aquamaps
51213,0.0671957671957672,-0.0930232558139535,189,43,aquamaps
51214,0.117167381974249,-0.0606060606060606,233,99,aquamaps
51215,0.120434782608696,-0.0561224489795918,230,98,aquamaps
51216,0.129326923076923,-0.0691489361702128,208,94,aquamaps
51217,0.128571428571429,-0.0815217391304348,203,92,aquamaps
51218,0.129207920792079,-0.0815217391304348,404,184,aquamaps
51219,0.131155778894472,-0.0815217391304348,199,92,aquamaps
51220,0.138095238095238,-0.0833333333333333,189,90,aquamaps
51223,0.186206896551724,-0.0603448275862069,87,58,aquamaps
51924,0.0297520661157025,-0.125,121,16,aquamaps
51925,0.0305084745762712,-0.125,118,16,aquamaps
51926,0.0290322580645161,-0.117647058823529,124,17,aquamaps
51927,0.0293333333333333,-0.105263157894737,150,19,aquamaps
51928,0.0285714285714286,-0.1,154,20,aquamaps
51929,0.0287581699346405,-0.1,153,20,aquamaps
51930,0.0301587301587302,-0.111111111111111,126,18,aquamaps
51931,0.0330578512396694,-0.138888888888889,121,18,aquamaps
51932,0.0325581395348837,-0.131578947368421,258,38,aquamaps
51933,0.0366863905325444,-0.111111111111111,338,54,aquamaps
51934,0.0996323529411765,-0.0637254901960784,272,102,aquamaps
51935,0.128899082568807,-0.0670103092783505,218,97,aquamaps
51936,0.146969696969697,-0.0721649484536082,198,97,aquamaps
51937,0.13989898989899,-0.0677083333333333,198,96,aquamaps
51938,0.151366120218579,-0.0645161290322581,366,186,aquamaps
51939,0.137810945273632,-0.0631578947368421,201,95,aquamaps
51940,0.125909090909091,-0.0606060606060606,220,99,aquamaps
51941,0.148704663212435,-0.0625,193,96,aquamaps
51942,0.124537037037037,-0.0515463917525773,216,97,aquamaps
51943,0.128310502283105,-0.0656565656565657,219,99,aquamaps
52643,0.0302521008403361,-0.125,119,16,aquamaps
52644,0.0302521008403361,-0.125,119,16,aquamaps
52645,0.0307692307692308,-0.125,117,16,aquamaps
52646,0.0310344827586207,-0.125,116,16,aquamaps
52647,0.03,-0.117647058823529,120,17,aquamaps
52648,0.0297297297297297,-0.105263157894737,148,19,aquamaps
52649,0.0611111111111111,-0.0909090909090909,198,44,aquamaps
52650,0.0297297297297297,-0.105263157894737,148,19,aquamaps
52651,0.0347826086956522,-0.131578947368421,138,19,aquamaps
52652,0.0333333333333333,-0.131578947368421,144,19,aquamaps
52653,0.0315789473684211,-0.131578947368421,266,38,aquamaps
52654,0.0414364640883978,-0.1,362,60,aquamaps
52655,0.0996323529411765,-0.0637254901960784,272,102,aquamaps
52656,0.117826086956522,-0.065,230,100,aquamaps
52657,0.122421524663677,-0.06,223,100,aquamaps
52658,0.120805369127517,-0.10377358490566,298,106,aquamaps
52659,0.124090909090909,-0.0606060606060606,440,198,aquamaps
52660,0.125339366515837,-0.0606060606060606,221,99,aquamaps
52661,0.126666666666667,-0.0567010309278351,210,97,aquamaps
