loiczid,mean_cat_score,mean_pop_trend_score,n_cat_species,n_trend_species,source
49060,0.157446808510638,-0.125,47,20,aquamaps
49061,0.14468085106383,-0.131578947368421,47,19,aquamaps
49780,0.0848418756815703,-0.1,131,35,aquamaps
49781,0.0780652418447694,-0.102941176470588,127,34,aquamaps
50494,0.0732578397212544,-0.102564102564103,164,39,aquamaps
50495,0.070154686078253,-0.0810810810810811,157,37,aquamaps
50496,0.084015984015984,-0.105263157894737,143,38,aquamaps
50497,0.0791208791208791,-0.105263157894737,143,38,aquamaps
50498,0.0808163265306122,-0.105263157894737,140,38,aquamaps
50499,0.0852678571428571,-0.111111111111111,128,36,aquamaps
50500,0.0814498933901919,-0.105263157894737,134,38,aquamaps
51209,0.0224137931034483,-0.125,116,16,aquamaps
51210,0.0224137931034483,-0.125,116,16,aquamaps
51211,0.0227642276422764,-0.117647058823529,123,17,aquamaps
51212,0.023448275862069,-0.105263157894737,145,19,aquamaps
51213,0.038728323699422,-0.103448275862069,173,29,aquamaps
51214,0.0691326530612245,-0.102564102564103,168,39,aquamaps
51215,0.0723752151462995,-0.102564102564103,166,39,aquamaps
51216,0.0817298347910593,-0.105263157894737,147,38,aquamaps
51217,0.0834325396825397,-0.105263157894737,144,38,aquamaps
51218,0.084015984015984,-0.105263157894737,143,38,aquamaps
51219,0.0858163265306122,-0.105263157894737,140,38,aquamaps
51220,0.0924175824175824,-0.111111111111111,130,36,aquamaps
51223,0.134285714285714,-0.136363636363636,35,11,aquamaps
51924,0.0218487394957983,-0.125,119,16,aquamaps
51925,0.0224137931034483,-0.125,116,16,aquamaps
51926,0.0213114754098361,-0.117647058823529,122,17,aquamaps
51927,0.022972972972973,-0.105263157894737,148,19,aquamaps
51928,0.0223684210526316,-0.1,152,20,aquamaps
51929,0.0225165562913907,-0.1,151,20,aquamaps
51930,0.0225806451612903,-0.111111111111111,124,18,aquamaps
51931,0.0252100840336134,-0.138888888888889,119,18,aquamaps
51932,0.0251968503937008,-0.131578947368421,127,19,aquamaps
51933,0.0275449101796407,-0.111111111111111,167,27,aquamaps
51934,0.0541752933057281,-0.107142857142857,207,42,aquamaps
51935,0.0811391223155929,-0.121621621621622,153,37,aquamaps
