"loiczid","mean_cat_score","mean_popn_trend_score","n_cat_species","n_trend_species","source"
49060,0.135484,-0.142857,62,49,"aquamaps"
49061,0.130303,-0.147059,66,51,"aquamaps"
49780,0.124561,-0.152174,114,69,"aquamaps"
49781,0.133962,-0.149254,106,67,"aquamaps"
50494,0.106667,-0.145833,135,72,"aquamaps"
50495,0.104688,-0.130435,128,69,"aquamaps"
50496,0.116129,-0.15493,124,71,"aquamaps"
50497,0.119008,-0.15493,121,71,"aquamaps"
50498,0.12,-0.15493,240,142,"aquamaps"
50499,0.12973,-0.152174,111,69,"aquamaps"
50500,0.126316,-0.15,114,70,"aquamaps"
51209,0.153846,-0.181818,26,11,"aquamaps"
51210,0.153846,-0.181818,26,11,"aquamaps"
51211,0.14,-0.166667,30,12,"aquamaps"
51212,0.12,-0.153846,80,26,"aquamaps"
51213,0.132558,-0.125,86,40,"aquamaps"
51214,0.105882,-0.145833,136,72,"aquamaps"
51215,0.107463,-0.145833,134,72,"aquamaps"
51216,0.114286,-0.15493,126,71,"aquamaps"
51217,0.116129,-0.15493,124,71,"aquamaps"
51218,0.118333,-0.157143,240,140,"aquamaps"
51219,0.118033,-0.15493,122,71,"aquamaps"
51220,0.12,-0.15493,120,71,"aquamaps"
51223,0.0530612,-0.128205,49,39,"aquamaps"
51924,0.142857,-0.181818,28,11,"aquamaps"
51925,0.148148,-0.181818,27,11,"aquamaps"
51926,0.137931,-0.166667,29,12,"aquamaps"
51927,0.12,-0.166667,40,12,"aquamaps"
51928,0.111628,-0.153846,43,13,"aquamaps"
51929,0.114286,-0.153846,42,13,"aquamaps"
51930,0.14,-0.166667,30,12,"aquamaps"
51931,0.162963,-0.208333,27,12,"aquamaps"
51932,0.148387,-0.192308,62,26,"aquamaps"
51933,0.121429,-0.184211,112,38,"aquamaps"
51934,0.104225,-0.148649,142,74,"aquamaps"
51935,0.10963,-0.150685,135,73,"aquamaps"
51936,0.11746,-0.159722,126,72,"aquamaps"
51937,0.1152,-0.15493,125,71,"aquamaps"
51938,0.119008,-0.15493,242,142,"aquamaps"
