filename,year,total
VCReport_AlertBay.csv,2017,770
VCReport_AlertBay.csv,2016,"10,244"
VCReport_AlertBay.csv,2015,"9,195"
VCReport_AlertBay.csv,2014,"9,188"
VCReport_AlertBay.csv,2013,"7,182"
VCReport_AlertBay.csv,2012,"7,026"
VCReport_AlertBay.csv,2011,"6,115"
VCReport_AlertBay.csv,2010,"7,674"
VCReport_AlertBay.csv,2009,"9,730"
VCReport_AlertBay.csv,2008,"9,089"
VCReport_AlertBay.csv,2007,"9,763"
VCReport_Bowen.csv,2017,0
VCReport_Bowen.csv,2016,"1,732"
VCReport_Bowen.csv,2015,"6,213"
VCReport_Bowen.csv,2014,"4,807"
VCReport_Bowen.csv,2013,0
VCReport_Bowen.csv,2012,0
VCReport_Bowen.csv,2011,"7,204"
VCReport_Bowen.csv,2010,"10,852"
VCReport_Bowen.csv,2009,"17,802"
VCReport_Bowen.csv,2008,"12,238"
VCReport_Bowen.csv,2007,"10,015"
VCReport_Campbell.csv,2017,648
VCReport_Campbell.csv,2016,"30,202"
VCReport_Campbell.csv,2015,"33,432"
VCReport_Campbell.csv,2014,"38,514"
VCReport_Campbell.csv,2013,"39,677"
VCReport_Campbell.csv,2012,"40,575"
VCReport_Campbell.csv,2011,"40,002"
VCReport_Campbell.csv,2010,"38,875"
VCReport_Campbell.csv,2009,"37,070"
VCReport_Campbell.csv,2008,"37,534"
VCReport_Campbell.csv,2007,"43,415"
VCReport_Chemainus.csv,2017,"5,177"
VCReport_Chemainus.csv,2016,"25,512"
VCReport_Chemainus.csv,2015,"17,885"
VCReport_Chemainus.csv,2014,"26,115"
VCReport_Chemainus.csv,2013,"23,822"
VCReport_Chemainus.csv,2012,"30,303"
VCReport_Chemainus.csv,2011,"25,912"
VCReport_Chemainus.csv,2010,"43,513"
VCReport_Chemainus.csv,2009,"50,278"
VCReport_Chemainus.csv,2008,"60,088"
VCReport_Chemainus.csv,2007,"67,131"
VCReport_Comox.csv,2017,"7,839"
VCReport_Comox.csv,2016,"29,976"
VCReport_Comox.csv,2015,"27,644"
VCReport_Comox.csv,2014,"27,312"
VCReport_Comox.csv,2013,"28,300"
VCReport_Comox.csv,2012,"30,218"
VCReport_Comox.csv,2011,0
VCReport_Comox.csv,2010,0
VCReport_Comox.csv,2009,0
VCReport_Comox.csv,2008,0
VCReport_Comox.csv,2007,0
VCReport_Delta.csv,2017,595
VCReport_Delta.csv,2016,"2,197"
VCReport_Delta.csv,2015,"2,254"
VCReport_Delta.csv,2014,"1,997"
VCReport_Delta.csv,2013,"1,935"
VCReport_Delta.csv,2012,"2,140"
VCReport_Delta.csv,2011,"2,264"
VCReport_Delta.csv,2010,"2,557"
VCReport_Delta.csv,2009,"2,621"
VCReport_Delta.csv,2008,"2,530"
VCReport_Delta.csv,2007,"3,509"
VCReport_Duncan.csv,2017,"4,160"
VCReport_Duncan.csv,2016,"22,668"
VCReport_Duncan.csv,2015,"21,355"
VCReport_Duncan.csv,2014,"18,522"
VCReport_Duncan.csv,2013,"9,785"
VCReport_Duncan.csv,2012,"11,400"
VCReport_Duncan.csv,2011,"10,288"
VCReport_Duncan.csv,2010,"9,284"
VCReport_Duncan.csv,2009,"8,210"
VCReport_Duncan.csv,2008,"8,978"
VCReport_Duncan.csv,2007,"11,363"
VCReport_Gabriola.csv,2017,270
VCReport_Gabriola.csv,2016,"3,410"
VCReport_Gabriola.csv,2015,"2,372"
VCReport_Gabriola.csv,2014,"1,839"
VCReport_Gabriola.csv,2013,"2,371"
VCReport_Gabriola.csv,2012,"2,353"
VCReport_Gabriola.csv,2011,"2,917"
VCReport_Gabriola.csv,2010,"3,492"
VCReport_Gabriola.csv,2009,"3,969"
VCReport_Gabriola.csv,2008,"2,965"
VCReport_Gabriola.csv,2007,"3,073"
VCReport_Gibsons.csv,2017,"2,068"
VCReport_Gibsons.csv,2016,"12,240"
VCReport_Gibsons.csv,2015,"11,099"
VCReport_Gibsons.csv,2014,"10,858"
VCReport_Gibsons.csv,2013,"11,296"
VCReport_Gibsons.csv,2012,"11,055"
VCReport_Gibsons.csv,2011,"9,777"
VCReport_Gibsons.csv,2010,"12,639"
VCReport_Gibsons.csv,2009,"11,667"
VCReport_Gibsons.csv,2008,"7,333"
VCReport_Gibsons.csv,2007,"12,783"
VCReport_GoldRiver.csv,2017,120
VCReport_GoldRiver.csv,2016,"2,693"
VCReport_GoldRiver.csv,2015,"2,551"
VCReport_GoldRiver.csv,2014,"1,881"
VCReport_GoldRiver.csv,2013,"2,473"
VCReport_GoldRiver.csv,2012,"3,018"
VCReport_GoldRiver.csv,2011,"2,976"
VCReport_GoldRiver.csv,2010,"3,097"
