park,year,count,park_name,rgn_area,tot_area,rgn_id
Cowichan River Park,2012,60092,cowichanriverpark,2381283.37258452,14045234.7121445,6
Dionisio Point Park,2012,6418,dionisiopointpark,1406924.8466792,1406924.8466792,6
Discovery Island Marine Park,2012,1381,discoveryislandmarinepark,675210.475771731,675210.475771731,5
Drumbeg Park,2012,36589,drumbegpark,550660.933450546,550660.933450546,6
Elk Falls Park,2012,128418,elkfallspark,10548582.3736823,10548582.3736823,4
Englishman River Falls Park,2012,155683,englishmanriverfallspark,971149.286096643,971149.286096643,6
Fillongley Park,2012,40686,fillongleypark,264833.428192056,264833.428192056,6
French Beach Park,2012,140579,frenchbeachpark,545719.2749293,545719.2749293,5
Gabriola Sands Park,2012,16616,gabriolasandspark,59680.4931671299,59680.4931671299,6
Goldstream Park,2012,554689,goldstreampark,4788731.52848189,4788731.52848189,6
Gowlland Tod Park,2012,31942,gowllandtodpark,12813203.4213595,12813203.4213595,6
Ha'thayim Marine Park (aka Von Donop Marine Park),2012,NA,hathayimmarinepark,12916622.4120597,12916622.4120597,6
Helliwell Park,2012,52117,helliwellpark,28130888.1118606,28130888.1118606,6
Hemer Park,2012,14694,hemerpark,1096755.89778773,1096755.89778773,6
"Horne Lake
Caves Park",2012,10389,hornelakecavespark,1577716.23052645,1577716.23052645,6
Jedediah Island Marine Park,2012,6391,jedediahislandmarinepark,6035110.00549902,6035110.00549902,6
John Dean Park,2012,35400,johndeanpark,1749675.38587125,1749675.38587125,6
Juan De Fuca Park,2012,315075,juandefucapark,15820956.9684626,15820956.9684626,5
"Kennedy Lake
Park",2012,13129,kennedylakepark,2406077.82736557,2406077.82736557,5
Koksilah River Park,2012,NA,koksilahriverpark,1944564.64185608,2076297.83237753,6
Little Qualicum Falls Park,2012,238977,littlequalicumfallspark,4638961.73067469,4638961.73067469,6
Loveland Bay Park,2012,11195,lovelandbaypark,272176.704810947,272176.704810947,4
Macmillan Park,2012,499608,macmillanpark,3022182.33007833,3022182.33007833,6
Mansons Landing Park,2012,24412,mansonslandingpark,1036858.76313306,1036858.76313306,6
Maquinna Marine Park,2012,26540,maquinnamarinepark,25599798.0275614,25599798.0275614,5
Miracle Beach Park,2012,113668,miraclebeachpark,1363860.80401495,1363860.80401495,6
Mitlenatch Island Nature Park,2012,605,mitlenatchislandnaturepark,1617187.23268115,1617187.23268115,6
Montague Harbour Marine Park,2012,93973,montagueharbourmarinepark,1019777.08416331,1019777.08416331,6
Morton Lake Park,2012,9768,mortonlakepark,738071.955651232,738071.955651232,4
Mount Maxwell Park,2012,36754,mountmaxwellpark,2341397.02538607,2341397.02538607,6
Newcastle Island Marine Park,2012,37238,newcastleislandmarinepark,3635987.60027038,3635987.60027038,6
Octopus Islands Marine Park,2012,NA,octopusislandsmarinepark,8622382.68495486,8622382.68495486,4
Petroglyph Park,2012,37191,petroglyphpark,17048.5362713262,17048.5362713262,6
Pirates Cove Marine Park,2012,8155,piratescovemarinepark,316701.526521343,316701.526521343,6
Raft Cove Park,2012,NA,raftcovepark,7868998.0818119,7868998.0818119,4
Rathtrevor Beach Park,2012,464716,rathtrevorbeachpark,3491404.33031584,3491404.33031584,6
Roberts Memorial Park,2012,29661,robertsmemorialpark,139280.474251091,139280.474251091,6
Rosewall Creek Park,2012,34438,rosewallcreekpark,655199.186368803,655199.186368803,6
Ruckle Park,2012,103287,rucklepark,5336719.37112203,5336719.37112203,6
Sandwell Park,2012,5739,sandwellpark,169919.098354179,169919.098354179,6
Smelt Bay Park,2012,13476,smeltbaypark,204384.91739187,204384.91739187,6
Sooke Potholes Park,2012,156692,sookepotholespark,62601.4624335589,62601.4624335589,5
Spider Lake Park,2012,50117,spiderlakepark,577856.882190879,577856.882190879,6
Sproat Lake Park,2012,188353,sproatlakepark,402649.303968133,402649.303968133,5
Squitty Bay Park,2012,2483,squittybaypark,493366.068009589,493366.068009589,6
Stamp River Park,2012,56251,stampriverpark,2860236.67330243,3463816.02731671,5
Strathcona Park,2012,116885,strathconapark,674290915.880177,2486682018.63985,5
Taylor Arm Park,2012,36329,taylorarmpark,150781.209891367,727883.754009974,5
Teakerne Arm Park,2012,NA,teakernearmpark,1378251.60697746,1378251.60697746,6
Tribune Bay Park,2012,58487,tribunebaypark,948749.141236842,948749.141236842,6
Wakes Cove Park,2012,439,wakescovepark,2042610.62744109,2042610.62744109,6
Wallace Island Marine Park,2012,7051,wallaceislandmarinepark,886652.154194804,886652.154194804,6
Walsh Cove Park,2012,NA,walshcovepark,908121.242960887,908121.242960887,6
"Broughton Archipelago
Marine Park",2013,NA,broughtonarchipelagomarinepark,119702311.758879,119702311.758879,4
Diana Lake Park,2013,7592,dianalakepark,2523626.82540361,2523626.82540361,1
"Kitimat River
Park",2013,319,kitimatriverpark,568884.30007429,568884.30007429,1
Prudhomme Lake Park,2013,12075,prudhommelakepark,91329.5589935469,91329.5589935469,1
Weewanie Hot Springs Park,2013,1424,weewaniehotspringspark,353531.879106369,353531.879106369,1
Alice Lake Park,2013,396960,alicelakepark,4117248.62176708,4117248.62176708,6
"Buccaneer Bay
Park",2013,NA,buccaneerbaypark,447975.339532468,447975.339532468,6
"Copeland
Islands Marine Park",2013,NA,copelandislandsmarinepark,4101422.28695643,4101422.28695643,6
Cypress Park,2013,NA,cypresspark,28607607.4632212,28607607.4632212,6
"Desolation Sound Marine
Park",2013,25562,desolationsoundmarinepark,81397917.118145,81397917.118145,6
"Francis Point
Park",2013,14498,francispointpark,843097.806592267,843097.806592267,6
"Garden Bay
Marine Park",2013,NA,gardenbaymarinepark,1569934.07943186,1569934.07943186,6
Garibaldi Park,2013,87489,garibaldipark,37405056.6115122,1886610271.37132,6
Inland Lake Park,2013,64979,inlandlakepark,26757193.3870752,27579100.4506013,6
Mount Seymour Park,2013,787936,mountseymourpark,35517411.229745,35517411.229745,6
Murrin Park,2013,190967,murrinpark,313301.432637416,313301.432637416,6
Peace Arch Park,2013,169257,peacearchpark,68861.3531157505,68861.3531157505,6
Plumper Cove Marine Park,2013,11003,plumpercovemarinepark,656410.725061331,656410.725061331,6
Porpoise Bay Park,2013,186400,porpoisebaypark,589939.280725068,589939.280725068,6
Porteau Cove Park,2013,547899,porteaucovepark,579658.066692783,579658.066692783,6
"Princess Louisa Marine
Park",2013,17610,princesslouisamarinepark,9684911.81134113,9684911.81134113,6
Roberts Creek Park,2013,53562,robertscreekpark,396384.83589731,396384.83589731,6
Saltery Bay Park,2013,65504,salterybaypark,594255.465218217,594255.465218217,6
Sargeant Bay Park,2013,92129,sargeantbaypark,1461532.64195496,1461532.64195496,6
"Sechelt Inlets
Marine Park",2013,NA,secheltinletsmarineparkhalfwaybeachsite,36510.3503790665,36510.3503790665,6
"Sechelt Inlets
Marine Park",2013,NA,secheltinletsmarineparkkunechinpointsite,444312.394776923,444312.394776923,6
"Sechelt Inlets
Marine Park",2013,NA,secheltinletsmarineparkpiperpointsite,54827.3649532299,54827.3649532299,6
"Sechelt Inlets
Marine Park",2013,NA,secheltinletsmarineparkskaiakospointsite,5488.92141790502,5488.92141790502,6
"Sechelt Inlets
Marine Park",2013,NA,secheltinletsmarineparktzoonienarrowssite,808452.366196916,808452.366196916,6
"Sechelt Inlets
Marine Park",2013,NA,secheltinletsmarineparkthornhillsite,41836.2947006661,41836.2947006661,6
Shannon Falls Park,2013,393322,shannonfallspark,906214.392914996,906214.392914996,6
Skookumchuck Narrows Park,2013,36055,skookumchucknarrowspark,1411125.70403188,1411125.70403188,6
Smuggler Cove Marine Park,2013,11181,smugglercovemarinepark,1846004.54767561,1846004.54767561,6
Stawamus Chief Park,2013,268956,stawamuschiefpark,5304401.62011077,5304401.62011077,6
Tantalus Park,2013,NA,tantaluspark,47549360.3042622,114253130.397342,6
"Tetrahedron
Park",2013,830,tetrahedronpark,60535446.3291914,60535446.3291914,6
"Hakai Conservation
Study Area",2013,NA,hakaiconservationstudyarea,5451687.40582871,5451687.40582871,3
Bamberton Park,2013,90380,bambertonpark,266586.505483485,266586.505483485,6
Bellhouse Park,2013,223,bellhousepark,31054.1929862764,31054.1929862764,6
Bodega Ridge Park,2013,145,bodegaridgepark,3967202.23623831,3967202.23623831,6
"Boyle Point
Park",2013,NA,boylepointpark,1879715.51018093,1879715.51018093,6
Burgoyne Bay Park,2013,2638,burgoynebaypark,5012461.52449696,5012461.52449696,6
"Cape Scott
Park",2013,8831,capescottpark,223096246.553779,223096246.553779,4
Carmanah Walbran Park,2013,1199,carmanahwalbranpark,153353240.246816,163644831.26361,5
Cowichan River Park,2013,33117,cowichanriverpark,2381283.37258452,14045234.7121445,6
Dionisio Point Park,2013,2243,dionisiopointpark,1406924.8466792,1406924.8466792,6
"Discovery
Island Marine Park",2013,345,discoveryislandmarinepark,675210.475771731,675210.475771731,5
Drumbeg Park,2013,46848,drumbegpark,550660.933450546,550660.933450546,6
Elk Falls Park,2013,142933,elkfallspark,10548582.3736823,10548582.3736823,4
"Englishman River Falls
Park",2013,166659,englishmanriverfallspark,971149.286096643,971149.286096643,6
Fillongley Park,2013,33511,fillongleypark,264833.428192056,264833.428192056,6
French Beach Park,2013,139896,frenchbeachpark,545719.2749293,545719.2749293,5
Gabriola Sands Park,2013,27345,gabriolasandspark,59680.4931671299,59680.4931671299,6
Goldstream Park,2013,528821,goldstreampark,4788731.52848189,4788731.52848189,6
Gowlland Tod Park,2013,42212,gowllandtodpark,12813203.4213595,12813203.4213595,6
"Ha'thayim Marine Park (aka Von Donop Marine
Park)",2013,NA,hathayimmarinepark,12916622.4120597,12916622.4120597,6
Helliwell Park,2013,58468,helliwellpark,28130888.1118606,28130888.1118606,6
Hemer Park,2013,7718,hemerpark,1096755.89778773,1096755.89778773,6
"Horne Lake
Caves Park",2013,92432,hornelakecavespark,1577716.23052645,1577716.23052645,6
Jedediah Island Marine Park,2013,1629,jedediahislandmarinepark,6035110.00549902,6035110.00549902,6
John Dean Park,2013,38427,johndeanpark,1749675.38587125,1749675.38587125,6
Juan De Fuca Park,2013,293642,juandefucapark,15820956.9684626,15820956.9684626,5
"Kennedy Lake
Park",2013,NA,kennedylakepark,2406077.82736557,2406077.82736557,5
Koksilah River Park,2013,NA,koksilahriverpark,1944564.64185608,2076297.83237753,6
Little Qualicum Falls Park,2013,239303,littlequalicumfallspark,4638961.73067469,4638961.73067469,6
Loveland Bay Park,2013,10096,lovelandbaypark,272176.704810947,272176.704810947,4
Macmillan Park,2013,455029,macmillanpark,3022182.33007833,3022182.33007833,6
Mansons Landing Park,2013,26993,mansonslandingpark,1036858.76313306,1036858.76313306,6
Maquinna Marine Park,2013,25601,maquinnamarinepark,25599798.0275614,25599798.0275614,5
Miracle Beach Park,2013,117869,miraclebeachpark,1363860.80401495,1363860.80401495,6
Mitlenatch Island Nature Park,2013,NA,mitlenatchislandnaturepark,1617187.23268115,1617187.23268115,6
Montague Harbour Marine Park,2013,102155,montagueharbourmarinepark,1019777.08416331,1019777.08416331,6
Morton Lake Park,2013,9368,mortonlakepark,738071.955651232,738071.955651232,4
Mount Maxwell Park,2013,28521,mountmaxwellpark,2341397.02538607,2341397.02538607,6
Naikoon Park,2013,132543,naikoonpark,690122986.068831,690122986.068831,2
"Newcastle
Island Marine Park",2013,30542,newcastleislandmarinepark,3635987.60027038,3635987.60027038,6
Octopus Islands Marine Park,2013,NA,octopusislandsmarinepark,8622382.68495486,8622382.68495486,4
Petroglyph Park,2013,41297,petroglyphpark,17048.5362713262,17048.5362713262,6
Pirates Cove Marine Park,2013,6030,piratescovemarinepark,316701.526521343,316701.526521343,6
Pure Lake Park,2013,22726,purelakepark,1418116.20159778,1418116.20159778,2
Raft Cove Park,2013,NA,raftcovepark,7868998.0818119,7868998.0818119,4
Rathtrevor Beach Park,2013,554315,rathtrevorbeachpark,3491404.33031584,3491404.33031584,6
Roberts Memorial Park,2013,18890,robertsmemorialpark,139280.474251091,139280.474251091,6
Rosewall Creek Park,2013,45395,rosewallcreekpark,655199.186368803,655199.186368803,6
Ruckle Park,2013,99207,rucklepark,5336719.37112203,5336719.37112203,6
Sandwell Park,2013,5690,sandwellpark,169919.098354179,169919.098354179,6
Smelt Bay Park,2013,15868,smeltbaypark,204384.91739187,204384.91739187,6
Sooke Potholes Park,2013,179326,sookepotholespark,62601.4624335589,62601.4624335589,5
Spider Lake Park,2013,52861,spiderlakepark,577856.882190879,577856.882190879,6
Sproat Lake Park,2013,187424,sproatlakepark,402649.303968133,402649.303968133,5
"Squitty Bay
Park",2013,1238,squittybaypark,493366.068009589,493366.068009589,6
Stamp River Park,2013,52390,stampriverpark,2860236.67330243,3463816.02731671,5
Strathcona Park,2013,180906,strathconapark,674290915.880177,2486682018.63985,5
Taylor Arm Park,2013,90641,taylorarmpark,150781.209891367,727883.754009974,5
Teakerne Arm Park,2013,NA,teakernearmpark,1378251.60697746,1378251.60697746,6
Tribune Bay Park,2013,59288,tribunebaypark,948749.141236842,948749.141236842,6
Wakes Cove Park,2013,99,wakescovepark,2042610.62744109,2042610.62744109,6
Wallace Island Marine Park,2013,7722,wallaceislandmarinepark,886652.154194804,886652.154194804,6
Walsh Cove Park,2013,NA,walshcovepark,908121.242960887,908121.242960887,6
"West Shawnigan
Lake Park",2013,NA,westshawniganlakepark,96571.3611274377,96571.3611274377,6
"Broughton Archipelago
Marine Park",2014,NA,broughtonarchipelagomarinepark,119702311.758879,119702311.758879,4
Diana Lake Park,2014,12275,dianalakepark,2523626.82540361,2523626.82540361,1
"Kitimat River
Park",2014,375,kitimatriverpark,568884.30007429,568884.30007429,1
Prudhomme Lake Park,2014,17705,prudhommelakepark,91329.5589935469,91329.5589935469,1
Weewanie Hot Springs Park,2014,1463,weewaniehotspringspark,353531.879106369,353531.879106369,1
Alice Lake Park,2014,413954,alicelakepark,4117248.62176708,4117248.62176708,6
"Buccaneer Bay
Park",2014,NA,buccaneerbaypark,447975.339532468,447975.339532468,6
"Copeland
Islands Marine Park",2014,NA,copelandislandsmarinepark,4101422.28695643,4101422.28695643,6
Cypress Park,2014,NA,cypresspark,28607607.4632212,28607607.4632212,6
"Desolation Sound Marine
Park",2014,46739,desolationsoundmarinepark,81397917.118145,81397917.118145,6
"Francis Point
Park",2014,32325,francispointpark,843097.806592267,843097.806592267,6
"Garden Bay
Marine Park",2014,NA,gardenbaymarinepark,1569934.07943186,1569934.07943186,6
Garibaldi Park,2014,97151,garibaldipark,37405056.6115122,1886610271.37132,6
Inland Lake Park,2014,51820,inlandlakepark,26757193.3870752,27579100.4506013,6
Mount Seymour Park,2014,688748,mountseymourpark,35517411.229745,35517411.229745,6
Murrin Park,2014,181479,murrinpark,313301.432637416,313301.432637416,6
Peace Arch Park,2014,192589,peacearchpark,68861.3531157505,68861.3531157505,6
Plumper Cove Marine Park,2014,14667,plumpercovemarinepark,656410.725061331,656410.725061331,6
Porpoise Bay Park,2014,247654,porpoisebaypark,589939.280725068,589939.280725068,6
Porteau Cove Park,2014,527884,porteaucovepark,579658.066692783,579658.066692783,6
"Princess Louisa Marine
Park",2014,9475,princesslouisamarinepark,9684911.81134113,9684911.81134113,6
Roberts Creek Park,2014,59431,robertscreekpark,396384.83589731,396384.83589731,6
Saltery Bay Park,2014,82177,salterybaypark,594255.465218217,594255.465218217,6
Sargeant Bay Park,2014,72903,sargeantbaypark,1461532.64195496,1461532.64195496,6
"Sechelt Inlets
Marine Park",2014,NA,secheltinletsmarineparkhalfwaybeachsite,36510.3503790665,36510.3503790665,6
"Sechelt Inlets
Marine Park",2014,NA,secheltinletsmarineparkkunechinpointsite,444312.394776923,444312.394776923,6
"Sechelt Inlets
Marine Park",2014,NA,secheltinletsmarineparkpiperpointsite,54827.3649532299,54827.3649532299,6
"Sechelt Inlets
Marine Park",2014,NA,secheltinletsmarineparkskaiakospointsite,5488.92141790502,5488.92141790502,6
"Sechelt Inlets
Marine Park",2014,NA,secheltinletsmarineparktzoonienarrowssite,808452.366196916,808452.366196916,6
"Sechelt Inlets
Marine Park",2014,NA,secheltinletsmarineparkthornhillsite,41836.2947006661,41836.2947006661,6
Shannon Falls Park,2014,427979,shannonfallspark,906214.392914996,906214.392914996,6
Skookumchuck Narrows Park,2014,32041,skookumchucknarrowspark,1411125.70403188,1411125.70403188,6
Smuggler Cove Marine Park,2014,29295,smugglercovemarinepark,1846004.54767561,1846004.54767561,6
Stawamus Chief Park,2014,332058,stawamuschiefpark,5304401.62011077,5304401.62011077,6
Tantalus Park,2014,NA,tantaluspark,47549360.3042622,114253130.397342,6
"Tetrahedron
Park",2014,763,tetrahedronpark,60535446.3291914,60535446.3291914,6
"Hakai Conservation
Study Area",2014,NA,hakaiconservationstudyarea,5451687.40582871,5451687.40582871,3
Bamberton Park,2014,77706,bambertonpark,266586.505483485,266586.505483485,6
Bellhouse Park,2014,250,bellhousepark,31054.1929862764,31054.1929862764,6
Bodega Ridge Park,2014,121,bodegaridgepark,3967202.23623831,3967202.23623831,6
"Boyle Point
Park",2014,NA,boylepointpark,1879715.51018093,1879715.51018093,6
Burgoyne Bay Park,2014,59633,burgoynebaypark,5012461.52449696,5012461.52449696,6
"Cape Scott
Park",2014,9848,capescottpark,223096246.553779,223096246.553779,4
Carmanah Walbran Park,2014,1505,carmanahwalbranpark,153353240.246816,163644831.26361,5
Cowichan River Park,2014,53723,cowichanriverpark,2381283.37258452,14045234.7121445,6
Dionisio Point Park,2014,2181,dionisiopointpark,1406924.8466792,1406924.8466792,6
"Discovery
Island Marine Park",2014,514,discoveryislandmarinepark,675210.475771731,675210.475771731,5
Drumbeg Park,2014,41990,drumbegpark,550660.933450546,550660.933450546,6
Elk Falls Park,2014,194527,elkfallspark,10548582.3736823,10548582.3736823,4
"Englishman River Falls
Park",2014,159054,englishmanriverfallspark,971149.286096643,971149.286096643,6
Fillongley Park,2014,41544,fillongleypark,264833.428192056,264833.428192056,6
French Beach Park,2014,129433,frenchbeachpark,545719.2749293,545719.2749293,5
Gabriola Sands Park,2014,22064,gabriolasandspark,59680.4931671299,59680.4931671299,6
Goldstream Park,2014,534479,goldstreampark,4788731.52848189,4788731.52848189,6
Gowlland Tod Park,2014,40762,gowllandtodpark,12813203.4213595,12813203.4213595,6
"Ha'thayim Marine Park (aka Von Donop Marine
Park)",2014,NA,hathayimmarinepark,12916622.4120597,12916622.4120597,6
Helliwell Park,2014,65289,helliwellpark,28130888.1118606,28130888.1118606,6
Hemer Park,2014,9978,hemerpark,1096755.89778773,1096755.89778773,6
"Horne Lake
Caves Park",2014,73059,hornelakecavespark,1577716.23052645,1577716.23052645,6
Jedediah Island Marine Park,2014,1566,jedediahislandmarinepark,6035110.00549902,6035110.00549902,6
John Dean Park,2014,39792,johndeanpark,1749675.38587125,1749675.38587125,6
Juan De Fuca Park,2014,324302,juandefucapark,15820956.9684626,15820956.9684626,5
"Kennedy Lake
Park",2014,NA,kennedylakepark,2406077.82736557,2406077.82736557,5
Koksilah River Park,2014,NA,koksilahriverpark,1944564.64185608,2076297.83237753,6
Little Qualicum Falls Park,2014,245551,littlequalicumfallspark,4638961.73067469,4638961.73067469,6
Loveland Bay Park,2014,11999,lovelandbaypark,272176.704810947,272176.704810947,4
Macmillan Park,2014,537569,macmillanpark,3022182.33007833,3022182.33007833,6
Mansons Landing Park,2014,32088,mansonslandingpark,1036858.76313306,1036858.76313306,6
Maquinna Marine Park,2014,23442,maquinnamarinepark,25599798.0275614,25599798.0275614,5
Miracle Beach Park,2014,126202,miraclebeachpark,1363860.80401495,1363860.80401495,6
Mitlenatch Island Nature Park,2014,NA,mitlenatchislandnaturepark,1617187.23268115,1617187.23268115,6
Montague Harbour Marine Park,2014,91164,montagueharbourmarinepark,1019777.08416331,1019777.08416331,6
Morton Lake Park,2014,9761,mortonlakepark,738071.955651232,738071.955651232,4
Mount Maxwell Park,2014,32070,mountmaxwellpark,2341397.02538607,2341397.02538607,6
Naikoon Park,2014,142108,naikoonpark,690122986.068831,690122986.068831,2
"Newcastle
Island Marine Park",2014,24748,newcastleislandmarinepark,3635987.60027038,3635987.60027038,6
Octopus Islands Marine Park,2014,NA,octopusislandsmarinepark,8622382.68495486,8622382.68495486,4
Petroglyph Park,2014,38441,petroglyphpark,17048.5362713262,17048.5362713262,6
Pirates Cove Marine Park,2014,7696,piratescovemarinepark,316701.526521343,316701.526521343,6
Pure Lake Park,2014,26921,purelakepark,1418116.20159778,1418116.20159778,2
Raft Cove Park,2014,NA,raftcovepark,7868998.0818119,7868998.0818119,4
Rathtrevor Beach Park,2014,489203,rathtrevorbeachpark,3491404.33031584,3491404.33031584,6
Roberts Memorial Park,2014,26789,robertsmemorialpark,139280.474251091,139280.474251091,6
Rosewall Creek Park,2014,54331,rosewallcreekpark,655199.186368803,655199.186368803,6
Ruckle Park,2014,98663,rucklepark,5336719.37112203,5336719.37112203,6
Sandwell Park,2014,5520,sandwellpark,169919.098354179,169919.098354179,6
Smelt Bay Park,2014,15033,smeltbaypark,204384.91739187,204384.91739187,6
Sooke Potholes Park,2014,205219,sookepotholespark,62601.4624335589,62601.4624335589,5
Spider Lake Park,2014,57545,spiderlakepark,577856.882190879,577856.882190879,6
Sproat Lake Park,2014,188317,sproatlakepark,402649.303968133,402649.303968133,5
"Squitty Bay
Park",2014,1421,squittybaypark,493366.068009589,493366.068009589,6
Stamp River Park,2014,46381,stampriverpark,2860236.67330243,3463816.02731671,5
Strathcona Park,2014,139118,strathconapark,674290915.880177,2486682018.63985,5
Taylor Arm Park,2014,29879,taylorarmpark,150781.209891367,727883.754009974,5
Teakerne Arm Park,2014,NA,teakernearmpark,1378251.60697746,1378251.60697746,6
Tribune Bay Park,2014,60497,tribunebaypark,948749.141236842,948749.141236842,6
Wakes Cove Park,2014,54,wakescovepark,2042610.62744109,2042610.62744109,6
Wallace Island Marine Park,2014,7351,wallaceislandmarinepark,886652.154194804,886652.154194804,6
Walsh Cove Park,2014,NA,walshcovepark,908121.242960887,908121.242960887,6
"West Shawnigan
Lake Park",2014,NA,westshawniganlakepark,96571.3611274377,96571.3611274377,6
NA,NA,NA,suechannelparklorettaislandhawkesburyisla,2094666.50000563,2094666.50000563,1
NA,NA,NA,unionpassagemarinepark,14452927.395784,14452927.395784,1
NA,NA,NA,owyacumishriverpark,8059096.08834261,8059096.08834261,1
NA,NA,NA,brimriverhotspringsprotectedarea,796714.466439754,2024420.89472142,1
NA,NA,NA,fochgilttoyeespark,509862418.570835,611372200.156052,1
NA,NA,NA,costerockspark,292947.907878906,292947.907878906,1
NA,NA,NA,eaglebaypark,2622211.79872823,2622211.79872823,1
NA,NA,NA,dalakildalariverestuarypark,7419487.94422968,7419487.94422968,1
NA,NA,NA,nalbeelahcreekwetlandspark,1711752.1013299,1711752.1013299,1
NA,NA,NA,khutzeymateenpark,349546566.704492,451614842.878644,1
NA,NA,NA,fochgilttoyeesprotectedarea,936338.7917476,936338.7917476,1
NA,NA,NA,jessefallsprotectedarea,324856.814205833,324856.814205833,1
NA,NA,NA,kitsonislandmarinepark,440075.44240189,440075.44240189,1
NA,NA,NA,klewnuggitinletmarinepark,18009939.1417144,18009939.1417144,1
NA,NA,NA,gamblecreekecologicalreserve,9699062.89643323,9699062.89643323,1
NA,NA,NA,dewdneyandglideislandsecologicalreserve,36986595.4242444,36986595.4242444,1
NA,NA,NA,loweinletmarinepark,7656163.76159924,7656163.76159924,1
NA,NA,NA,mooremckennywhitmoreislandsecologicalreserve,191112.033832132,2060361.73357724,1
NA,NA,NA,towhillecologicalreserve,5189447.71725628,5189447.71725628,2
NA,NA,NA,drizzlelakeecologicalreserve,8135579.55955362,8135579.55955362,2
NA,NA,NA,rosespitecologicalreserve,2014993.16557738,2014993.16557738,2
NA,NA,NA,lepasbayecologicalreserve,15067.6682674536,15067.6682674536,2
NA,NA,NA,vladimirjkrajinaportchanalecologicalreserve,91768789.1789064,91768789.1789064,2
NA,NA,NA,codvillelagoonmarinepark,8674421.72269401,8674421.72269401,3
NA,NA,NA,jacksonnarrowsmarinepark,671183.950250998,671183.950250998,3
NA,NA,NA,siralexandermackenziepark,54450.6740949675,54450.6740949675,3
NA,NA,NA,olivercovemarinepark,616655.023141325,616655.023141325,3
NA,NA,NA,greeninletmarinepark,353774.304313235,353774.304313235,3
NA,NA,NA,penroseislandmarinepark,20258170.5234342,20258170.5234342,3
NA,NA,NA,annevalleetriangleislandecologicalreserve,9803932.55674445,9803932.55674445,3
NA,NA,NA,mainlakepark,35307082.2291134,35307082.2291134,4
NA,NA,NA,smallinletmarinepark,8798384.72690356,8798384.72690356,4
NA,NA,NA,lowernimpkishpark,2380576.71676304,2380576.71676304,4
NA,NA,NA,marbleriverpark,14272401.5254949,14272401.5254949,4
NA,NA,NA,allisonharbourmarinepark,1315460.84749404,1315460.84749404,4
NA,NA,NA,dukeofedinburghecologicalreserve,5072178.621226,5072178.621226,4
NA,NA,NA,surgenarrowspark,5153643.57703032,5153643.57703032,4
NA,NA,NA,sartineislandecologicalreserve,10919696.4862059,10919696.4862059,4
NA,NA,NA,kingcomeriveratlatziriverecologicalreserve,3584630.02761304,4260899.85598648,4
NA,NA,NA,mistylakeecologicalreserve,740451.117377197,740451.117377197,4
NA,NA,NA,smallinletprotectedarea,1612329.68110495,1612329.68110495,4
NA,NA,NA,homathkoestuarypark,4559872.91745019,4559872.91745019,4
NA,NA,NA,lanzandcoxislandpark,55613426.5643456,55613426.5643456,4
NA,NA,NA,wosslakepark,31594227.6709553,65267741.9953818,4
NA,NA,NA,elkfallsprotectedarea,156994.524293542,156994.524293542,4
NA,NA,NA,lowertsitikariverpark,36090719.5933323,36090719.5933323,4
NA,NA,NA,robsonbightmichaelbiggecologicalreserve,18428340.0157734,18428340.0157734,4
NA,NA,NA,rockbaymarinepark,4820758.07695965,4820758.07695965,4
NA,NA,NA,godspocketmarinepark,20371657.9031716,20371657.9031716,4
NA,NA,NA,readislandpark,6383536.8133941,6383536.8133941,4
NA,NA,NA,klaskishriverecologicalreserve,1607970.9883569,1607970.9883569,4
NA,NA,NA,brookspeninsulaparkmuqqiwn,65428870.5780462,398715888.20695,4
NA,NA,NA,rebeccaspitmarinepark,1671022.67064077,1671022.67064077,4
NA,NA,NA,quatsinopark,6399848.09214647,6399848.09214647,4
NA,NA,NA,cormorantchannelmarinepark,7750240.95407332,7750240.95407332,4
NA,NA,NA,rendezvousislandsouthpark,1637895.25552302,1637895.25552302,4
NA,NA,NA,echobaymarinepark,17753.1236102991,17753.1236102991,4
NA,NA,NA,mountderbyecologicalreserve,5927312.56223923,5927312.56223923,4
NA,NA,NA,beresfordislandecologicalreserve,4259333.75325745,4259333.75325745,4
NA,NA,NA,tsitikamountainecologicalreserve,5975667.19885387,5975667.19885387,4
NA,NA,NA,lawnpointpark,5941549.54847972,5941549.54847972,4
NA,NA,NA,tahsishkwoispark,495270.054025546,109927875.783508,4
NA,NA,NA,solanderislandecologicalreserve,102651.176708877,102651.176708877,4
NA,NA,NA,byersconroyharveysinnettislandsecologicalres,119321284.017454,119321284.017454,8
NA,NA,NA,mooremckennywhitmoreislandsecologicalreserve,1869249.69974508,2060361.73357724,8
NA,NA,NA,kennedyriverbogpark,359820.858488299,359820.858488299,5
NA,NA,NA,baeriarocksecologicalreserve,1400695.96130487,1400695.96130487,5
NA,NA,NA,blighislandpark,46799393.3944099,46799393.3944099,5
NA,NA,NA,oakbayislandsecologicalreserve,2321235.55407001,2321235.55407001,5
NA,NA,NA,clanninickcreekecologicalreserve,596277.136490743,596277.136490743,5
NA,NA,NA,trialislandsecologicalreserve,79123.1377092711,79123.1377092711,5
NA,NA,NA,meginriverecologicalreserve,534300.750665541,534300.750665541,5
NA,NA,NA,sulphurpassagepark,22326641.8776078,22326641.8776078,5
NA,NA,NA,whiteridgepark,8954876.5064795,13805897.8893452,5
