park,year,count,park_name,rgn_area,tot_area,rgn_id
Sproat Lake Park,2009,181141,sproatlakepark,402649.303968133,402649.303968133,5
Squitty Bay Park,2009,1325,squittybaypark,493366.068009589,493366.068009589,6
Stamp River Park,2009,51094,stampriverpark,2860236.67330243,3463816.02731671,5
"Stawamus Chief
Park",2009,400779,stawamuschiefpark,5304401.62011077,5304401.62011077,6
Strathcona Park,2009,124024,strathconapark,674290915.880177,2486682018.63985,5
Tantalus Park,2009,NA,tantaluspark,47549360.3042622,114253130.397342,6
Taylor Arm Park,2009,30938,taylorarmpark,150781.209891367,727883.754009974,5
Tetrahedron Park,2009,1582,tetrahedronpark,60535446.3291914,60535446.3291914,6
Thurston Bay Marine Park,2009,NA,thurstonbaymarinepark,5259235.61191285,5259235.61191285,4
Tribune Bay Park,2009,59313,tribunebaypark,948749.141236842,948749.141236842,6
Wakes Cove Park,2009,1078,wakescovepark,2042610.62744109,2042610.62744109,6
Wallace Island Marine Park,2009,6675,wallaceislandmarinepark,886652.154194804,886652.154194804,6
Weewanie Hot Springs Park,2009,6503,weewaniehotspringspark,353531.879106369,353531.879106369,1
West Shawnigan Lake Park,2009,25340,westshawniganlakepark,96571.3611274377,96571.3611274377,6
Alice Lake Park,2010,362130,alicelakepark,4117248.62176708,4117248.62176708,6
Bamberton Park,2010,101417,bambertonpark,266586.505483485,266586.505483485,6
Bellhouse Park,2010,2660,bellhousepark,31054.1929862764,31054.1929862764,6
Bodega Ridge Park,2010,1659,bodegaridgepark,3967202.23623831,3967202.23623831,6
Boyle Point Park,2010,NA,boylepointpark,1879715.51018093,1879715.51018093,6
Burgoyne Bay Park,2010,7511,burgoynebaypark,5012461.52449696,5012461.52449696,6
Cape Scott Park,2010,11724,capescottpark,223096246.553779,223096246.553779,4
Carmanah Walbran Park,2010,1877,carmanahwalbranpark,153353240.246816,163644831.26361,5
"Chemainus River
Park",2010,NA,chemainusriverpark,1183916.53310944,1183916.53310944,6
Cowichan River Park,2010,67343,cowichanriverpark,2381283.37258452,14045234.7121445,6
Cypress Park,2010,NA,cypresspark,28607607.4632212,28607607.4632212,6
Desolation Sound Marine Park,2010,41334,desolationsoundmarinepark,81397917.118145,81397917.118145,6
Diana Lake Park,2010,11022,dianalakepark,2523626.82540361,2523626.82540361,1
Dionisio Point Park,2010,3118,dionisiopointpark,1406924.8466792,1406924.8466792,6
Discovery Island Marine Park,2010,1290,discoveryislandmarinepark,675210.475771731,675210.475771731,5
Drumbeg Park,2010,34780,drumbegpark,550660.933450546,550660.933450546,6
Elk Falls Park,2010,128125,elkfallspark,10548582.3736823,10548582.3736823,4
Englishman River Falls Park,2010,153980,englishmanriverfallspark,971149.286096643,971149.286096643,6
Fillongley Park,2010,41781,fillongleypark,264833.428192056,264833.428192056,6
Francis Point Park,2010,19170,francispointpark,843097.806592267,843097.806592267,6
French Beach Park,2010,144989,frenchbeachpark,545719.2749293,545719.2749293,5
Gabriola Sands Park,2010,21070,gabriolasandspark,59680.4931671299,59680.4931671299,6
Garibaldi Park,2010,105361,garibaldipark,37405056.6115122,1886610271.37132,6
Goldstream Park,2010,618855,goldstreampark,4788731.52848189,4788731.52848189,6
