name,desig,code,class,tot_area,rgn_name,rgn_id,rgn_code,rgn_area
PRUDHOMME LAKE PARK,PROVINCIAL PARK,PP,Class A,91329.5589935469,North Coast,1,NC,91329.5589935469
KITIMAT RIVER PARK,PROVINCIAL PARK,PP,NA,568884.30007429,North Coast,1,NC,568884.30007429
SUE CHANNEL PARK (LORETTA ISLAND & HAWKESBURY ISLA,PROVINCIAL PARK,PP,NA,2094666.50000563,North Coast,1,NC,2094666.50000563
WEEWANIE HOT SPRINGS PARK,PROVINCIAL PARK,PP,Class A,353531.879106369,North Coast,1,NC,353531.879106369
UNION PASSAGE MARINE PARK,PROVINCIAL PARK,PP,Class A,14452927.395784,North Coast,1,NC,14452927.395784
OWYACUMISH RIVER PARK,PROVINCIAL PARK,PP,NA,8059096.08834261,North Coast,1,NC,8059096.08834261
BRIM RIVER HOTSPRINGS PROTECTED AREA,PROTECTED AREA,PA,NA,2024420.89472142,North Coast,1,NC,796714.466439754
FOCH - GILTTOYEES PARK,PROVINCIAL PARK,PP,Class A,611372200.156052,North Coast,1,NC,509862418.570835
COSTE ROCKS PARK,PROVINCIAL PARK,PP,Class A,292947.907878906,North Coast,1,NC,292947.907878906
EAGLE BAY PARK,PROVINCIAL PARK,PP,Class A,2622211.79872823,North Coast,1,NC,2622211.79872823
DALA-KILDALA RIVER ESTUARY PARK,PROVINCIAL PARK,PP,Class A,7419487.94422968,North Coast,1,NC,7419487.94422968
NALBEELAH CREEK WETLANDS PARK,PROVINCIAL PARK,PP,NA,1711752.1013299,North Coast,1,NC,1711752.1013299
KHUTZEYMATEEN PARK,PROVINCIAL PARK,PP,Class A,451614842.878644,North Coast,1,NC,349546566.704492
FOCH-GILTTOYEES PROTECTED AREA,PROTECTED AREA,PA,NA,936338.7917476,North Coast,1,NC,936338.7917476
JESSE FALLS PROTECTED AREA,PROTECTED AREA,PA,NA,324856.814205833,North Coast,1,NC,324856.814205833
KITSON ISLAND MARINE PARK,PROVINCIAL PARK,PP,Class A,440075.44240189,North Coast,1,NC,440075.44240189
KLEWNUGGIT INLET MARINE PARK,PROVINCIAL PARK,PP,Class A,18009939.1417144,North Coast,1,NC,18009939.1417144
GAMBLE CREEK ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,9699062.89643323,North Coast,1,NC,9699062.89643323
DEWDNEY AND GLIDE ISLANDS ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,36986595.4242444,North Coast,1,NC,36986595.4242444
LOWE INLET MARINE PARK,PROVINCIAL PARK,PP,Class A,7656163.76159924,North Coast,1,NC,7656163.76159924
MOORE/MCKENNY/WHITMORE ISLANDS ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,2060361.73357724,North Coast,1,NC,191112.033832132
DIANA LAKE PARK,PROVINCIAL PARK,PP,Class A,2523626.82540361,North Coast,1,NC,2523626.82540361
TOW HILL ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,5189447.71725628,Haida Gwaii,2,HG,5189447.71725628
DRIZZLE LAKE ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,8135579.55955362,Haida Gwaii,2,HG,8135579.55955362
ROSE SPIT ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,2014993.16557738,Haida Gwaii,2,HG,2014993.16557738
