am_sid,iucn_sid,spatial_source,sciname,cat_score,pr_score,trend_score,cat_ts,cat_txt,cat_ts_score,year
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1965
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1966
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1967
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1968
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1969
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1970
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1971
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1972
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1973
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1974
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1975
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1976
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1977
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1978
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1979
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1980
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1981
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1982
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1983
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1984
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1985
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1986
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1987
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1988
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1989
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1990
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1991
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1992
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1993
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1994
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0,VU,Vulnerable,0.4,1995
