"sid","rgn_name","rgn_type"
183775,"Argentina","native"
183775,"Chile","native"
183775,"Ecuador","native"
183775,"Peru","native"
13653,"Algeria","native"
13653,"Greece","native"
13653,"Mauritania","native"
13653,"Portugal","native"
13653,"Turkey","native"
13653,"Western Sahara","native"
13653,"Croatia","possibly extinct"
13653,"Libya","possibly extinct"
13653,"Montenegro","possibly extinct"
13653,"Romania","possibly extinct"
13653,"Spain","possibly extinct"
13653,"Tunisia","possibly extinct"
13653,"Albania","regionally extinct"
13653,"Bosnia and Herzegovina","regionally extinct"
13653,"Bulgaria","regionally extinct"
13653,"Cyprus","regionally extinct"
13653,"Egypt","regionally extinct"
13653,"France","regionally extinct"
13653,"Georgia","regionally extinct"
13653,"Israel","regionally extinct"
13653,"Italy","regionally extinct"
13653,"Lebanon","regionally extinct"
13653,"Malta","regionally extinct"
13653,"Morocco","regionally extinct"
13653,"Russian Federation","regionally extinct"
13653,"Slovenia","regionally extinct"
13653,"Syrian Arab Republic","regionally extinct"
13653,"Ukraine","regionally extinct"
12427,"Bangladesh","native"
12427,"Bhutan","native"
12427,"Brunei Darussalam","native"
12427,"Cambodia","native"
12427,"China","native"
12427,"India","native"
12427,"Indonesia","native"
12427,"Iraq","native"
12427,"Lao People's Democratic Republic","native"
12427,"Malaysia","native"
12427,"Myanmar","native"
12427,"Nepal","native"
12427,"Pakistan","native"
12427,"Thailand","native"
12427,"Viet Nam","native"
9281,"India","native"
133704,"Chile","native"
133704,"Peru","native"
8153,"Antarctica","native"
8153,"Argentina","native"
8153,"Australia","native"
8153,"Bouvet Island","native"
8153,"Brazil","native"
8153,"Chile","native"
8153,"Falkland Islands (Malvinas)","native"
8153,"French Southern Territories","native"
8153,"Gabon","native"
8153,"Madagascar","native"
8153,"Mauritius","native"
8153,"Mozambique","native"
8153,"Namibia","native"
8153,"New Zealand","native"
8153,"Peru","native"
8153,"Réunion","native"
8153,"Saint Helena, Ascension and Tristan da Cunha","native"
8153,"South Africa","native"
8153,"South Georgia and the South Sandwich Islands","native"
8153,"Uruguay","native"
16370739,"Albania","native"
16370739,"Algeria","native"
16370739,"Cyprus","native"
16370739,"Egypt","native"
16370739,"France","native"
16370739,"Gibraltar","native"
16370739,"Greece","native"
16370739,"Italy","native"
16370739,"Libya","native"
16370739,"Malta","native"
16370739,"Monaco","native"
16370739,"Morocco","native"
16370739,"Spain","native"
16370739,"Tunisia","native"
16370739,"Turkey","native"
41755,"Albania","native"
41755,"Algeria","native"
41755,"Angola","native"
41755,"Antarctica","native"
41755,"Antigua and Barbuda","native"
41755,"Argentina","native"
41755,"Australia","native"
41755,"Bahamas","native"
41755,"Bangladesh","native"
41755,"Barbados","native"
41755,"Belgium","native"
41755,"Belize","native"
41755,"Benin","native"
41755,"Bonaire, Sint Eustatius and Saba","native"
41755,"Brazil","native"
41755,"Brunei Darussalam","native"
41755,"Cameroon","native"
41755,"Canada","native"
41755,"Cape Verde","native"
41755,"Chile","native"
41755,"China","native"
41755,"Colombia","native"
41755,"Comoros","native"
41755,"Costa Rica","native"
41755,"Croatia","native"
41755,"Curaçao","native"
41755,"Cyprus","native"
41755,"Denmark","native"
41755,"Djibouti","native"
41755,"Dominica","native"
41755,"Dominican Republic","native"
41755,"Ecuador","native"
41755,"Egypt","native"
41755,"El Salvador","native"
41755,"Equatorial Guinea","native"
41755,"Falkland Islands (Malvinas)","native"
41755,"Faroe Islands","native"
41755,"Fiji","native"
41755,"France","native"
41755,"Gabon","native"
41755,"Gambia","native"
41755,"Ghana","native"
41755,"Gibraltar","native"
41755,"Greece","native"
41755,"Greenland","native"
41755,"Grenada","native"
41755,"Guatemala","native"
41755,"Guinea","native"
41755,"Guinea-Bissau","native"
41755,"Guyana","native"
41755,"Haiti","native"
41755,"Honduras","native"
41755,"Iceland","native"
41755,"India","native"
41755,"Indonesia","native"
41755,"Iran, Islamic Republic of","native"
41755,"Ireland","native"
41755,"Israel","native"
41755,"Italy","native"
41755,"Jamaica","native"
41755,"Japan","native"
41755,"Kenya","native"
41755,"Kiribati","native"
41755,"Korea, Democratic People's Republic of","native"
41755,"Korea, Republic of","native"
41755,"Lebanon","native"
41755,"Liberia","native"
41755,"Libya","native"
41755,"Madagascar","native"
41755,"Malaysia","native"
41755,"Maldives","native"
41755,"Malta","native"
41755,"Marshall Islands","native"
41755,"Mauritania","native"
41755,"Mauritius","native"
41755,"Mexico","native"
41755,"Micronesia, Federated States of ","native"
41755,"Monaco","native"
41755,"Morocco","native"
41755,"Mozambique","native"
41755,"Namibia","native"
41755,"Nauru","native"
41755,"Netherlands","native"
41755,"New Zealand","native"
41755,"Nicaragua","native"
41755,"Nigeria","native"
41755,"Niue","native"
41755,"Norway","native"
41755,"Oman","native"
41755,"Pakistan","native"
41755,"Palau","native"
41755,"Panama","native"
41755,"Papua New Guinea","native"
41755,"Peru","native"
41755,"Philippines","native"
41755,"Portugal","native"
41755,"Russian Federation","native"
41755,"Saint Helena, Ascension and Tristan da Cunha","native"
41755,"Saint Kitts and Nevis","native"
41755,"Saint Lucia","native"
41755,"Saint Martin (French part)","native"
41755,"Saint Vincent and the Grenadines","native"
41755,"Samoa","native"
41755,"Sao Tomé and Principe","native"
41755,"Senegal","native"
41755,"Seychelles","native"
41755,"Sierra Leone","native"
41755,"Singapore","native"
