year,rgn_id,n_cells,n_cells_tot,n_cells_cum,a_tot_km2,a_prot_km2,pct_prot,lsp_status,rgn_name
1886,1,0,31899,0,7974.75,0,0,0,North Coast
1911,1,0,31899,0,7974.75,0,0,0,North Coast
1913,1,0,31899,0,7974.75,0,0,0,North Coast
1914,1,0,31899,0,7974.75,0,0,0,North Coast
1920,1,0,31899,0,7974.75,0,0,0,North Coast
1921,1,0,31899,0,7974.75,0,0,0,North Coast
1922,1,0,31899,0,7974.75,0,0,0,North Coast
1923,1,0,31899,0,7974.75,0,0,0,North Coast
1927,1,0,31899,0,7974.75,0,0,0,North Coast
1928,1,0,31899,0,7974.75,0,0,0,North Coast
1931,1,0,31899,0,7974.75,0,0,0,North Coast
1934,1,0,31899,0,7974.75,0,0,0,North Coast
1936,1,0,31899,0,7974.75,0,0,0,North Coast
1937,1,0,31899,0,7974.75,0,0,0,North Coast
1938,1,0,31899,0,7974.75,0,0,0,North Coast
1939,1,0,31899,0,7974.75,0,0,0,North Coast
1940,1,0,31899,0,7974.75,0,0,0,North Coast
1941,1,0,31899,0,7974.75,0,0,0,North Coast
1943,1,0,31899,0,7974.75,0,0,0,North Coast
1944,1,0,31899,0,7974.75,0,0,0,North Coast
1946,1,0,31899,0,7974.75,0,0,0,North Coast
1947,1,0,31899,0,7974.75,0,0,0,North Coast
1948,1,0,31899,0,7974.75,0,0,0,North Coast
1949,1,0,31899,0,7974.75,0,0,0,North Coast
1950,1,0,31899,0,7974.75,0,0,0,North Coast
1951,1,0,31899,0,7974.75,0,0,0,North Coast
1953,1,0,31899,0,7974.75,0,0,0,North Coast
1954,1,0,31899,0,7974.75,0,0,0,North Coast
1955,1,0,31899,0,7974.75,0,0,0,North Coast
1956,1,0,31899,0,7974.75,0,0,0,North Coast
1957,1,0,31899,0,7974.75,0,0,0,North Coast
1958,1,0,31899,0,7974.75,0,0,0,North Coast
1959,1,0,31899,0,7974.75,0,0,0,North Coast
1960,1,0,31899,0,7974.75,0,0,0,North Coast
1961,1,0,31899,0,7974.75,0,0,0,North Coast
1962,1,0,31899,0,7974.75,0,0,0,North Coast
1963,1,0,31899,0,7974.75,0,0,0,North Coast
1964,1,0,31899,0,7974.75,0,0,0,North Coast
1965,1,0,31899,0,7974.75,0,0,0,North Coast
1966,1,0,31899,0,7974.75,0,0,0,North Coast
1967,1,0,31899,0,7974.75,0,0,0,North Coast
1968,1,0,31899,0,7974.75,0,0,0,North Coast
1969,1,0,31899,0,7974.75,0,0,0,North Coast
1970,1,0,31899,0,7974.75,0,0,0,North Coast
1971,1,25,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1972,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1973,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1974,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1975,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1976,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1977,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1978,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1979,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1980,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1981,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1982,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1983,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1984,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1985,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1986,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1987,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1988,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1989,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1990,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1991,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1992,1,0,31899,25,7974.75,6.25,8e-04,0.27,North Coast
1993,1,28,31899,53,7974.75,13.25,0.0017,0.57,North Coast
1994,1,21,31899,74,7974.75,18.5,0.0023,0.77,North Coast
1995,1,0,31899,74,7974.75,18.5,0.0023,0.77,North Coast
1996,1,0,31899,74,7974.75,18.5,0.0023,0.77,North Coast
1997,1,0,31899,74,7974.75,18.5,0.0023,0.77,North Coast
1998,1,0,31899,74,7974.75,18.5,0.0023,0.77,North Coast
1999,1,0,31899,74,7974.75,18.5,0.0023,0.77,North Coast
2000,1,0,31899,74,7974.75,18.5,0.0023,0.77,North Coast
2001,1,0,31899,74,7974.75,18.5,0.0023,0.77,North Coast
2002,1,0,31899,74,7974.75,18.5,0.0023,0.77,North Coast
2003,1,0,31899,74,7974.75,18.5,0.0023,0.77,North Coast
2004,1,91,31899,165,7974.75,41.25,0.0052,1.73,North Coast
2005,1,0,31899,165,7974.75,41.25,0.0052,1.73,North Coast
2006,1,1193,31899,1358,7974.75,339.5,0.0426,14.2,North Coast
2007,1,35,31899,1393,7974.75,348.25,0.0437,14.57,North Coast
2008,1,800,31899,2193,7974.75,548.25,0.0687,22.9,North Coast
2009,1,0,31899,2193,7974.75,548.25,0.0687,22.9,North Coast
2010,1,0,31899,2193,7974.75,548.25,0.0687,22.9,North Coast
2011,1,0,31899,2193,7974.75,548.25,0.0687,22.9,North Coast
2012,1,0,31899,2193,7974.75,548.25,0.0687,22.9,North Coast
2013,1,0,31899,2193,7974.75,548.25,0.0687,22.9,North Coast
1886,2,0,26821,0,6705.25,0,0,0,Haida Gwaii
1911,2,0,26821,0,6705.25,0,0,0,Haida Gwaii
1913,2,0,26821,0,6705.25,0,0,0,Haida Gwaii
1914,2,0,26821,0,6705.25,0,0,0,Haida Gwaii
1920,2,0,26821,0,6705.25,0,0,0,Haida Gwaii
1921,2,0,26821,0,6705.25,0,0,0,Haida Gwaii
1922,2,0,26821,0,6705.25,0,0,0,Haida Gwaii
1923,2,0,26821,0,6705.25,0,0,0,Haida Gwaii
1927,2,0,26821,0,6705.25,0,0,0,Haida Gwaii
1928,2,0,26821,0,6705.25,0,0,0,Haida Gwaii
