term,estimate,std.error,statistic,p.value,goal,n_obs
(Intercept),20.1906,4.8311,4.1793,7.92007306616771e-5,AO,77
status,0.686,0.0657,10.4483,3.2405069440179113e-16,AO,77
trend,-4.2075,8.8339,-0.4763,0.6352728702221543,AO,77
(Intercept),112.0631,10.2324,10.9518,6.3806116154667104e-18,FIS,88
status,-0.9056,0.1779,-5.0893,2.1243913904205606e-6,FIS,88
trend,6.0181,6.3291,0.9509,0.3443682105079183,FIS,88
(Intercept),64.3343,2.4849,25.8903,7.846932096171434e-39,CPP,77
status,0.3566,0.0248,14.3521,4.44761072682139e-23,CPP,77
trend,250.2746,7.2896,34.3333,3.3038818895768333e-47,CPP,77
(Intercept),5.2632,1.8756,2.8062,0.0064024674081676145,CSS,77
status,0.9474,0.0188,50.4962,4.2919127983369155e-59,CSS,77
trend,79.3412,8.784,9.0325,1.4444811829054588e-13,CSS,77
(Intercept),2.1213,1,2.1213,0.037245855365967466,CW,77
status,0.9757,0.0115,84.711,1.9824469783913615e-75,CW,77
trend,-62.0112,8.9716,-6.9119,1.4339504361490663e-9,CW,77
(Intercept),-0.7226,1.7414,-0.415,0.6792148829018623,HAB,88
status,0.9978,0.0196,50.9787,1.6635089069252932e-65,HAB,88
trend,-37.0805,9.6104,-3.8584,2.21572290813135e-4,HAB,88
(Intercept),0.7806,0.9028,0.8646,0.38970623840915297,SPP,88
status,0.9914,0.0108,92.0913,6.247471276229061e-87,SPP,88
trend,-1.0086,11.1348,-0.0906,0.928041890836586,SPP,88
(Intercept),51.5654,5.9118,8.7225,1.969011507005632e-13,ICO,88
status,0.2755,0.0843,3.2668,0.001569889327177351,ICO,88
trend,105.543,9.4613,11.1552,2.517886177281287e-18,ICO,88
(Intercept),30.0503,3.8794,7.7461,3.9091192789938965e-11,LSP,77
status,0.8119,0.0896,9.0601,1.2809764146928292e-13,LSP,77
trend,-13.084,4.7307,-2.7658,0.007166726363438777,LSP,77
(Intercept),12.9063,9.6512,1.3373,0.18785509620295043,LEF,66
status,0.9384,0.1508,6.2225,1.4586377010466225e-7,LEF,66
trend,52.2269,10.4493,4.9981,9.256996474486112e-6,LEF,66
(Intercept),-7.7259,21.1581,-0.3651,0.7170792263903671,LEO,55
status,1.2778,0.3245,3.9376,3.5020914261413966e-4,LEO,55
trend,11.6342,20.3569,0.5715,0.5711066475473832,LEO,55
(Intercept),122.342,93.4346,1.3094,0.19615979250259186,TR,55
status,-0.2826,0.9353,-0.3021,0.7637433987088672,TR,55
trend,-5.0588,73.1471,-0.0692,0.9451284846868618,TR,55
