term,estimate,std.error,statistic,p.value,goal,n_obs,years,lfs_lead
(Intercept),1.0042,0.0092,108.9664,0,AO,105,15,1
trend_adj,-0.8812,0.4078,-2.1607,0.033,AO,105,15,1
(Intercept),0.9588,0.0223,43.0067,0,FIS,120,15,1
trend_adj,0.2806,0.1672,1.6779,0.096,FIS,120,15,1
(Intercept),1.0671,0.0245,43.619,0,SAL,63,9,1
trend_adj,-1.5122,0.2758,-5.4825,0,SAL,63,9,1
(Intercept),1,0,21526.042,0,CPP,105,15,1
trend_adj,0.8836,0.0451,19.5765,0,CPP,105,15,1
(Intercept),1,0,86101.1764,0,CSS,105,15,1
trend_adj,0.6949,0.0358,19.4032,0,CSS,105,15,1
(Intercept),1.0001,3e-4,3406.3395,0,CW,105,15,1
trend_adj,-1.3852,0.3994,-3.4683,8e-4,CW,105,15,1
(Intercept),0.9974,0.002,504.6393,0,HAB,120,15,1
trend_adj,-1.6619,0.3719,-4.4693,0,HAB,120,15,1
(Intercept),1,2e-4,6155.2978,0,SPP,120,15,1
trend_adj,0.0041,0.142,0.0291,0.9769,SPP,120,15,1
(Intercept),1.0017,7e-4,1500.3371,0,ICO,120,15,1
trend_adj,0.3349,0.1579,2.1202,0.0361,ICO,120,15,1
(Intercept),1.1429,0.0607,18.8215,0,LSP,105,15,1
trend_adj,0.0453,0.525,0.0862,0.9315,LSP,105,15,1
(Intercept),1.0074,0.0018,564.4444,0,LEF,72,12,1
trend_adj,0.4707,0.1015,4.6369,0,LEF,72,12,1
(Intercept),1.0016,0.0011,873.6319,0,LEO,72,12,1
trend_adj,0.6779,0.1447,4.6856,0,LEO,72,12,1
(Intercept),0.9983,0.0068,147.3679,0,TR,75,15,1
trend_adj,-0.5093,0.3015,-1.6894,0.0954,TR,75,15,1
(Intercept),0.9963,0.0105,95.2703,0,AO,98,14,2
trend_adj,-0.3374,0.2257,-1.4947,0.1383,AO,98,14,2
(Intercept),0.9893,0.0425,23.2933,0,FIS,112,14,2
trend_adj,-0.1786,0.1637,-1.091,0.2776,FIS,112,14,2
(Intercept),1.095,0.0283,38.7478,0,SAL,56,8,2
trend_adj,-0.947,0.1516,-6.2452,0,SAL,56,8,2
(Intercept),1,1e-4,9857.4169,0,CPP,98,14,2
trend_adj,0.8334,0.0476,17.5048,0,CPP,98,14,2
(Intercept),1,0,40981.1057,0,CSS,98,14,2
trend_adj,0.665,0.0363,18.2941,0,CSS,98,14,2
(Intercept),1.0002,3e-4,2999.8639,0,CW,98,14,2
trend_adj,-0.8162,0.2392,-3.4121,9e-4,CW,98,14,2
(Intercept),0.9961,0.0025,399.7979,0,HAB,112,14,2
trend_adj,-0.7255,0.2284,-3.1767,0.0019,HAB,112,14,2
