term,estimate,std.error,statistic,p.value,goal,n_obs,years,lfs_lead
(Intercept),3.8121226470497844,6.265604214792134,0.608420595423175,0.5469520177098405,TR,50,10,6
pressures,-3.954003236115066,7.312617897375059,-0.5407096735540355,0.5922327262067595,TR,50,10,6
resilience,-2.9511588560429964,7.033204482249065,-0.41960373304819376,0.6774145651874727,TR,50,10,6
factor(year)2002,-0.05062502596469556,0.05642294020593661,-0.8972418980634579,0.37589950042689513,TR,50,10,6
factor(year)2003,-0.06926726992872735,0.06572221938818265,-1.0539399091136312,0.29934291413743574,TR,50,10,6
factor(year)2004,-0.12301669291127713,0.05600608953704835,-2.196487809239045,0.03497437074798903,TR,50,10,6
factor(year)2005,-0.11726999512288767,0.05003899223732563,-2.3435722799271796,0.025085384080147093,TR,50,10,6
factor(year)2006,-0.08943240497172966,0.05134055520105072,-1.7419446404798398,0.09055941855370828,TR,50,10,6
factor(year)2007,-0.08264060138550951,0.058032947363450896,-1.4240290238568254,0.16355167632933532,TR,50,10,6
factor(year)2008,-0.02281481770782478,0.053458306148982275,-0.4267777891099365,0.6722315383528135,TR,50,10,6
factor(year)2009,0.018546797857348998,0.06282056830145227,0.29523448066165037,0.7696102034298704,TR,50,10,6
factor(year)2010,0.07617066522503634,0.06010498432563433,1.26729365425606,0.2136619152405141,TR,50,10,6
factor(region_id)2,-0.010424211861490305,0.15852127485216372,-0.06575907158967705,0.9479547912703252,TR,50,10,6
factor(region_id)4,0.08846226872109894,0.06281161613016947,1.4083743449264479,0.16809941295357753,TR,50,10,6
factor(region_id)5,0.1492760854068958,0.20645082408180315,0.7230588013915958,0.47458881127794916,TR,50,10,6
factor(region_id)6,0.1817573854018585,0.25207713362680356,0.7210387661379378,0.4758146975237093,TR,50,10,6
(Intercept),3.8121226470497844,6.265604214792134,0.608420595423175,0.5469520177098405,TR,50,10,6
pressures,-3.954003236115066,7.312617897375059,-0.5407096735540355,0.5922327262067595,TR,50,10,6
resilience,-2.9511588560429964,7.033204482249065,-0.41960373304819376,0.6774145651874727,TR,50,10,6
factor(year)2002,-0.05062502596469556,0.05642294020593661,-0.8972418980634579,0.37589950042689513,TR,50,10,6
factor(year)2003,-0.06926726992872735,0.06572221938818265,-1.0539399091136312,0.29934291413743574,TR,50,10,6
factor(year)2004,-0.12301669291127713,0.05600608953704835,-2.196487809239045,0.03497437074798903,TR,50,10,6
factor(year)2005,-0.11726999512288767,0.05003899223732563,-2.3435722799271796,0.025085384080147093,TR,50,10,6
factor(year)2006,-0.08943240497172966,0.05134055520105072,-1.7419446404798398,0.09055941855370828,TR,50,10,6
factor(year)2007,-0.08264060138550951,0.058032947363450896,-1.4240290238568254,0.16355167632933532,TR,50,10,6
factor(year)2008,-0.02281481770782478,0.053458306148982275,-0.4267777891099365,0.6722315383528135,TR,50,10,6
factor(year)2009,0.018546797857348998,0.06282056830145227,0.29523448066165037,0.7696102034298704,TR,50,10,6
factor(year)2010,0.07617066522503634,0.06010498432563433,1.26729365425606,0.2136619152405141,TR,50,10,6
factor(region_id)2,-0.010424211861490305,0.15852127485216372,-0.06575907158967705,0.9479547912703252,TR,50,10,6
factor(region_id)4,0.08846226872109894,0.06281161613016947,1.4083743449264479,0.16809941295357753,TR,50,10,6
factor(region_id)5,0.1492760854068958,0.20645082408180315,0.7230588013915958,0.47458881127794916,TR,50,10,6
factor(region_id)6,0.1817573854018585,0.25207713362680356,0.7210387661379378,0.4758146975237093,TR,50,10,6
