term,estimate,std.error,statistic,p.value,goal,n_obs
(Intercept),-35.1266,22.1502,-1.5858,0.1171584683181698,AO,77
status,0.6661,0.0682,9.7642,8.01703612099267e-15,AO,77
trend,-9.3782,8.7816,-1.0679,0.2891170544051601,AO,77
pressures,47.8077,18.9301,2.5255,0.013755787827154848,AO,77
resilience,64.9132,26.6121,2.4392,0.01718404389475781,AO,77
(Intercept),39.4797,39.8696,0.9902,0.324943827780107,FIS,88
status,-1.1154,0.1615,-6.907,9.263522105988899e-10,FIS,88
trend,12.3709,5.6842,2.1763,0.032371316925904545,FIS,88
pressures,187.5439,37.2757,5.0313,2.7779990574280504e-6,FIS,88
resilience,70.4134,56.6376,1.2432,0.21728470467221433,FIS,88
(Intercept),64.4129,2.5406,25.3533,1.2816479754068949e-37,CPP,77
status,0.3562,0.0253,14.0866,2.221997701036707e-22,CPP,77
trend,250.2559,7.3872,33.8769,5.548487308220999e-46,CPP,77
pressures,0.0169,0.1575,0.1075,0.9147039636235805,CPP,77
resilience,-0.0556,0.2208,-0.2519,0.8018179220264225,CPP,77
(Intercept),5.1956,1.9491,2.6657,0.00947960817399199,CSS,77
status,0.948,0.0194,48.9415,5.274426356639212e-57,CSS,77
trend,79.1598,8.9494,8.8453,4.0547363417106733e-13,CSS,77
pressures,-0.0212,0.1001,-0.2113,0.8332732243159757,CSS,77
resilience,0.0064,0.1499,0.0429,0.9659054517034936,CSS,77
(Intercept),0.0431,1.8257,0.0236,0.9812460327715767,CW,77
status,0.9922,0.0157,63.0972,9.089994718081831e-65,CW,77
trend,-62.9889,8.9454,-7.0415,9.266866945593799e-10,CW,77
pressures,2.2562,1.3791,1.6361,0.10618794112926216,CW,77
resilience,-0.1142,0.6704,-0.1704,0.8651961682831976,CW,77
(Intercept),-21.9644,5.5639,-3.9477,1.6461233574160435e-4,HAB,88
status,0.9629,0.0185,51.9412,4.5255337300513e-65,HAB,88
trend,-58.4403,9.4219,-6.2026,2.0717165406829093e-8,HAB,88
pressures,-19.126,4.8369,-3.9542,1.608997241006186e-4,HAB,88
resilience,38.4661,8.4676,4.5427,1.8659874947349908e-5,HAB,88
(Intercept),0.3846,1.0192,0.3774,0.7068449781436108,SPP,88
status,0.9975,0.0129,77.4114,3.6897854509967083e-79,SPP,88
trend,8.6938,17.9254,0.485,0.6289555756041244,SPP,88
pressures,-0.478,0.548,-0.8723,0.38556609642907025,SPP,88
resilience,0.0051,0.4219,0.0121,0.99040922371778,SPP,88
(Intercept),52.1107,5.8165,8.9591,7.88549743491813e-14,ICO,88
status,0.2596,0.083,3.1267,0.002436969174426874,ICO,88
trend,103.7452,9.5532,10.8597,1.3131735508505422e-17,ICO,88
pressures,-0.8948,0.3841,-2.3299,0.022238993703394164,ICO,88
resilience,0.9889,0.9424,1.0494,0.2970588531267698,ICO,88
(Intercept),251.1074,38.5536,6.5132,8.618205255470132e-9,LSP,77
status,0.7305,0.0754,9.6828,1.132783972174286e-14,LSP,77
trend,-14.8593,3.9063,-3.8039,2.960183085115946e-4,LSP,77
pressures,22.7174,46.9932,0.4834,0.6302654437025658,LSP,77
resilience,-309.618,50.7362,-6.1025,4.7521766410913006e-8,LSP,77
(Intercept),21.8983,35.8884,0.6102,0.5449554332915356,LEF,66
status,0.9377,0.1759,5.3319,3.391573644324944e-6,LEF,66
trend,51.9046,11.9195,4.3546,8.107249047313293e-5,LEF,66
pressures,-7.9859,30.5864,-0.2611,0.7952666691291091,LEF,66
resilience,-1.5979,9.426,-0.1695,0.8661822136373909,LEF,66
(Intercept),-244.4709,214.4887,-1.1398,0.26211658546241423,LEO,55
status,1.4001,0.3225,4.3416,1.1496975210060792e-4,LEO,55
trend,4.9563,19.9625,0.2483,0.8053674652673568,LEO,55
pressures,73.5884,70.3137,1.0466,0.30247080628895395,LEO,55
resilience,230.8798,207.5059,1.1126,0.2734458451595439,LEO,55
(Intercept),73.336,105.7086,0.6938,0.4910455634751779,TR,55
status,-0.2074,0.948,-0.2188,0.8277305022678925,TR,55
trend,-13.5723,74.3474,-0.1826,0.8558874005809659,TR,55
pressures,110.8389,103.6365,1.0695,0.2899816054874208,TR,55
resilience,21.6738,44.7541,0.4843,0.6302974749206993,TR,55
