term,estimate,std.error,statistic,p.value,goal,n_obs,years,lfs_lead
(Intercept),0.3431,0.2002,1.7136,0.0897,AO,105,15,1
trend_adj,-1.2128,0.3976,-3.0507,0.0029,AO,105,15,1
pressures,0.2668,0.186,1.4345,0.1545,AO,105,15,1
resilience,0.8618,0.2419,3.562,6e-4,AO,105,15,1
(Intercept),1.375,0.439,3.1319,0.0022,FIS,120,15,1
trend_adj,0.2629,0.169,1.556,0.1224,FIS,120,15,1
pressures,-0.0054,0.3955,-0.0137,0.9891,FIS,120,15,1
resilience,-0.5831,0.6092,-0.9573,0.3404,FIS,120,15,1
(Intercept),0.7669,0.4783,1.6032,0.1142,SAL,63,9,1
trend_adj,-1.5055,0.28,-5.3769,0,SAL,63,9,1
pressures,-0.0065,0.4465,-0.0146,0.9884,SAL,63,9,1
resilience,0.4066,0.608,0.6688,0.5062,SAL,63,9,1
(Intercept),0.9998,5e-4,2145.8453,0,CPP,105,15,1
trend_adj,0.8895,0.0461,19.2907,0,CPP,105,15,1
pressures,-4e-4,7e-4,-0.6439,0.5211,CPP,105,15,1
resilience,5e-4,8e-4,0.6643,0.508,CPP,105,15,1
(Intercept),1,1e-4,8628.2306,0,CSS,105,15,1
trend_adj,0.6969,0.0366,19.029,0,CSS,105,15,1
pressures,-1e-4,2e-4,-0.4263,0.6708,CSS,105,15,1
resilience,0,2e-4,0.2631,0.793,CSS,105,15,1
(Intercept),0.9946,0.005,199.9997,0,CW,105,15,1
trend_adj,-1.4476,0.4007,-3.6124,5e-4,CW,105,15,1
pressures,0.0162,0.0099,1.6477,0.1025,CW,105,15,1
resilience,6e-4,0.0055,0.1098,0.9128,CW,105,15,1
(Intercept),0.9437,0.0408,23.1286,0,HAB,120,15,1
trend_adj,-1.8497,0.3847,-4.8076,0,HAB,120,15,1
pressures,-0.0407,0.0357,-1.1407,0.2564,HAB,120,15,1
resilience,0.0839,0.0562,1.4939,0.1379,HAB,120,15,1
(Intercept),0.9996,0.0013,766.1584,0,SPP,120,15,1
trend_adj,-0.0362,0.2471,-0.1465,0.8838,SPP,120,15,1
pressures,-0.0013,0.0021,-0.6337,0.5275,SPP,120,15,1
resilience,9e-4,0.0018,0.5327,0.5953,SPP,120,15,1
(Intercept),1.0026,0.0051,197.4816,0,ICO,120,15,1
trend_adj,0.3483,0.1881,1.8524,0.0665,ICO,120,15,1
pressures,-2e-4,0.0032,-0.0619,0.9508,ICO,120,15,1
resilience,-0.001,0.0065,-0.1601,0.8731,ICO,120,15,1
(Intercept),2.0248,1.0128,1.9993,0.0483,LSP,105,15,1
trend_adj,0.0319,0.5318,0.0599,0.9523,LSP,105,15,1
pressures,-0.711,1.2727,-0.5587,0.5776,LSP,105,15,1
resilience,-1.0031,1.2897,-0.7778,0.4385,LSP,105,15,1
(Intercept),1.2196,0.131,9.3086,0,LEF,72,12,1
trend_adj,0.4603,0.0999,4.6098,0,LEF,72,12,1
pressures,-0.1558,0.1163,-1.3394,0.1849,LEF,72,12,1
resilience,-0.093,0.0408,-2.2804,0.0257,LEF,72,12,1
(Intercept),0.535,0.0889,6.0161,0,LEO,72,12,1
trend_adj,0.7151,0.1213,5.8974,0,LEO,72,12,1
pressures,0.1668,0.0334,4.9955,0,LEO,72,12,1
resilience,0.4604,0.0865,5.3208,0,LEO,72,12,1
(Intercept),1.0153,0.3082,3.2941,0.0015,TR,75,15,1
trend_adj,-0.5116,0.3072,-1.6656,0.1002,TR,75,15,1
pressures,0.0411,0.5916,0.0694,0.9448,TR,75,15,1
resilience,-0.0421,0.3122,-0.1348,0.8932,TR,75,15,1
(Intercept),0.4776,0.2559,1.8664,0.0651,AO,98,14,2
trend_adj,-0.4364,0.2257,-1.9335,0.0562,AO,98,14,2
pressures,0.1341,0.2175,0.6165,0.5391,AO,98,14,2
resilience,0.7115,0.3179,2.2382,0.0276,AO,98,14,2
(Intercept),1.0701,0.8605,1.2436,0.2163,FIS,112,14,2
trend_adj,-0.18,0.1649,-1.092,0.2773,FIS,112,14,2
pressures,0.5248,0.7665,0.6847,0.495,FIS,112,14,2
resilience,-0.2465,1.204,-0.2047,0.8382,FIS,112,14,2
(Intercept),1.0816,0.5646,1.9156,0.0609,SAL,56,8,2
trend_adj,-0.9454,0.1547,-6.1105,0,SAL,56,8,2
pressures,0.0928,0.5167,0.1795,0.8582,SAL,56,8,2
resilience,-0.0088,0.731,-0.0121,0.9904,SAL,56,8,2
(Intercept),0.9991,0.0012,843.7665,0,CPP,98,14,2
trend_adj,0.8468,0.0495,17.0902,0,CPP,98,14,2
pressures,-0.0014,0.0015,-0.8891,0.3762,CPP,98,14,2
resilience,0.0019,0.002,0.9422,0.3485,CPP,98,14,2
(Intercept),0.9999,3e-4,3476.3961,0,CSS,98,14,2
trend_adj,0.6709,0.0382,17.5718,0,CSS,98,14,2
pressures,-2e-4,4e-4,-0.6429,0.5218,CSS,98,14,2
resilience,2e-4,5e-4,0.5045,0.6151,CSS,98,14,2
(Intercept),0.993,0.0056,178.1647,0,CW,98,14,2
trend_adj,-0.863,0.2369,-3.6425,4e-4,CW,98,14,2
pressures,0.0239,0.0111,2.1567,0.0336,CW,98,14,2
resilience,-7e-4,0.0063,-0.1044,0.9171,CW,98,14,2
(Intercept),0.9282,0.053,17.5018,0,HAB,112,14,2
trend_adj,-0.8469,0.2387,-3.5486,6e-4,HAB,112,14,2
pressures,-0.0499,0.0457,-1.0924,0.2771,HAB,112,14,2
resilience,0.1062,0.0737,1.4405,0.1526,HAB,112,14,2
(Intercept),0.9987,0.002,487.2631,0,SPP,112,14,2
trend_adj,-0.0544,0.191,-0.2849,0.7762,SPP,112,14,2
pressures,-0.0031,0.0033,-0.9642,0.3371,SPP,112,14,2
resilience,0.003,0.0028,1.0686,0.2876,SPP,112,14,2
(Intercept),1.0051,0.0079,127.545,0,ICO,112,14,2
trend_adj,0.3684,0.1418,2.5983,0.0107,ICO,112,14,2
pressures,-8e-4,0.0046,-0.165,0.8692,ICO,112,14,2
resilience,-0.0016,0.0101,-0.1588,0.8741,ICO,112,14,2
(Intercept),3.311,1.5497,2.1366,0.0352,LSP,98,14,2
trend_adj,-0.0238,0.4026,-0.0591,0.953,LSP,98,14,2
pressures,-1.2235,1.9442,-0.6293,0.5307,LSP,98,14,2
resilience,-2.3772,1.9871,-1.1963,0.2346,LSP,98,14,2
(Intercept),1.5119,0.273,5.539,0,LEF,66,11,2
trend_adj,0.2991,0.0998,2.9985,0.0039,LEF,66,11,2
pressures,-0.3534,0.2431,-1.4536,0.1511,LEF,66,11,2
resilience,-0.2301,0.0828,-2.7774,0.0072,LEF,66,11,2
(Intercept),-0.1307,0.1875,-0.6972,0.4883,LEO,66,11,2
trend_adj,0.5777,0.1385,4.1722,1e-4,LEO,66,11,2
pressures,0.4053,0.0699,5.7972,0,LEO,66,11,2
resilience,1.1203,0.1827,6.1336,0,LEO,66,11,2
(Intercept),1.1277,0.4431,2.5449,0.0133,TR,70,14,2
trend_adj,-0.9968,0.2616,-3.8112,3e-4,TR,70,14,2
pressures,-0.3161,0.863,-0.3662,0.7154,TR,70,14,2
resilience,-0.0932,0.4528,-0.2058,0.8376,TR,70,14,2
(Intercept),0.2243,0.282,0.7952,0.4287,AO,91,13,3
trend_adj,-0.4436,0.16,-2.7726,0.0068,AO,91,13,3
pressures,0.2259,0.2396,0.943,0.3483,AO,91,13,3
resilience,1.0372,0.3504,2.9604,0.004,AO,91,13,3
(Intercept),0.9418,1.1924,0.7898,0.4315,FIS,104,13,3
trend_adj,-0.6296,0.1583,-3.9765,1e-4,FIS,104,13,3
pressures,1.3367,1.0705,1.2487,0.2147,FIS,104,13,3
resilience,-0.1381,1.6726,-0.0826,0.9343,FIS,104,13,3
(Intercept),1.2853,0.6261,2.0531,0.0459,SAL,49,7,3
trend_adj,-0.6966,0.1075,-6.4781,0,SAL,49,7,3
pressures,0.13,0.576,0.2257,0.8224,SAL,49,7,3
resilience,-0.2179,0.8153,-0.2673,0.7905,SAL,49,7,3
(Intercept),0.9984,0.002,505.5793,0,CPP,91,13,3
trend_adj,0.7987,0.0533,14.9932,0,CPP,91,13,3
pressures,-0.0023,0.0026,-0.9182,0.3611,CPP,91,13,3
resilience,0.0033,0.0034,0.9674,0.336,CPP,91,13,3
(Intercept),0.9997,5e-4,2168.7277,0,CSS,91,13,3
trend_adj,0.6452,0.0395,16.3509,0,CSS,91,13,3
pressures,-5e-4,6e-4,-0.8086,0.421,CSS,91,13,3
resilience,5e-4,8e-4,0.6861,0.4945,CSS,91,13,3
(Intercept),0.9943,0.0061,163.9853,0,CW,91,13,3
trend_adj,-0.4963,0.1769,-2.8048,0.0062,CW,91,13,3
pressures,0.0247,0.0121,2.0351,0.0449,CW,91,13,3
resilience,-0.0031,0.007,-0.446,0.6567,CW,91,13,3
(Intercept),0.8885,0.054,16.4628,0,HAB,104,13,3
trend_adj,-0.5264,0.1556,-3.3824,0.001,HAB,104,13,3
pressures,-0.0807,0.0464,-1.7387,0.0852,HAB,104,13,3
resilience,0.1684,0.0756,2.227,0.0282,HAB,104,13,3
(Intercept),0.9992,0.0028,362.0901,0,SPP,104,13,3
trend_adj,0.0205,0.171,0.12,0.9047,SPP,104,13,3
pressures,-0.0049,0.0045,-1.099,0.2744,SPP,104,13,3
resilience,0.0033,0.0039,0.8486,0.3982,SPP,104,13,3
(Intercept),1.0075,0.0101,99.5384,0,ICO,104,13,3
trend_adj,0.3903,0.1194,3.2682,0.0015,ICO,104,13,3
pressures,-0.0021,0.0058,-0.3603,0.7194,ICO,104,13,3
resilience,-0.0016,0.0131,-0.1192,0.9054,ICO,104,13,3
(Intercept),5.5677,3.131,1.7782,0.0789,LSP,91,13,3
trend_adj,-0.6396,0.5324,-1.2015,0.2328,LSP,91,13,3
pressures,-0.9337,3.9046,-0.2391,0.8116,LSP,91,13,3
resilience,-5.0448,4.049,-1.2459,0.2161,LSP,91,13,3
(Intercept),1.8071,0.4091,4.4176,0,LEF,60,10,3
trend_adj,0.1474,0.0947,1.5567,0.1252,LEF,60,10,3
pressures,-0.5298,0.3657,-1.4486,0.153,LEF,60,10,3
resilience,-0.4006,0.1202,-3.3331,0.0015,LEF,60,10,3
(Intercept),-0.822,0.3051,-2.6942,0.0093,LEO,60,10,3
trend_adj,0.3388,0.1557,2.1766,0.0337,LEO,60,10,3
pressures,0.6548,0.1124,5.8264,0,LEO,60,10,3
resilience,1.8052,0.2983,6.0524,0,LEO,60,10,3
(Intercept),1.0744,0.4498,2.3889,0.02,TR,65,13,3
trend_adj,-1.3755,0.1916,-7.1803,0,TR,65,13,3
pressures,-0.6455,0.896,-0.7204,0.474,TR,65,13,3
resilience,0.0809,0.4637,0.1746,0.862,TR,65,13,3
(Intercept),-0.0027,0.3291,-0.0081,0.9935,AO,84,12,4
trend_adj,-0.3728,0.1351,-2.7596,0.0072,AO,84,12,4
pressures,0.3528,0.2753,1.2815,0.2037,AO,84,12,4
resilience,1.306,0.4111,3.1766,0.0021,AO,84,12,4
(Intercept),0.6798,1.2736,0.5337,0.5948,FIS,96,12,4
trend_adj,-0.987,0.1278,-7.7224,0,FIS,96,12,4
pressures,2.1359,1.1542,1.8505,0.0674,FIS,96,12,4
resilience,0.2499,1.7909,0.1395,0.8893,FIS,96,12,4
(Intercept),0.7662,0.6726,1.1392,0.2618,SAL,42,6,4
trend_adj,-0.5133,0.0816,-6.2919,0,SAL,42,6,4
pressures,0.1076,0.6207,0.1734,0.8632,SAL,42,6,4
resilience,0.4755,0.8849,0.5373,0.5942,SAL,42,6,4
(Intercept),0.9978,0.0029,340.129,0,CPP,84,12,4
trend_adj,0.7491,0.0568,13.1912,0,CPP,84,12,4
pressures,-0.0031,0.0037,-0.8304,0.4088,CPP,84,12,4
resilience,0.0044,0.0051,0.855,0.3951,CPP,84,12,4
(Intercept),0.9996,7e-4,1500.501,0,CSS,84,12,4
trend_adj,0.6152,0.0409,15.0435,0,CSS,84,12,4
pressures,-7e-4,8e-4,-0.8335,0.4071,CSS,84,12,4
resilience,8e-4,0.0012,0.6864,0.4945,CSS,84,12,4
(Intercept),0.9962,0.0057,175.2427,0,CW,84,12,4
trend_adj,-0.3748,0.1191,-3.1459,0.0023,CW,84,12,4
pressures,0.0224,0.0113,1.981,0.051,CW,84,12,4
resilience,-0.0051,0.0068,-0.7598,0.4496,CW,84,12,4
(Intercept),0.8378,0.0565,14.8188,0,HAB,96,12,4
trend_adj,-0.5331,0.1206,-4.4194,0,HAB,96,12,4
pressures,-0.1203,0.048,-2.5054,0.014,HAB,96,12,4
resilience,0.2453,0.0801,3.062,0.0029,HAB,96,12,4
(Intercept),1.0003,0.0033,307.074,0,SPP,96,12,4
trend_adj,0.0795,0.1505,0.5281,0.5987,SPP,96,12,4
pressures,-0.0072,0.0054,-1.316,0.1915,SPP,96,12,4
resilience,0.0027,0.0047,0.5698,0.5702,SPP,96,12,4
(Intercept),1.0093,0.0123,82.1148,0,ICO,96,12,4
trend_adj,0.4121,0.1062,3.8821,2e-4,ICO,96,12,4
pressures,-0.0049,0.0069,-0.7202,0.4732,ICO,96,12,4
resilience,4e-4,0.016,0.0219,0.9826,ICO,96,12,4
(Intercept),8.6114,4.3795,1.9663,0.0527,LSP,84,12,4
