term,estimate,std.error,statistic,p.value,goal,n_obs,years,lfs_lead
(Intercept),0.9196,0.0406,22.665,0,AO,105,15,1
trend_adj,-0.9693,0.4031,-2.4049,0.018,AO,105,15,1
res_minus_prs,0.2061,0.0963,2.1395,0.0348,AO,105,15,1
(Intercept),1.0482,0.1793,5.8454,0,FIS,120,15,1
trend_adj,0.2753,0.1681,1.6379,0.1041,FIS,120,15,1
res_minus_prs,-0.1675,0.3334,-0.5025,0.6163,FIS,120,15,1
(Intercept),0.985,0.1732,5.6874,0,SAL,63,9,1
trend_adj,-1.5144,0.2776,-5.4549,0,SAL,63,9,1
res_minus_prs,0.1555,0.3247,0.4791,0.6336,SAL,63,9,1
(Intercept),0.9998,3e-4,3526.9807,0,CPP,105,15,1
trend_adj,0.8895,0.0459,19.3853,0,CPP,105,15,1
res_minus_prs,5e-4,6e-4,0.7661,0.4454,CPP,105,15,1
(Intercept),1,1e-4,14596.2539,0,CSS,105,15,1
trend_adj,0.6971,0.0363,19.1894,0,CSS,105,15,1
res_minus_prs,1e-4,1e-4,0.4268,0.6704,CSS,105,15,1
(Intercept),1.0014,0.0017,588.3253,0,CW,105,15,1
trend_adj,-1.3801,0.4003,-3.4479,8e-4,CW,105,15,1
res_minus_prs,-0.0036,0.0047,-0.7566,0.451,CW,105,15,1
(Intercept),0.9691,0.0173,56.0727,0,HAB,120,15,1
trend_adj,-1.8217,0.3817,-4.7723,0,HAB,120,15,1
res_minus_prs,0.052,0.0316,1.6467,0.1023,HAB,120,15,1
(Intercept),0.9995,7e-4,1431.2051,0,SPP,120,15,1
trend_adj,-0.064,0.1683,-0.3805,0.7043,SPP,120,15,1
res_minus_prs,0.0011,0.0014,0.7576,0.4502,SPP,120,15,1
(Intercept),1.0017,0.0019,533.2317,0,ICO,120,15,1
trend_adj,0.3346,0.1716,1.9497,0.0536,ICO,120,15,1
res_minus_prs,0,0.003,0.0039,0.9969,ICO,120,15,1
(Intercept),1.2103,0.4185,2.8917,0.0047,LSP,105,15,1
trend_adj,0.035,0.5312,0.0659,0.9476,LSP,105,15,1
res_minus_prs,-0.1361,0.8358,-0.1629,0.871,LSP,105,15,1
(Intercept),0.9921,0.0107,93.0623,0,LEF,72,12,1
trend_adj,0.4551,0.1013,4.4943,0,LEF,72,12,1
res_minus_prs,-0.041,0.0282,-1.4541,0.1504,LEF,72,12,1
(Intercept),1.0011,0.0012,859.7834,0,LEO,72,12,1
trend_adj,0.6696,0.1423,4.7071,0,LEO,72,12,1
res_minus_prs,0.0073,0.0039,1.866,0.0663,LEO,72,12,1
(Intercept),1.015,0.0745,13.6169,0,TR,75,15,1
trend_adj,-0.5116,0.3036,-1.6851,0.0963,TR,75,15,1
res_minus_prs,-0.0418,0.1861,-0.2244,0.8231,TR,75,15,1
(Intercept),0.9194,0.048,19.1524,0,AO,98,14,2
trend_adj,-0.364,0.2244,-1.6222,0.1081,AO,98,14,2
res_minus_prs,0.1906,0.1162,1.6406,0.1042,AO,98,14,2
(Intercept),1.2264,0.3505,3.4984,7e-4,FIS,112,14,2
trend_adj,-0.1802,0.1642,-1.0976,0.2748,FIS,112,14,2
res_minus_prs,-0.4469,0.6561,-0.6812,0.4972,FIS,112,14,2
(Intercept),1.1281,0.2066,5.4591,0,SAL,56,8,2
trend_adj,-0.9458,0.1532,-6.174,0,SAL,56,8,2
res_minus_prs,-0.0633,0.3916,-0.1616,0.8722,SAL,56,8,2
(Intercept),0.9993,7e-4,1436.8397,0,CPP,98,14,2
trend_adj,0.8456,0.0492,17.2001,0,CPP,98,14,2
res_minus_prs,0.0015,0.0015,0.9949,0.3223,CPP,98,14,2
(Intercept),0.9999,2e-4,6177.9292,0,CSS,98,14,2
trend_adj,0.6705,0.0374,17.9247,0,CSS,98,14,2
res_minus_prs,2e-4,3e-4,0.6659,0.5071,CSS,98,14,2
(Intercept),1.0025,0.002,513.3513,0,CW,98,14,2
trend_adj,-0.8307,0.239,-3.4752,8e-4,CW,98,14,2
res_minus_prs,-0.0064,0.0055,-1.1777,0.2419,CW,98,14,2
(Intercept),0.9618,0.0225,42.7582,0,HAB,112,14,2
trend_adj,-0.8266,0.2363,-3.4975,7e-4,HAB,112,14,2
res_minus_prs,0.0635,0.0413,1.5362,0.1274,HAB,112,14,2
(Intercept),0.9987,0.0011,888.4274,0,SPP,112,14,2
trend_adj,-0.0581,0.1306,-0.4445,0.6576,SPP,112,14,2
res_minus_prs,0.0031,0.0023,1.3134,0.1918,SPP,112,14,2
(Intercept),1.0033,0.0028,361.3493,0,ICO,112,14,2
trend_adj,0.3533,0.1255,2.8153,0.0058,ICO,112,14,2
res_minus_prs,5e-4,0.0044,0.1126,0.9106,ICO,112,14,2
(Intercept),1.5942,0.6538,2.4383,0.0166,LSP,98,14,2
trend_adj,-0.0298,0.4036,-0.074,0.9412,LSP,98,14,2
res_minus_prs,-0.5419,1.3035,-0.4158,0.6785,LSP,98,14,2
(Intercept),0.9773,0.0219,44.5399,0,LEF,66,11,2
trend_adj,0.2865,0.1018,2.8146,0.0065,LEF,66,11,2
res_minus_prs,-0.1111,0.0578,-1.9225,0.0591,LEF,66,11,2
(Intercept),1.0036,0.0025,401.581,0,LEO,66,11,2
trend_adj,0.3812,0.1684,2.2634,0.0271,LEO,66,11,2
res_minus_prs,0.0158,0.0085,1.8593,0.0677,LEO,66,11,2
(Intercept),0.9777,0.1129,8.6591,0,TR,70,14,2
trend_adj,-1.0047,0.2589,-3.881,2e-4,TR,70,14,2
res_minus_prs,0.0305,0.2814,0.1085,0.9139,TR,70,14,2
(Intercept),0.8838,0.0528,16.7534,0,AO,91,13,3
trend_adj,-0.3857,0.1623,-2.3772,0.0196,AO,91,13,3
res_minus_prs,0.2593,0.1288,2.0128,0.0472,AO,91,13,3
(Intercept),1.6153,0.491,3.2895,0.0014,FIS,104,13,3
trend_adj,-0.629,0.1578,-3.9852,1e-4,FIS,104,13,3
res_minus_prs,-1.0024,0.922,-1.0872,0.2795,FIS,104,13,3
(Intercept),1.2366,0.2316,5.3396,0,SAL,49,7,3
trend_adj,-0.6963,0.1063,-6.5493,0,SAL,49,7,3
res_minus_prs,-0.1606,0.4409,-0.3643,0.7173,SAL,49,7,3
(Intercept),0.9989,0.0011,872.0137,0,CPP,91,13,3
trend_adj,0.7969,0.0527,15.114,0,CPP,91,13,3
res_minus_prs,0.0025,0.0025,1.0177,0.3116,CPP,91,13,3
(Intercept),0.9998,3e-4,3921.2151,0,CSS,91,13,3
trend_adj,0.644,0.0384,16.765,0,CSS,91,13,3
res_minus_prs,5e-4,6e-4,0.8443,0.4008,CSS,91,13,3
