rgn_id,system_ratings,percent_high_risk
1,high = 1; med = 5; low = 3,0.3888888888888889
2,med = 1; low = 1,0.25
3,med = 4,0.5
4,high = 2; med = 4; low = 1,0.5714285714285714
5,high = 2; med = 3; low = 6,0.3181818181818182
6,high = 3; med = 12; low = 12,0.3333333333333333
