sgc,pop,year,csdname,csdtype,rgn_id,area_total_km2,area_ohibc_km2,prop_area,fn
5909014,596,2001,Fraser Valley A,RDA,6,2351.0786707105594,4.497580040729477,0.001912985769791441,TRUE
5909016,745,2001,Fraser Valley B,RDA,6,3107.7104839154085,49.747129563937825,0.016007646085893223,TRUE
5909020,62927,2001,Chilliwack,C,6,278.7065144513889,278.7065040396157,0.9999999626425194,FALSE
5909027,1343,2001,Harrison Hot Springs,VL,6,7.242220830641564,7.2422267891215135,1.0000008227420965,FALSE
5909032,4926,2001,Kent,DM,6,198.81581852829547,197.9723031031805,0.9957573022541216,FALSE
5909034,1032,2001,Fraser Valley D,RDA,6,234.0596287448619,204.0824758924176,0.8719251456853283,TRUE
5909036,3400,2001,Fraser Valley E,RDA,6,774.3807475648514,772.6454937627842,0.9977591723354127,TRUE
5909048,716,2001,Fraser Valley C,RDA,6,3924.9576998257644,3915.252929012863,0.9975274202793748,TRUE
5909052,115463,2001,Abbotsford,C,6,367.49297605540494,367.4928922514552,0.9999997719576829,FALSE
5909056,31272,2001,Mission,DM,6,260.46218326647914,260.4622363495844,1.0000002038035025,FALSE
5909060,1237,2001,Fraser Valley F,RDA,6,2126.710160603589,2126.710088926864,0.9999999662969001,TRUE
5909062,1827,2001,Fraser Valley G,RDA,6,91.96142604934438,91.96146809440243,1.0000004572031977,TRUE
5909064,387,2001,Fraser Valley H,RDA,6,39.47795554931537,39.47795486549681,0.9999999826784709,TRUE
5909807,64,2001,Ohamil 1,R,6,2.1327725678959637,2.1327725680796803,1.0000000000861398,TRUE
5909810,21,2001,Lukseetsissum 9,R,6,0.6209855172230135,0.4739989334246553,0.7633011081229916,TRUE
5909821,360,2001,Kwawkwawapilt 6,R,6,1.017986442966234,1.01798669840651,1.000000250926992,TRUE
5909822,267,2001,Skowkale 10,R,6,0.5944665232859688,0.5944665535808131,1.0000000509613967,TRUE
5909823,186,2001,Skowkale 11,R,6,0.11198356470131501,0.11198346101553121,0.9999990740982029,TRUE
5909824,205,2001,Skwah 4,R,6,1.238981496783267,1.2389813375197667,0.9999998714561108,TRUE
5909825,5,2001,Skwali 3,R,6,1.605585885504095,1.6055859448499232,1.0000000369621014,TRUE
5909826,84,2001,Skway 5,R,6,2.6428133590377945,2.6428138124572635,1.0000001715669657,TRUE
5909827,234,2001,Soowahlie 14,R,6,4.027499515168961,4.027498891654469,0.9999998451857064,TRUE
5909828,111,2001,Squiaala 7,R,6,0.9425668737450018,0.9425669088328881,1.0000000372258853,TRUE
5909829,5,2001,Squiaala 8,R,6,0.5159863067332116,0.5159863767625317,1.0000001357193384,TRUE
5909830,683,2001,Tzeachten 13,R,6,2.133710328586217,2.133713437839061,1.0000014572047584,TRUE
5909831,42,2001,Yakweakwioose 12,R,6,0.22151229267963768,0.22151227882931568,0.9999999374737997,TRUE
5909832,535,2001,Seabird Island,R,6,16.924033345350036,16.924032875023165,0.9999999722095283,TRUE
5909833,10,2001,Scowlitz 1,R,6,0.853888260043331,0.8538885230277795,1.000000307984617,TRUE
5909834,0,2001,Tseatah 2,R,6,0.6115196711579626,0.6115199847520143,1.0000005128110616,TRUE
5909835,18,2001,Aitchelitch 9,R,6,0.20400423978534712,0.2040044370066598,1.0000009667510483,TRUE
5909837,212,2001,Cheam 1,R,6,3.6616815436038923,3.6616807328464387,0.9999997785832974,TRUE
5909838,5,2001,Schelowat 1,R,6,0.9263343291267553,0.9263345382157564,1.0000002257165632,TRUE
5909839,460,2001,Chehalis 5,R,6,9.607055542243565,9.60706241564852,1.0000007154538584,TRUE
5909842,48,2001,Douglas 8,R,6,4.276033926638728,4.276032874698088,0.9999997539915121,TRUE
5909843,44,2001,Peters 1,R,6,1.8727831599277798,1.8727830803952366,0.9999999575324336,TRUE
5909844,0,2001,Popkum 1,R,6,1.3778762298049219,1.3778756299561932,0.9999995646570311,TRUE
5909845,66,2001,Skookumchuck 4,R,6,2.091878889574709,2.09187996142146,1.0000005123847067,TRUE
5909846,0,2001,Franks 10,R,6,0.41999741719438416,0.419997783081901,1.0000008711661117,TRUE
5909848,0,2001,Tipella 7,R,6,0.011566484403466805,0.011566477580131032,0.9999994100769485,TRUE
5909849,0,2001,Skwahla 2,R,6,0.12114388497686386,0.1211438529996723,0.9999997360395734,TRUE
5909852,0,2001,Baptiste Smith 1A,R,6,0.23343665840687974,0.23343670641707442,1.0000002056669035,TRUE
5909855,5,2001,Sachteen 2,R,6,0.06312086926160752,0.06312086915373802,0.9999999982910643,TRUE
5909860,5,2001,Sachteen 2A,R,6,0.17518351058772205,0.17518353772239387,1.0000001548928419,TRUE
5909865,0,2001,Samahquam 1,R,6,1.295331083572764,1.2953307149347597,0.9999997154102076,TRUE
5909875,53,2001,Baptiste Smith 1B,R,6,0.3063573672025043,0.3063571551604234,0.99999930786035,TRUE
5909877,175,2001,Upper Sumas 6,R,6,2.6109563581106023,2.6109566076866386,1.000000095587977,TRUE
5909878,73,2001,Matsqui Main 2,R,6,1.607064469613408,1.607064981012419,1.00000031821935,TRUE
5909879,322,2001,Holachten 8,R,6,1.2864482163872626,1.286448742288828,1.000000408801193,TRUE
5909880,242,2001,Lakahahmen 11,R,6,0.4231809120398462,0.423181009691149,1.0000002307554525,TRUE
5909881,259,2001,Skweahm 10,R,6,1.0138830648525405,1.0138830312559008,0.999999966863398,TRUE
5909882,83,2001,Squawkum Creek 3,R,6,1.6382132092839912,1.638213675855875,1.0000002848053484,TRUE
5915001,86896,2001,Langley,DM,6,314.0557404663559,314.0557366248103,0.9999999877679498,FALSE
5915002,23643,2001,Langley,C,6,10.254433728368623,10.25443374293444,1.0000000014204409,FALSE
5915004,347825,2001,Surrey,C,6,325.8009771965498,325.8009909725363,1.0000000422834412,FALSE
5915007,18250,2001,White Rock,C,6,5.158306084178107,5.158305982187302,0.9999999802278493,FALSE
5915011,96950,2001,Delta,DM,6,199.1368611233722,199.13449599451445,0.9999881230986348,FALSE
5915015,164345,2001,Richmond,C,6,151.07960637587632,151.07956063208897,0.9999996972206344,FALSE
5915020,8034,2001,Greater Vancouver A,RDA,6,880.2910581433543,880.2911435927144,1.00000009706944,TRUE
5915022,545671,2001,Vancouver,C,6,123.74868673327063,123.74869321916911,1.000000052411857,FALSE
5915025,193954,2001,Burnaby,C,6,95.34600292486897,95.34601200493385,1.0000000952327797,FALSE
5915029,54656,2001,New Westminster,C,6,18.229610497471853,18.22960717841459,0.9999998179304345,FALSE
5915034,112890,2001,Coquitlam,C,6,129.76513645873862,129.76518351215887,1.0000003626044833,FALSE
5915036,682,2001,Belcarra,VL,6,12.925404158740362,12.925415960016311,1.0000009130295504,FALSE
5915038,1344,2001,Anmore,VL,6,31.74383468912943,31.743863775005845,1.0000009162685197,FALSE
5915039,51257,2001,Port Coquitlam,C,6,34.30043537466352,34.300426278986755,0.9999997348232851,FALSE
5915043,23816,2001,Port Moody,C,6,33.36679096605791,33.36679371802434,1.0000000824762092,FALSE
5915046,82310,2001,North Vancouver,DM,6,176.8169076288515,176.81690707834798,0.99999999688659,FALSE
5915051,44303,2001,North Vancouver,C,6,14.351887034153329,14.351877421446089,0.9999993302130084,FALSE
5915055,41421,2001,West Vancouver,DM,6,89.12581590170868,89.12583412473694,1.0000002044640834,FALSE
5915062,2957,2001,Bowen Island,IM,6,50.10828627450001,50.10828633444249,1.0000000011962589,FALSE
5915065,1379,2001,Lions Bay,VL,6,2.5749433606602157,2.5749438525575252,1.000000191032283,FALSE
5915070,14670,2001,Pitt Meadows,DM,6,95.42326893670571,95.42328131383435,1.000000129707657,FALSE
5915075,63169,2001,Maple Ridge,DM,6,284.0533052400608,284.0534024275258,1.0000003421451649,FALSE
5915801,131,2001,Semiahmoo,R,6,1.3236447523837183,1.3236447161767502,0.9999999726460079,TRUE
5915802,474,2001,Tsawwassen,R,6,1.9453957988714734,1.9453971160633154,1.000000677081673,TRUE
5915803,1305,2001,Musqueam 2,R,6,1.9781652830325178,1.9781657229508236,1.000000222387032,TRUE
5915804,5,2001,Coquitlam 2,R,6,0.8067508878823463,0.806749533068238,0.9999983206537129,TRUE
5915805,15,2001,Coquitlam 1,R,6,0.03516431119645247,0.03516431148648262,1.0000000082478553,TRUE
5915806,1203,2001,Burrard Inlet 3,R,6,1.0873568308649981,1.0873570747607415,1.0000002243014774,TRUE
5915807,339,2001,Mission 1,R,6,0.16343714856550753,0.16343711544708908,0.9999997973629696,TRUE
5915808,2230,2001,Capilano 5,R,6,1.5240250976257836,1.5240245590241892,0.9999996465927002,TRUE
5915809,46,2001,Barnston Island 3,R,6,0.43116931219503096,0.4311696072738618,1.0000006843688138,TRUE
5915810,5,2001,Musqueam 4,R,6,0.5983902850888037,0.5983903103365302,1.0000000421927415,TRUE
5915811,54,2001,Seymour Creek 2,R,6,0.6686534248002028,0.6686534476125539,1.0000000341168536,TRUE
5915813,31,2001,Katzie 2,R,6,0.3049775885851253,0.3049773807776496,0.9999993186139459,TRUE
5915816,59,2001,McMillan Island 6,R,6,1.8385625543883861,1.8385626120437812,1.000000031358952,TRUE
5915825,417,2001,Matsqui 4,R,6,0.29111004652779177,0.2911100780635774,1.0000001083294308,TRUE
5915830,224,2001,Katzie 1,R,6,0.5304456567181307,0.5304457778649032,1.0000002283867744,TRUE
5915835,0,2001,Langley 5,R,6,1.3440931680235864,1.3440980995048881,1.0000036690025804,TRUE
5915840,5,2001,Whonnock 1,R,6,0.386893342578372,0.3868937449708879,1.0000010400605843,TRUE
5917005,10436,2001,North Saanich,DM,6,37.22876764622166,37.22876912899553,1.000000039828712,FALSE
5917010,10929,2001,Sidney,T,6,5.050970782410186,5.050970483263075,0.9999999407743336,FALSE
5917015,15348,2001,Central Saanich,DM,5,41.545731927675476,3.4175468734743597,0.08225987881074681,FALSE
5917015,15348,2001,Central Saanich,DM,6,41.545731927675476,38.128186866760075,0.9177401648172956,FALSE
5917021,103654,2001,Saanich,DM,5,106.79586596859569,92.1119555660224,0.8625048800401015,FALSE
5917021,103654,2001,Saanich,DM,6,106.79586596859569,14.68391165639776,0.13749513170028227,FALSE
5917027,9279,2001,Capital F,RDA,6,184.9105896366928,184.91058990162324,1.000000001432749,TRUE
5917029,4307,2001,Capital G,RDA,5,185.2089367694306,0.79921815128088,0.004315224552451476,TRUE
5917029,4307,2001,Capital G,RDA,6,185.2089367694306,184.4097583304954,0.9956849898667142,TRUE
5917030,17798,2001,Oak Bay,DM,5,10.392299799819689,10.392300219703335,1.0000000404033422,FALSE
5917034,74125,2001,Victoria,C,5,19.691066625965455,19.691066699476018,1.0000000037331938,FALSE
5917040,16127,2001,Esquimalt,DM,5,7.036592437547189,7.0365926720412375,1.000000033324944,FALSE
5917041,13745,2001,Colwood,C,5,17.784871639186637,17.78486839164577,0.9999998173986897,FALSE
5917042,4857,2001,Metchosin,DM,5,71.2237857322385,71.22386896748158,1.000001168643905,FALSE
5917044,18840,2001,Langford,DM,5,40.36169700271631,29.083083616774083,0.7205614673440717,FALSE
5917044,18840,2001,Langford,DM,6,40.36169700271631,11.278616491091304,0.2794386095889938,FALSE
5917047,7271,2001,View Royal,T,5,14.915915311353158,14.850492714308823,0.9956139066440971,FALSE
5917047,7271,2001,View Royal,T,6,14.915915311353158,0.06542017575784027,0.004385931026843932,FALSE
5917049,1674,2001,Highlands,DM,5,38.171461260725174,2.4982959819821864,0.065449314735893993,FALSE
