order_no,issued_date,closes_area,area,subarea
PTN-2008-295,2008-10-10,Area 1,1,1
PTN-2008-295,2008-10-10,Area 1,1,2
PTN-2008-295,2008-10-10,Area 1,1,3
PTN-2008-295,2008-10-10,Area 1,1,4
PTN-2008-295,2008-10-10,Area 1,1,5
PTN-2008-295,2008-10-10,Area 1,1,6
PTN-2008-295,2008-10-10,Area 1,1,7
PTN-2008-305,2008-10-21,Area 2,2,1
PTN-2008-305,2008-10-21,Area 2,2,2
PTN-2008-305,2008-10-21,Area 2,2,3
PTN-2008-305,2008-10-21,Area 2,2,4
PTN-2008-305,2008-10-21,Area 2,2,5
PTN-2008-305,2008-10-21,Area 2,2,6
PTN-2008-305,2008-10-21,Area 2,2,7
PTN-2008-305,2008-10-21,Area 2,2,8
PTN-2008-305,2008-10-21,Area 2,2,9
PTN-2008-305,2008-10-21,Area 2,2,10
PTN-2008-305,2008-10-21,Area 2,2,11
PTN-2008-305,2008-10-21,Area 2,2,12
PTN-2008-305,2008-10-21,Area 2,2,13
PTN-2008-305,2008-10-21,Area 2,2,14
PTN-2008-305,2008-10-21,Area 2,2,15
PTN-2008-305,2008-10-21,Area 2,2,16
PTN-2008-305,2008-10-21,Area 2,2,17
PTN-2008-305,2008-10-21,Area 2,2,18
PTN-2008-305,2008-10-21,Area 2,2,19
PTN-2008-305,2008-10-21,Area 2,2,31
PTN-2008-305,2008-10-21,Area 2,2,32
PTN-2008-305,2008-10-21,Area 2,2,33
PTN-2008-305,2008-10-21,Area 2,2,34
PTN-2008-305,2008-10-21,Area 2,2,35
PTN-2008-305,2008-10-21,Area 2,2,35
PTN-2008-305,2008-10-21,Area 2,2,35
PTN-2008-305,2008-10-21,Area 2,2,35
PTN-2008-305,2008-10-21,Area 2,2,36
PTN-2008-305,2008-10-21,Area 2,2,37
PTN-2008-305,2008-10-21,Area 2,2,38
PTN-2008-305,2008-10-21,Area 2,2,39
PTN-2008-305,2008-10-21,Area 2,2,40
PTN-2008-305,2008-10-21,Area 2,2,41
PTN-2008-305,2008-10-21,Area 2,2,42
PTN-2008-305,2008-10-21,Area 2,2,43
PTN-2008-305,2008-10-21,Area 2,2,44
PTN-2008-305,2008-10-21,Area 2,2,45
PTN-2008-305,2008-10-21,Area 2,2,46
PTN-2008-305,2008-10-21,Area 2,2,47
PTN-2008-305,2008-10-21,Area 2,2,48
PTN-2008-305,2008-10-21,Area 2,2,49
PTN-2008-305,2008-10-21,Area 2,2,50
PTN-2008-305,2008-10-21,Area 2,2,51
PTN-2008-305,2008-10-21,Area 2,2,52
PTN-2008-305,2008-10-21,Area 2,2,53
PTN-2008-305,2008-10-21,Area 2,2,54
PTN-2008-305,2008-10-21,Area 2,2,55
PTN-2008-305,2008-10-21,Area 2,2,56
PTN-2008-305,2008-10-21,Area 2,2,57
PTN-2008-305,2008-10-21,Area 2,2,58
PTN-2008-305,2008-10-21,Area 2,2,59
PTN-2008-305,2008-10-21,Area 2,2,60
PTN-2008-305,2008-10-21,Area 2,2,61
PTN-2008-305,2008-10-21,Area 2,2,62
PTN-2008-305,2008-10-21,Area 2,2,63
PTN-2008-305,2008-10-21,Area 2,2,64
PTN-2008-305,2008-10-21,Area 2,2,65
PTN-2008-305,2008-10-21,Area 2,2,66
PTN-2008-305,2008-10-21,Area 2,2,67
PTN-2008-305,2008-10-21,Area 2,2,68
PTN-2008-305,2008-10-21,Area 2,2,69
PTN-2008-305,2008-10-21,Area 2,2,70
PTN-2008-305,2008-10-21,Area 2,2,71
PTN-2008-305,2008-10-21,Area 2,2,72
PTN-2008-305,2008-10-21,Area 2,2,73
PTN-2008-305,2008-10-21,Area 2,2,74
PTN-2008-305,2008-10-21,Area 2,2,75
PTN-2008-305,2008-10-21,Area 2,2,76
PTN-2008-305,2008-10-21,Area 2,2,77
PTN-2008-305,2008-10-21,Area 2,2,78
PTN-2008-305,2008-10-21,Area 2,2,79
PTN-2008-305,2008-10-21,Area 2,2,80
PTN-2008-305,2008-10-21,Area 2,2,81
PTN-2008-305,2008-10-21,Area 2,2,82
PTN-2008-305,2008-10-21,Area 2,2,83
PTN-2008-305,2008-10-21,Area 2,2,84
PTN-2008-305,2008-10-21,Area 2,2,85
PTN-2008-305,2008-10-21,Area 2,2,86
PTN-2008-305,2008-10-21,Area 2,2,87
PTN-2008-305,2008-10-21,Area 2,2,88
PTN-2008-305,2008-10-21,Area 2,2,89
PTN-2008-305,2008-10-21,Area 2,2,90
PTN-2008-305,2008-10-21,Area 2,2,91
PTN-2008-305,2008-10-21,Area 2,2,92
PTN-2008-305,2008-10-21,Area 2,2,93
PTN-2008-305,2008-10-21,Area 2,2,94
PTN-2008-305,2008-10-21,Area 2,2,95
PTN-2008-305,2008-10-21,Area 2,2,96
PTN-2008-305,2008-10-21,Area 2,2,97
PTN-2008-305,2008-10-21,Area 2,2,98
PTN-2008-305,2008-10-21,Area 2,2,99
PTN-2008-305,2008-10-21,Area 2,2,100
PTN-2008-342,2008-11-19,Area 23,23,1
PTN-2008-342,2008-11-19,Area 23,23,2
PTN-2008-342,2008-11-19,Area 23,23,3
PTN-2008-342,2008-11-19,Area 23,23,4
PTN-2008-342,2008-11-19,Area 23,23,5
PTN-2008-342,2008-11-19,Area 23,23,6
PTN-2008-342,2008-11-19,Area 23,23,7
PTN-2008-342,2008-11-19,Area 23,23,8
PTN-2008-342,2008-11-19,Area 23,23,9
PTN-2008-342,2008-11-19,Area 23,23,10
PTN-2008-342,2008-11-19,Area 23,23,11
PTN-2009-10,2009-01-09,Area 1,1,1
PTN-2009-10,2009-01-09,Area 1,1,2
PTN-2009-10,2009-01-09,Area 1,1,3
PTN-2009-10,2009-01-09,Area 1,1,4
PTN-2009-10,2009-01-09,Area 1,1,5
PTN-2009-10,2009-01-09,Area 1,1,6
PTN-2009-10,2009-01-09,Area 1,1,7
PTN-2009-18,2009-01-16,Area 2,2,1
