"loiczid","weighted_mean_cat","weighted_mean_trend"
49060,0.158333,-0.0972221
49061,0.154,-0.101351
49780,0.141892,-0.114131
49781,0.15,-0.111111
49782,0.2,0
50494,0.126191,-0.111702
50495,0.124692,-0.0978262
50496,0.134177,-0.117022
50497,0.137662,-0.11828
50498,0.138562,-0.11828
50499,0.146207,-0.114131
50500,0.143243,-0.112903
51209,0.191667,-0.0869564
51210,0.184,-0.0624999
51211,0.159322,-0.0666668
51212,0.154667,-0.0571428
51213,0.150413,-0.0806452
51214,0.123976,-0.110526
51215,0.126191,-0.110526
51216,0.1325,-0.117022
51217,0.134177,-0.117022
51218,0.137255,-0.119565
51219,0.136774,-0.11828
51220,0.137662,-0.117022
51223,0.110588,-0.079365
51924,0.191667,-0.119048
51925,0.195745,-0.119048
51926,0.188,-0.130435
51927,0.167213,-0.130435
51928,0.16,-0.0999999
51929,0.16,-0.0961538
51930,0.180769,-0.0833335
51931,0.188235,-0.0799998
51932,0.168254,-0.0606062
51933,0.14382,-0.0750002
51934,0.118182,-0.109375
51935,0.127811,-0.114583
51936,0.135,-0.121052
51937,0.133333,-0.117022
51938,0.137662,-0.11828
51939,0.134591,-0.11828
51940,0.127381,-0.110526
51941,0.129697,-0.117022
51942,0.123636,-0.103261
51943,0.132121,-0.119791
52643,0.209091,-0.0999999
52644,0.209091,-0.0999999
52645,0.2,-0.0999999
52646,0.2,-0.119048
52647,0.195833,-0.119048
52648,0.167213,-0.113637
52649,0.151852,-0.12
52650,0.165079,-0.1
52651,0.182456,-0.1
52652,0.157576,-0.1
52653,0.165625,-0.0606062
52654,0.15619,-0.0816325
52655,0.117515,-0.109375
52656,0.125581,-0.113402
52657,0.124706,-0.109375
52658,0.134752,-0.0915493
52659,0.128144,-0.111702
52660,0.128143,-0.111702
52661,0.137179,-0.112903
52662,0.130487,-0.11579
52663,0.137008,-0.116279
52664,0.138053,-0.107595
53363,0.209091,-0.0999999
53364,0.209091,-0.0999999
53365,0.195745,-0.0999999
53366,0.195745,-0.0999999
53367,0.2,-0.119048
53368,0.2,-0.119048
53369,0.2,-0.136363
53370,0.204167,-0.136363
53371,0.2,-0.130435
53372,0.192,-0.104166
53373,0.170492,-0.1
53374,0.172308,-0.0588236
53375,0.159459,-0.0588236
53376,0.119318,-0.106383
53377,0.125423,-0.113402
53378,0.130588,-0.11579
53379,0.141007,-0.0972222
53380,0.15433,-0.0999998
53381,0.130539,-0.121052
53382,0.125597,-0.137724
53383,0.13494,-0.121052
53384,0.131765,-0.119791
53386,0.147273,-0.102564
53387,0.194118,0.0227273
54084,0.219048,-0.0999999
54085,0.209091,-0.0999999
54086,0.2,-0.0999999
54087,0.204348,-0.119048
54088,0.195833,-0.119048
54089,0.204167,-0.136363
54090,0.208511,-0.136363
54091,0.204167,-0.136363
54092,0.168254,-0.12
54093,0.164706,-0.137931
54094,0.170492,-0.1
54095,0.180328,-0.0606059
54096,0.169697,-0.0588236
54097,0.119318,-0.106383
54098,0.124719,-0.113402
54099,0.127486,-0.11579
54100,0.160656,-0.102941
54101,0.15433,-0.0985913
54102,0.136111,-0.0958904
54103,0.132544,-0.121052
54104,0.130995,-0.119791
54105,0.130233,-0.118557
54106,0.142105,-0.10625
54107,0.183784,0
54805,0.219048,-0.0999999
54806,0.209091,-0.0999999
54807,0.213044,-0.136363
54808,0.204167,-0.136363
54809,0.2,-0.136363
54810,0.2,-0.136363
54811,0.208,-0.136363
54812,0.208,-0.136363
54813,0.192727,-0.125
54814,0.185714,-0.142857
54815,0.178947,-0.103448
54816,0.175,-0.0606062
54817,0.169697,-0.0588236
54818,0.12,-0.107527
54819,0.125139,-0.11579
54820,0.154199,-0.101449
54821,0.153031,-0.0985913
54822,0.137143,-0.0785712
54823,0.142254,-0.0958904
54824,0.134132,-0.119791
54825,0.128736,-0.118557
54826,0.13985,-0.119318
54827,0.183784,0
55526,0.209091,-0.0999999
55527,0.204255,-0.119047
55528,0.204167,-0.136363
55529,0.2,-0.136363
55530,0.2,-0.136363
55531,0.208,-0.136363
55532,0.208,-0.136363
55533,0.208,-0.136363
55534,0.203922,-0.130435
55535,0.179661,-0.137931
55536,0.179661,-0.137931
55537,0.167742,-0.0806453
55538,0.172308,-0.0588236
55539,0.172308,-0.0588236
55540,0.154839,-0.0853661
55541,0.157813,-0.102941
55542,0.145324,-0.0972221
55543,0.147445,-0.0972221
55544,0.146377,-0.0945946
55545,0.141772,-0.11579
55546,0.13494,-0.118557
55547,0.14087,-0.10625
55549,0.108889,-0.0692308
56247,0.204255,-0.119047
56248,0.2,-0.136363
56249,0.208,-0.136363
56250,0.212245,-0.136363
56251,0.196296,-0.130435
56252,0.208,-0.136363
56253,0.208,-0.136363
56254,0.208,-0.136363
56255,0.203922,-0.130435
56256,0.203922,-0.145833
56257,0.189091,-0.142857
56258,0.164179,-0.1
56259,0.157143,-0.0781248
56260,0.168572,-0.0588236
56261,0.157798,-0.0784311
56262,0.1325,-0.0974027
56263,0.121529,-0.121771
56264,0.140244,-0.113402
56265,0.12948,-0.112245
56266,0.137424,-0.108247
56267,0.132184,-0.115
56268,0.131429,-0.113862
56269,0.147009,-0.10241
56270,0.146087,-0.0975613
56271,0.145946,-0.0897438
56968,0.213044,-0.136363
56969,0.203921,-0.136363
56970,0.208,-0.136363
56971,0.212245,-0.136363
56972,0.208,-0.136363
56973,0.208,-0.136363
56974,0.196296,-0.130435
56975,0.208,-0.136363
56976,0.192727,-0.130435
56977,0.192727,-0.14
56978,0.192727,-0.14
56979,0.196552,-0.115385
56980,0.166667,-0.0740742
56981,0.157576,-0.0757577
56982,0.174648,-0.0694446
56983,0.153086,-0.0641027
56984,0.127778,-0.115
56985,0.137725,-0.112245
56986,0.141317,-0.116162
56988,0.136095,-0.116162
56989,0.141104,-0.112245
56990,0.141975,-0.112245
56991,0.143949,-0.114583
56992,0.172414,-0.0757578
56993,0.171764,-0.0692308
57690,0.203921,-0.136363
57691,0.203921,-0.136363
57692,0.208,-0.136363
57693,0.208,-0.136363
57694,0.189831,-0.130435
57695,0.177778,-0.125
57696,0.192727,-0.130435
57697,0.192727,-0.130435
57698,0.2,-0.14
57699,0.192982,-0.14
57700,0.189831,-0.115385
57701,0.180645,-0.107143
57702,0.171429,-0.0909092
57703,0.16,-0.0857144
57704,0.152941,-0.0625
57705,0.149315,-0.105263
57706,0.138012,-0.116162
57707,0.140606,-0.113402
57708,0.152294,-0.094937
57710,0.146754,-0.115789
57711,0.146753,-0.104167
57712,0.146753,-0.104167
57713,0.1504,-0.0802469
57714,0.17381,-0.0781252
58411,0.2,-0.130435
58412,0.192727,-0.130435
58413,0.193104,-0.130435
58414,0.203922,-0.136363
58415,0.203922,-0.136363
58416,0.192727,-0.130435
58417,0.203922,-0.136363
58418,0.189285,-0.130435
58419,0.184127,-0.14
58420,0.189655,-0.14
58421,0.186667,-0.111111
58422,0.183607,-0.111111
58423,0.168571,-0.1
