value,rgn_id,n_cells
16,1,336
15,1,0
17,1,409
NA,1,380629
16,2,209
15,2,0
17,2,65
NA,2,253121
16,3,146
15,3,0
17,3,0
NA,3,359056
16,4,619
15,4,196
17,4,602
NA,4,363176
16,5,0
15,5,36
17,5,4469
NA,5,198883
16,6,932
15,6,3405
17,6,13666
NA,6,246376
16,8,0
15,8,0
17,8,0
NA,8,26811
16,NA,2000842
15,NA,195620
17,NA,116806
NA,NA,266704190
