value,rgn_id,n_cells,year,zone
21,8,3,1990,3nm_offshore
25,8,0,1990,3nm_offshore
41,8,6808,1990,3nm_offshore
42,8,0,1990,3nm_offshore
45,8,513,1990,3nm_offshore
46,8,17,1990,3nm_offshore
71,8,963,1990,3nm_offshore
73,8,20,1990,3nm_offshore
74,8,6,1990,3nm_offshore
NA,8,1020301,1990,3nm_offshore
21,6,16080,1990,3nm_offshore
25,6,548,1990,3nm_offshore
41,6,69930,1990,3nm_offshore
42,6,747,1990,3nm_offshore
45,6,4952,1990,3nm_offshore
46,6,1757,1990,3nm_offshore
71,6,4431,1990,3nm_offshore
73,6,5178,1990,3nm_offshore
74,6,13489,1990,3nm_offshore
NA,6,6820146,1990,3nm_offshore
21,5,4359,1990,3nm_offshore
25,5,115,1990,3nm_offshore
41,5,95074,1990,3nm_offshore
42,5,2183,1990,3nm_offshore
45,5,6464,1990,3nm_offshore
46,5,4199,1990,3nm_offshore
71,5,7793,1990,3nm_offshore
73,5,4097,1990,3nm_offshore
74,5,7374,1990,3nm_offshore
NA,5,4894541,1990,3nm_offshore
21,4,1015,1990,3nm_offshore
25,4,160,1990,3nm_offshore
41,4,170099,1990,3nm_offshore
42,4,2236,1990,3nm_offshore
45,4,7830,1990,3nm_offshore
46,4,4973,1990,3nm_offshore
71,4,3950,1990,3nm_offshore
73,4,6598,1990,3nm_offshore
74,4,2437,1990,3nm_offshore
NA,4,6926630,1990,3nm_offshore
21,3,212,1990,3nm_offshore
25,3,30,1990,3nm_offshore
41,3,63612,1990,3nm_offshore
42,3,89,1990,3nm_offshore
45,3,3408,1990,3nm_offshore
46,3,515,1990,3nm_offshore
71,3,2432,1990,3nm_offshore
73,3,1365,1990,3nm_offshore
74,3,1561,1990,3nm_offshore
NA,3,5635214,1990,3nm_offshore
21,2,145,1990,3nm_offshore
25,2,20,1990,3nm_offshore
41,2,51576,1990,3nm_offshore
42,2,0,1990,3nm_offshore
45,2,814,1990,3nm_offshore
46,2,30,1990,3nm_offshore
71,2,6130,1990,3nm_offshore
73,2,5229,1990,3nm_offshore
74,2,4914,1990,3nm_offshore
NA,2,7373808,1990,3nm_offshore
21,1,601,1990,3nm_offshore
25,1,56,1990,3nm_offshore
41,1,126171,1990,3nm_offshore
42,1,992,1990,3nm_offshore
45,1,5806,1990,3nm_offshore
46,1,308,1990,3nm_offshore
71,1,5603,1990,3nm_offshore
73,1,1812,1990,3nm_offshore
74,1,528,1990,3nm_offshore
NA,1,8712660,1990,3nm_offshore
21,1,11564,1990,1km_inland
25,1,5184,1990,1km_inland
41,1,4024517,1990,1km_inland
42,1,3908,1990,1km_inland
45,1,1033,1990,1km_inland
46,1,1396,1990,1km_inland
71,1,2692,1990,1km_inland
73,1,5903,1990,1km_inland
74,1,4346,1990,1km_inland
NA,1,178758,1990,1km_inland
21,2,1473,1990,1km_inland
25,2,1182,1990,1km_inland
41,2,2583130,1990,1km_inland
42,2,2352,1990,1km_inland
45,2,242,1990,1km_inland
46,2,622,1990,1km_inland
71,2,4963,1990,1km_inland
73,2,19779,1990,1km_inland
74,2,85498,1990,1km_inland
NA,2,115592,1990,1km_inland
21,3,1751,1990,1km_inland
25,3,897,1990,1km_inland
41,3,3800510,1990,1km_inland
42,3,2194,1990,1km_inland
45,3,552,1990,1km_inland
46,3,715,1990,1km_inland
71,3,512,1990,1km_inland
73,3,1408,1990,1km_inland
74,3,578,1990,1km_inland
NA,3,182800,1990,1km_inland
21,4,14149,1990,1km_inland
25,4,12271,1990,1km_inland
41,4,3926280,1990,1km_inland
42,4,8527,1990,1km_inland
45,4,758,1990,1km_inland
46,4,3205,1990,1km_inland
71,4,1336,1990,1km_inland
73,4,7946,1990,1km_inland
74,4,1660,1990,1km_inland
NA,4,75110,1990,1km_inland
21,5,62011,1990,1km_inland
25,5,27841,1990,1km_inland
41,5,2086233,1990,1km_inland
42,5,4735,1990,1km_inland
45,5,1025,1990,1km_inland
46,5,2241,1990,1km_inland
71,5,582,1990,1km_inland
73,5,1981,1990,1km_inland
74,5,1384,1990,1km_inland
NA,5,71723,1990,1km_inland
21,6,237659,1990,1km_inland
25,6,131423,1990,1km_inland
41,6,2430289,1990,1km_inland
42,6,3001,1990,1km_inland
45,6,6462,1990,1km_inland
46,6,1488,1990,1km_inland
71,6,4092,1990,1km_inland
73,6,6684,1990,1km_inland
74,6,5001,1990,1km_inland
NA,6,112375,1990,1km_inland
21,8,15,1990,1km_inland
25,8,0,1990,1km_inland
41,8,280438,1990,1km_inland
42,8,0,1990,1km_inland
45,8,120,1990,1km_inland
46,8,163,1990,1km_inland
71,8,254,1990,1km_inland
73,8,3,1990,1km_inland
74,8,10,1990,1km_inland
NA,8,16941,1990,1km_inland
21,NA,1114580,1990,NA
25,NA,677818,1990,NA
41,NA,280773153,1990,NA
42,NA,1946290,1990,NA
45,NA,356572,1990,NA
46,NA,313099,1990,NA
71,NA,512424,1990,NA
73,NA,2429491,1990,NA
74,NA,1931796,1990,NA
NA,NA,329731072,1990,NA
