goal,dimension,region_id,score,yr_text,year
CW,resilience,1,68.44,2001,2001
FIS,resilience,1,0.28,2001,2001
ICO,resilience,1,23,2001,2001
MAR,resilience,1,68.44,2001,2001
SAL,resilience,1,23,2001,2001
SPP,resilience,1,23,2001,2001
CW,resilience,2,68.44,2001,2001
FIS,resilience,2,0.25,2001,2001
ICO,resilience,2,22.98,2001,2001
MAR,resilience,2,68.44,2001,2001
SAL,resilience,2,22.98,2001,2001
SPP,resilience,2,22.98,2001,2001
CW,resilience,3,68.44,2001,2001
FIS,resilience,3,1.29,2001,2001
ICO,resilience,3,23.67,2001,2001
MAR,resilience,3,68.44,2001,2001
SAL,resilience,3,23.67,2001,2001
SPP,resilience,3,23.67,2001,2001
CW,resilience,4,68.44,2001,2001
FIS,resilience,4,5.51,2001,2001
ICO,resilience,4,26.49,2001,2001
MAR,resilience,4,68.44,2001,2001
SAL,resilience,4,26.49,2001,2001
SPP,resilience,4,26.49,2001,2001
CW,resilience,5,68.44,2001,2001
FIS,resilience,5,10.55,2001,2001
ICO,resilience,5,29.85,2001,2001
MAR,resilience,5,68.44,2001,2001
SAL,resilience,5,29.85,2001,2001
SPP,resilience,5,29.85,2001,2001
CW,resilience,6,68.44,2001,2001
FIS,resilience,6,10,2001,2001
ICO,resilience,6,29.48,2001,2001
MAR,resilience,6,68.44,2001,2001
SAL,resilience,6,29.48,2001,2001
SPP,resilience,6,29.48,2001,2001
FIS,resilience,7,0,2001,2001
ICO,resilience,7,0,2001,2001
SAL,resilience,7,0,2001,2001
SPP,resilience,7,0,2001,2001
CW,resilience,8,68.44,2001,2001
FIS,resilience,8,9.84,2001,2001
ICO,resilience,8,29.37,2001,2001
MAR,resilience,8,68.44,2001,2001
SAL,resilience,8,29.37,2001,2001
SPP,resilience,8,29.37,2001,2001
CW,resilience,1,68.44,2002,2002
FIS,resilience,1,0.28,2002,2002
ICO,resilience,1,23,2002,2002
MAR,resilience,1,68.44,2002,2002
SAL,resilience,1,23,2002,2002
SPP,resilience,1,23,2002,2002
CW,resilience,2,68.44,2002,2002
FIS,resilience,2,0.25,2002,2002
ICO,resilience,2,22.98,2002,2002
MAR,resilience,2,68.44,2002,2002
SAL,resilience,2,22.98,2002,2002
SPP,resilience,2,22.98,2002,2002
CW,resilience,3,68.44,2002,2002
FIS,resilience,3,1.29,2002,2002
ICO,resilience,3,23.67,2002,2002
MAR,resilience,3,68.44,2002,2002
SAL,resilience,3,23.67,2002,2002
SPP,resilience,3,23.67,2002,2002
CW,resilience,4,68.44,2002,2002
FIS,resilience,4,5.51,2002,2002
ICO,resilience,4,26.49,2002,2002
MAR,resilience,4,68.44,2002,2002
SAL,resilience,4,26.49,2002,2002
SPP,resilience,4,26.49,2002,2002
CW,resilience,5,68.44,2002,2002
FIS,resilience,5,10.55,2002,2002
ICO,resilience,5,29.85,2002,2002
MAR,resilience,5,68.44,2002,2002
SAL,resilience,5,29.85,2002,2002
SPP,resilience,5,29.85,2002,2002
CW,resilience,6,68.44,2002,2002
FIS,resilience,6,10.03,2002,2002
ICO,resilience,6,29.5,2002,2002
MAR,resilience,6,68.44,2002,2002
SAL,resilience,6,29.5,2002,2002
SPP,resilience,6,29.5,2002,2002
FIS,resilience,7,0,2002,2002
ICO,resilience,7,0,2002,2002
SAL,resilience,7,0,2002,2002
SPP,resilience,7,0,2002,2002
CW,resilience,8,68.44,2002,2002
FIS,resilience,8,9.84,2002,2002
ICO,resilience,8,29.37,2002,2002
MAR,resilience,8,68.44,2002,2002
SAL,resilience,8,29.37,2002,2002
SPP,resilience,8,29.37,2002,2002
CW,resilience,1,68.44,2003,2003
FIS,resilience,1,0.28,2003,2003
ICO,resilience,1,23,2003,2003
MAR,resilience,1,68.44,2003,2003
SAL,resilience,1,23,2003,2003
SPP,resilience,1,23,2003,2003
CW,resilience,2,68.44,2003,2003
FIS,resilience,2,0.25,2003,2003
ICO,resilience,2,22.98,2003,2003
MAR,resilience,2,68.44,2003,2003
SAL,resilience,2,22.98,2003,2003
SPP,resilience,2,22.98,2003,2003
CW,resilience,3,68.44,2003,2003
FIS,resilience,3,1.29,2003,2003
ICO,resilience,3,23.67,2003,2003
MAR,resilience,3,68.44,2003,2003
SAL,resilience,3,23.67,2003,2003
SPP,resilience,3,23.67,2003,2003
CW,resilience,4,68.44,2003,2003
FIS,resilience,4,5.51,2003,2003
ICO,resilience,4,26.49,2003,2003
MAR,resilience,4,68.44,2003,2003
SAL,resilience,4,26.49,2003,2003
SPP,resilience,4,26.49,2003,2003
CW,resilience,5,68.44,2003,2003
FIS,resilience,5,10.57,2003,2003
ICO,resilience,5,29.86,2003,2003
MAR,resilience,5,68.44,2003,2003
SAL,resilience,5,29.86,2003,2003
SPP,resilience,5,29.86,2003,2003
CW,resilience,6,68.44,2003,2003
FIS,resilience,6,11.07,2003,2003
ICO,resilience,6,30.19,2003,2003
MAR,resilience,6,68.44,2003,2003
SAL,resilience,6,30.19,2003,2003
SPP,resilience,6,30.19,2003,2003
FIS,resilience,7,0.08,2003,2003
ICO,resilience,7,0.08,2003,2003
SAL,resilience,7,0.08,2003,2003
SPP,resilience,7,0.08,2003,2003
CW,resilience,8,68.44,2003,2003
FIS,resilience,8,9.84,2003,2003
ICO,resilience,8,29.37,2003,2003
MAR,resilience,8,68.44,2003,2003
SAL,resilience,8,29.37,2003,2003
SPP,resilience,8,29.37,2003,2003
CW,resilience,1,68.44,2004,2004
FIS,resilience,1,0.63,2004,2004
ICO,resilience,1,23.23,2004,2004
MAR,resilience,1,68.44,2004,2004
SAL,resilience,1,23.23,2004,2004
SPP,resilience,1,23.23,2004,2004
CW,resilience,2,68.44,2004,2004
FIS,resilience,2,0.25,2004,2004
ICO,resilience,2,22.98,2004,2004
MAR,resilience,2,68.44,2004,2004
SAL,resilience,2,22.98,2004,2004
SPP,resilience,2,22.98,2004,2004
CW,resilience,3,68.44,2004,2004
FIS,resilience,3,1.29,2004,2004
ICO,resilience,3,23.67,2004,2004
MAR,resilience,3,68.44,2004,2004
SAL,resilience,3,23.67,2004,2004
SPP,resilience,3,23.67,2004,2004
CW,resilience,4,68.44,2004,2004
FIS,resilience,4,5.51,2004,2004
ICO,resilience,4,26.49,2004,2004
MAR,resilience,4,68.44,2004,2004
SAL,resilience,4,26.49,2004,2004
SPP,resilience,4,26.49,2004,2004
CW,resilience,5,68.44,2004,2004
FIS,resilience,5,10.57,2004,2004
ICO,resilience,5,29.86,2004,2004
MAR,resilience,5,68.44,2004,2004
SAL,resilience,5,29.86,2004,2004
