goal,dimension,region_id,score,yr_text,year
FIS,status,1,63.1961225951708,2001,2001
FIS,status,2,63.793551618691666,2001,2001
FIS,status,3,64.71103197445201,2001,2001
FIS,status,4,64.54957714912561,2001,2001
FIS,status,5,64.88783313231187,2001,2001
FIS,status,6,64.08547364834338,2001,2001
FIS,status,7,37.993398293515625,2001,2001
FIS,status,8,59.461008144246485,2001,2001
FIS,trend,1,0.1735,2001,2001
FIS,trend,2,0.18629,2001,2001
FIS,trend,3,0.20464,2001,2001
FIS,trend,4,0.1962,2001,2001
FIS,trend,5,0.20462,2001,2001
FIS,trend,6,0.18417,2001,2001
FIS,trend,7,0.28162,2001,2001
FIS,trend,8,0.09076,2001,2001
MAR,status,2,NA,2001,2001
MAR,status,3,NA,2001,2001
MAR,status,4,NA,2001,2001
MAR,status,5,NA,2001,2001
MAR,status,6,NA,2001,2001
MAR,trend,2,NA,2001,2001
MAR,trend,3,NA,2001,2001
MAR,trend,4,NA,2001,2001
MAR,trend,5,NA,2001,2001
MAR,trend,6,NA,2001,2001
SAL,status,1,NA,2001,2001
SAL,status,2,NA,2001,2001
SAL,status,3,NA,2001,2001
SAL,status,4,NA,2001,2001
SAL,status,5,NA,2001,2001
SAL,status,6,NA,2001,2001
SAL,status,8,NA,2001,2001
SAL,trend,1,NA,2001,2001
SAL,trend,2,NA,2001,2001
SAL,trend,3,NA,2001,2001
SAL,trend,4,NA,2001,2001
SAL,trend,5,NA,2001,2001
SAL,trend,6,NA,2001,2001
SAL,trend,8,NA,2001,2001
AO,status,1,94.67923,2001,2001
AO,status,2,66.77146,2001,2001
AO,status,3,59.89103,2001,2001
AO,status,4,76.20203,2001,2001
AO,status,5,87.54257,2001,2001
AO,status,6,62.35764,2001,2001
AO,status,8,73.51956,2001,2001
AO,trend,1,0.09153,2001,2001
AO,trend,2,0.09511,2001,2001
AO,trend,3,0.03728,2001,2001
AO,trend,4,0.19597,2001,2001
AO,trend,5,0.30487,2001,2001
AO,trend,6,0.16852,2001,2001
AO,trend,8,0.11365,2001,2001
CSS,status,1,99.97220062286722,2001,2001
CSS,status,2,100,2001,2001
CSS,status,3,99.99317883206515,2001,2001
CSS,status,4,99.93136033288846,2001,2001
CSS,status,5,99.80375358689282,2001,2001
CSS,status,6,98.11484245496814,2001,2001
CSS,status,8,100,2001,2001
CSS,trend,1,-1.1e-4,2001,2001
CSS,trend,2,0,2001,2001
CSS,trend,3,-3e-5,2001,2001
CSS,trend,4,-2.8e-4,2001,2001
CSS,trend,5,-8.7e-4,2001,2001
CSS,trend,6,-0.00804,2001,2001
CSS,trend,8,0,2001,2001
CPP,status,1,100,2001,2001
CPP,status,2,99.98573422192737,2001,2001
CPP,status,3,100,2001,2001
CPP,status,4,99.77916591802139,2001,2001
CPP,status,5,100,2001,2001
CPP,status,6,97.14894322194338,2001,2001
CPP,status,8,100,2001,2001
CPP,trend,1,0,2001,2001
CPP,trend,2,-1.4e-4,2001,2001
CPP,trend,3,0,2001,2001
CPP,trend,4,-0.001,2001,2001
CPP,trend,5,0,2001,2001
CPP,trend,6,-0.01345,2001,2001
CPP,trend,8,0,2001,2001
TR,status,1,100,2001,2001
TR,status,2,100,2001,2001
TR,status,3,NA,2001,2001
TR,status,4,100,2001,2001
TR,status,5,100,2001,2001
TR,status,6,100,2001,2001
TR,status,7,NA,2001,2001
TR,status,8,NA,2001,2001
TR,trend,1,0,2001,2001
TR,trend,2,0,2001,2001
TR,trend,3,NA,2001,2001
TR,trend,4,0,2001,2001
TR,trend,5,0,2001,2001
TR,trend,6,0,2001,2001
TR,trend,7,NA,2001,2001
TR,trend,8,NA,2001,2001
LEF,status,1,63.611378658920316,2001,2001
LEF,status,2,67.6732365159294,2001,2001
LEF,status,3,60.830224832062584,2001,2001
LEF,status,4,63.25572965372358,2001,2001
LEF,status,5,63.98063230072183,2001,2001
LEF,status,6,65.32044041658813,2001,2001
LEF,trend,1,NA,2001,2001
LEF,trend,2,NA,2001,2001
LEF,trend,3,NA,2001,2001
LEF,trend,4,NA,2001,2001
LEF,trend,5,NA,2001,2001
LEF,trend,6,NA,2001,2001
LEO,status,1,65.52793669554376,2001,2001
LEO,status,2,65.97835218993252,2001,2001
LEO,status,4,64.91305060423464,2001,2001
LEO,status,5,65.15646532398459,2001,2001
