goal,dimension,region_id,score,yr_text,year
AO,pressures,1,23.5,2001,2001
CPP,pressures,1,11.7,2001,2001
CSS,pressures,1,11.7,2001,2001
CW,pressures,1,36.81,2001,2001
FIS,pressures,1,20.98,2001,2001
HAB,pressures,1,19.11,2001,2001
ICO,pressures,1,20.9,2001,2001
LSP,pressures,1,20.26,2001,2001
MAR,pressures,1,26.99,2001,2001
SAL,pressures,1,19.01,2001,2001
SPP,pressures,1,23.33,2001,2001
TR,pressures,1,26.53,2001,2001
AO,pressures,2,23.24,2001,2001
CPP,pressures,2,33.65,2001,2001
CSS,pressures,2,33.65,2001,2001
CW,pressures,2,31.47,2001,2001
FIS,pressures,2,23.08,2001,2001
HAB,pressures,2,19.98,2001,2001
ICO,pressures,2,25.92,2001,2001
LSP,pressures,2,22.5,2001,2001
MAR,pressures,2,27.97,2001,2001
SAL,pressures,2,34.34,2001,2001
SPP,pressures,2,25.1,2001,2001
TR,pressures,2,22.78,2001,2001
AO,pressures,3,18.42,2001,2001
CPP,pressures,3,10.33,2001,2001
CSS,pressures,3,10.33,2001,2001
CW,pressures,3,37.39,2001,2001
FIS,pressures,3,13.77,2001,2001
HAB,pressures,3,13.51,2001,2001
ICO,pressures,3,24.24,2001,2001
LSP,pressures,3,21.14,2001,2001
MAR,pressures,3,29.04,2001,2001
SAL,pressures,3,16.38,2001,2001
SPP,pressures,3,18.49,2001,2001
TR,pressures,3,23.72,2001,2001
AO,pressures,4,24.12,2001,2001
CPP,pressures,4,32.87,2001,2001
CSS,pressures,4,32.87,2001,2001
CW,pressures,4,37.47,2001,2001
FIS,pressures,4,25.63,2001,2001
HAB,pressures,4,31.18,2001,2001
ICO,pressures,4,49.49,2001,2001
LSP,pressures,4,28.4,2001,2001
MAR,pressures,4,43.65,2001,2001
SAL,pressures,4,26.78,2001,2001
SPP,pressures,4,30.93,2001,2001
TR,pressures,4,27.82,2001,2001
AO,pressures,5,27.1,2001,2001
CPP,pressures,5,44.48,2001,2001
CSS,pressures,5,44.48,2001,2001
CW,pressures,5,50.13,2001,2001
FIS,pressures,5,24.37,2001,2001
HAB,pressures,5,27.87,2001,2001
ICO,pressures,5,45.85,2001,2001
LSP,pressures,5,33.86,2001,2001
MAR,pressures,5,45.16,2001,2001
SAL,pressures,5,39.98,2001,2001
SPP,pressures,5,30.31,2001,2001
TR,pressures,5,32.94,2001,2001
AO,pressures,6,21.39,2001,2001
CPP,pressures,6,15.36,2001,2001
CSS,pressures,6,15.36,2001,2001
CW,pressures,6,55.71,2001,2001
FIS,pressures,6,18.64,2001,2001
HAB,pressures,6,20.63,2001,2001
ICO,pressures,6,30.68,2001,2001
LSP,pressures,6,25.7,2001,2001
MAR,pressures,6,37.1,2001,2001
SAL,pressures,6,29.49,2001,2001
SPP,pressures,6,27.34,2001,2001
TR,pressures,6,34.33,2001,2001
CW,pressures,7,8.88,2001,2001
FIS,pressures,7,13.36,2001,2001
HAB,pressures,7,10.17,2001,2001
ICO,pressures,7,14.24,2001,2001
LSP,pressures,7,7.27,2001,2001
MAR,pressures,7,30.37,2001,2001
