sciname,comname
Balaenoptera edeni,Bryde's Whale
Physeter macrocephalus,Sperm Whale
Kogia breviceps,Pygmy Sperm Whale
Ziphius cavirostris,Cuvier's Beaked Whale
Mesoplodon densirostris,Blainville's Beaked Whale
Orcinus orca,Killer Whale
Pseudorca crassidens,False Killer Whale
Globicephala macrorhynchus,Short-Finned Pilot Whale
Grampus griseus,Risso's Dolphin
Stenella coeruleoalba,Striped Dolphin
Delphinus delphis,Common Dophin
Tursiops truncatus,Bottlenose Dolphin
Balaenoptera musculus,Blue Whale
Balaenoptera physalus,Fin Whale
Eschrichtius robustus,Gray Whale
Megaptera novaeangliae,Humpback Whale
Balaenoptera acutorostrata,Minke Whale
Eubalaena japonica,North Pacific Right Whale
Balaenoptera borealis,Sei Whale
Carcharodon carcharias,Great White Shark
Prionace glauca,Blue Shark
Isurus paucus,Longfin Mako
Isurus oxyrinchus,Shortfin Mako
Cetorhinus maximus,Basking Shark
Rhincodon typus,Whale Shark
Galeocerdo cuvier,Tiger Shark
Alopias vulpinus,Thresher Shark
Eretmochelys imbricata,Hawksbill Turtle
Dermochelys coriacea,Leatherback Turtle
Caretta caretta,Loggerhead Turtle
Lepidochelys olivacea,Olive Ridley Turtle
