ISO_3DIGIT,OHI gridcode,Country,Specie Common Name,Specie Scientific Name,Flagship Species,Priority Species_Regional and Local,Priority Species_Global,Nation Specific List,Taxa,Current Red List Category (Status),for pivot count,"Population Increasing, Decreasing, Stable or Unknown? (over 3 generations)",Year of last status assessment
NA,104,Peru,Peruvian anchoveta,Engraulis ringens,NA,NA,NA,1-Peru,Fish,Least Concern,1,unknown,2008
NA,134,Portugal,Mediterranean monk seal,Monachus monachus,NA,NA,NA,1-Portugal,Pinniped,Critically Endangered,1,decreasing,2008
NA,153,India,Smooth-coated Otter,Lutrogale perspicillata,NA,NA,NA,1-India,Otter,Vulnerable,1,decreasing,2008
NA,153,India,"Ganges Shark",Glyphis gangeticus,NA,NA,NA,1-India,Shark,Critically Endangered,1,decreasing,2007
AUS,12,Australia,Pygmy right whale,Caperea marginata,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Antarctic minke whale,Balaenoptera bonaerensis,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Southern right whale,Eubalaena australis,NA,NA,NA,1-AUS,Cetacean,Least Concern,1,increasing,2008
AUS,12,Australia,Bryde's whale,Balaenoptera edeni,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Sperm whale,Physeter macrocephalus,NA,NA,NA,1-AUS,Cetacean,Vulnerable,1,unknown,2008
AUS,12,Australia,Pygmy sperm whale,Kogia breviceps,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Swarf sperm whale,Kogia simus,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Gray's beaked whale,Mesoplodon grayi,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Andrew's beaked whale,Mesoplodon bowdoini,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,True's beaked whale,Mesoplodon mirus,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Gingko-toothed Beaked Whale,Mesoplodon ginkgodens,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Cuvier's Beaked Whale,Ziphius cavirostris,NA,NA,NA,1-AUS,Cetacean,Least Concern,1,unknown,2008
AUS,12,Australia,Hector's Beaked Whale,Mesoplodon hectori,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Shepherd's Beaked Whale,Tasmacetus shepherdi,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Arnoux's Beaked Whale,Berardius arnuxii,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Longman's Beaked Whale,Indopacetus pacificus,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Blainville's Beaked Whale,Mesoplodon densirostris,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Strap-toothed Beaked Whale,Mesoplodon layardii,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Southern Bottlenose Whale,Hyperoodon planifrons,NA,NA,NA,1-AUS,Cetacean,Least Concern,1,unknown,2008
AUS,12,Australia,Killer Whale,Orcinus orca,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Pygmy Killer Whale,Feresa attenuata,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,False Killer Whale,Pseudorca crassidens,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Long-finned Pilot Whale,Globicephala melas,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Short-finned Pilot Whale,Globicephala macrorhynchus,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Melon-headed Whale,Peponocephala electra,NA,NA,NA,1-AUS,Cetacean,Least Concern,1,unknown,2008
AUS,12,Australia,Rough Toothed Dolphin,Steno bredanensis,NA,NA,NA,1-AUS,Cetacean,Least Concern,1,unknown,2008
NA,39,Pakistan,Rough Toothed Dolphin,Steno bredanensis,NA,NA,NA,1-PAK,Cetacean,Least Concern,1,unknown,2008
AUS,12,Australia,Dusky Dolphin,Lagenorhynchus obscurus,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Hourglass Dolphin,Lagenorhynchus cruciger,NA,NA,NA,1-AUS,Cetacean,Least Concern,1,unknown,2008
AUS,12,Australia,Risso's Dolphin,Grampus griseus,NA,NA,NA,1-AUS,Cetacean,Least Concern,1,unknown,2008
AUS,12,Australia,Indo-Pacific Bottlenose Dolphin,Tursiops aduncus,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Pantropical Spotted Dolphin,Stenella attenuata,NA,NA,NA,1-AUS,Cetacean,Least Concern,1,unknown,2008
AUS,12,Australia,Spinner Dolphin,Stenella longirostris,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Striped Dolphin,Stenella coeruleoalba,NA,NA,NA,1-AUS,Cetacean,Least Concern,1,unknown,2008
AUS,12,Australia,Common Dophin,Delphinus delphis,NA,NA,NA,1-AUS,Cetacean,Least Concern,1,unknown,2008
AUS,12,Australia,Fraser's Dolphin,Lagenodelphis hosei,NA,NA,NA,1-AUS,Cetacean,Least Concern,1,unknown,2008
AUS,12,Australia,Southern Right Whale Dolphin,Lissodelphis peronii,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Spectacled Porpoise,Phocoena dioptrica,NA,NA,NA,1-AUS,Cetacean,Data deficient,1,unknown,2008
AUS,12,Australia,Bottlenose Dolphin,Tursiops truncatus,NA,NA,NA,1-AUS,Cetacean,Least Concern,1,unknown,2008
PAK,39,Pakistan,Bottlenose Dolphin,Tursiops truncatus,NA,NA,NA,1-PAK,Cetacean,Least Concern,1,unknown,2008
RUS,56,Russia,Polar bear,Ursus maritimus,1,NA,1,NA,Bear,Vulnerable,1,decreasing,2008
NA,116,United States,Polar bear,Ursus maritimus,1,NA,1,NA,Bear,Vulnerable,1,decreasing,2008
