ISO_3DIGIT,OHI gridcode,Country,Specie Common Name,Specie Scientific Name,Flagship Species,Priority Species_Regional and Local,Priority Species_Global,Nation Specific List,Taxa,Current Red List Category (Status),for pivot count,"Population Increasing, Decreasing, Stable or Unknown? (over 3 generations)",Year of last status assessment
SJM,169,Svalbard and Jan Mayen,Polar bear,Ursus maritimus,1,NA,1,NA,Bear,Vulnerable,1,decreasing,2008
NA,169,Norway,Polar bear,Ursus maritimus,1,NA,1,NA,Bear,Vulnerable,1,decreasing,2008
CAN,166,Canada,Polar bear,Ursus maritimus,1,NA,1,NA,Bear,Vulnerable,1,decreasing,2008
GRL,126,Greenland,Polar bear,Ursus maritimus,1,NA,1,NA,Bear,Vulnerable,1,decreasing,2008
AGO,151,Angola,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
ARG,123,Argentina,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
AUS,12,Australia,Blue whale,Balaenoptera musculus,1,NA,1,1-AUS,Cetacean,Endangered,1,increasing,2008
BHS,80,Bahamas,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
BGD,154,Bangladesh,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
BEN,72,Benin,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
BMU,85,Bermuda,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
BRA,122,Brazil,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
CMR,148,Cameroon,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
CAN,166,Canada,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
CPV,41,Cape Verde,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
CHL,170,Chile,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
CHN,159,China,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
CCK,1,Cocos Islands,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NA,98,Colombia,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
COM,20,Comoro Islands,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
COK,115,Cook Islands,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
CRI,96,Costa Rica,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NA,146,Cªte d'Ivoire,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
DJI,32,Djibouti,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
TLS,171,East Timor,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
ECU,103,Ecuador,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
SLV,100,El Salvador,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
GNQ,77,Equatorial Guinea,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
ERI,31,Eritrea,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
FLK,68,Falkland Islands,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NA,126,Faroe Islands,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
FRA,130,France,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NA,67,French Southern Territories (the),Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
GAB,149,Gabon,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
GHA,78,Ghana,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
GIB,43,Gibraltar,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
GRC,63,Greece,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
GRL,126,Greenland,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
GRD,91,Grenada,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
GTM,102,Guatemala,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
ISL,107,Iceland,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
IND,153,India,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
IDN,165,Indonesia,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
IRN,142,Iran,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
IRQ,143,Iraq,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
IRL,132,Ireland,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
JPN,160,Japan,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
KEN,29,Kenya,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NA,28,Madagascar,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
MYS,156,Malaysia,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
MDV,25,Maldives,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
MHL,9,Marshall Islands,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
MRT,47,Mauritania,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
MUS,23,Mauritius,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
MEX,101,Mexico,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
JUN,45,Morocco,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
MOZ,27,Mozambique,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
MMR,155,Myanmar,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NAM,74,Namibia,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NCL,3,New Caledonia,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NZL,115,New Zealand,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NIC,97,Nicaragua,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NGA,147,Nigeria,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NA,111,Northern Mariana Islands,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NOR,169,Norway,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
OMN,34,Oman,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NA,39,Pakistan,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
PLW,6,Palau,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
PAN,95,Panama,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
PER,104,Peru,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
PHL,11,Philippines,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
PCN,108,Pitcairn,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
PRT,134,Portugal,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
REU,21,R_union,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
RUS,56,Russia,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
SHN,68,Saint Helena,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
SPM,167,Saint Pierre and Miquelon,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
STP,76,Sao Tome and Principe,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
SEN,49,Senegal,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
SYC,22,Seychelles,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
SOM,30,Somalia,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
ZAF,75,South Africa,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
SGS,68,South Georgia and the South Sandwich Islands,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
ESP,133,Spain,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NA,26,Sri Lanka,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
TWN,10,Taiwan,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
TZA,152,Tanzania,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
THA,19,Thailand,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
TGO,71,Togo,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
GBR,131,United Kingdom,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
USA,116,United States,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
URY,124,Uruguay,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
ESH,46,Western Sahara,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
YEM,33,Yemen,Blue whale,Balaenoptera musculus,1,NA,1,NA,Cetacean,Endangered,1,increasing,2008
NA,166,Canada,Bowhead whale,Balaena mysticetus,1,NA,1,NA,Cetacean,Least Concern,1,increasing,2008
NA,126,Greenland,Bowhead whale,Balaena mysticetus,1,NA,1,NA,Cetacean,Least Concern,1,increasing,2008
NA,56,Russia,Bowhead whale,Balaena mysticetus,1,NA,1,NA,Cetacean,Least Concern,1,increasing,2008
NA,169,Svalbard and Jan Mayen,Bowhead whale,Balaena mysticetus,1,NA,1,NA,Cetacean,Least Concern,1,increasing,2008
NA,116,United States,Bowhead whale,Balaena mysticetus,1,NA,1,NA,Cetacean,Least Concern,1,increasing,2008
DZA,66,Algeria,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
AGO,151,Angola,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
ARG,123,Argentina,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
AUS,12,Australia,Fin whale,Balaenoptera physalus,1,NA,1,1-AUS,Cetacean,Endangered,1,unknown,2008
BEL,42,Belgium,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
BMU,85,Bermuda,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
BRA,122,Brazil,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
CAN,166,Canada,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
CHL,170,Chile,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
CHN,159,China,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NA,73,Congo,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
CYP,64,Cyprus,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
COD,150,Democratic Republic of the Congo,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
DNK,126,Denmark,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
EGY,163,Egypt,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
FLK,68,Falkland Islands,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NA,126,Faroe Islands,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
FJI,14,Fiji,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
FRA,130,France,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
PYF,109,French Polynesia,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NA,67,French Southern Territories (the),Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
DEU,127,Germany,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
GIB,43,Gibraltar,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
GRC,63,Greece,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
GRL,126,Greenland,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
ISL,107,Iceland,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
IRL,132,Ireland,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NA,62,Israel,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
ITA,135,Italy,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
JPN,160,Japan,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NA,17,"Korea, Democratic People's Republic of",Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NA,16,"Korea, Republic of",Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
LBN,61,Lebanon,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NA,50,Libyan Arab Jamahiriya,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NA,28,Madagascar,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
MLT,51,Malta,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
MEX,101,Mexico,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
MCO,136,Monaco,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
JUL,45,Morocco,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
MOZ,27,Mozambique,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NAM,74,Namibia,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NLD,128,Netherlands,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NCL,3,New Caledonia,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NZL,115,New Zealand,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NIU,115,Niue,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NA,111,Northern Mariana Islands,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
NOR,169,Norway,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
PER,104,Peru,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
PHL,11,Philippines,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
PCN,108,Pitcairn,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
PRT,134,Portugal,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
REU,21,R_union,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
RUS,56,Russia,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
SPM,167,Saint Pierre and Miquelon,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
ZAF,75,South Africa,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
SGS,68,South Georgia and the South Sandwich Islands,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
ESP,133,Spain,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
SWE,168,Sweden,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
SYR,60,Syria,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
TWN,10,Taiwan,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
TGO,71,Togo,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
TUN,44,Tunisia,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
TUR,59,Turkey,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
TUV,15,Tuvalu,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
GBR,131,United Kingdom,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
USA,116,United States,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
URY,124,Uruguay,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
VUT,4,Vanuatu,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
ESH,46,Western Sahara,Fin whale,Balaenoptera physalus,1,NA,1,NA,Cetacean,Endangered,1,unknown,2008
ARG,123,Argentina,Franciscana,Pontoporia blainvillei,1,NA,1,NA,Cetacean,Vulnerable,1,decreasing,2008
BRA,122,Brazil,Franciscana,Pontoporia blainvillei,1,NA,1,NA,Cetacean,Vulnerable,1,decreasing,2008
URY,124,Uruguay,Franciscana,Pontoporia blainvillei,1,NA,1,NA,Cetacean,Vulnerable,1,decreasing,2008
CAN,166,Canada,Gray Whale,Eschrichtius robustus,1,NA,1,NA,Cetacean,Least Concern,1,stable,2008
CHN,159,China,Gray Whale,Eschrichtius robustus,1,NA,1,NA,Cetacean,Least Concern,1,stable,2008
ISL,107,Iceland,Gray Whale,Eschrichtius robustus,1,NA,1,NA,Cetacean,extinct,1,stable,2008
JPN,160,Japan,Gray Whale,Eschrichtius robustus,1,NA,1,NA,Cetacean,Least Concern,1,stable,2008
MEX,101,Mexico,Gray Whale,Eschrichtius robustus,1,NA,1,NA,Cetacean,Least Concern,1,stable,2008
PRK,17,North Korea,Gray Whale,Eschrichtius robustus,1,NA,1,NA,Cetacean,Least Concern,1,stable,2008
RUS,56,Russia,Gray Whale,Eschrichtius robustus,1,NA,1,NA,Cetacean,Least Concern,1,stable,2008
KOR,16,South Korea,Gray Whale,Eschrichtius robustus,1,NA,1,NA,Cetacean,Least Concern,1,stable,2008
USA,116,United States,Gray Whale,Eschrichtius robustus,1,NA,1,NA,Cetacean,Least Concern,1,stable,2008
