rgn_id,year,closure_type,days_avg
1,2009,biotoxins,55.30549039497876
1,2010,biotoxins,44.50950992201864
1,2010,chemical closure,0.6377353705699613
1,2010,sanitary closure,152.2403474291511
1,2011,biotoxins,172.15310974450009
1,2011,sanitary closure,151.52713497749318
1,2012,biotoxins,185.61243897800037
1,2012,sanitary closure,17.18192480821657
1,2013,biotoxins,184.80121093007037
1,2014,biotoxins,286.492328662905
1,2014,chemical closure,0
1,2014,sanitary closure,63.89811703544031
1,2015,biotoxins,269.3000697394281
2,2009,biotoxins,200.70565567267369
2,2010,biotoxins,160.75121840643772
2,2010,sanitary closure,6.395972647247723
2,2011,biotoxins,258.64146737693153
2,2012,biotoxins,263.48252672938156
2,2013,biotoxins,212.98998828818617
2,2014,biotoxins,234.09074766708224
2,2014,sanitary closure,0
2,2015,biotoxins,251.5695341720503
2,2015,sanitary closure,0.25017945521175716
3,2009,biotoxins,55.200464128771046
3,2010,biotoxins,206.66928356292894
3,2010,sanitary closure,4.067051794795833
3,2011,biotoxins,252.6296351157853
3,2012,biotoxins,241.89571915271813
3,2013,biotoxins,284.5925541895028
3,2014,biotoxins,200.57828469856318
3,2014,sanitary closure,5.064879277144127
3,2015,biotoxins,197.67980052337927
4,2009,biotoxins,239.15355124303386
4,2009,sanitary closure,10.830599581044227
4,2010,biotoxins,197.77234101418918
4,2010,sanitary closure,10.857713133868227
4,2011,biotoxins,241.24473340974666
4,2011,sanitary closure,9.158215090312636
4,2012,biotoxins,258.042725583969
4,2012,chemical closure,0.18995296628591754
4,2012,sanitary closure,6.836251531560017
4,2013,biotoxins,214.6662977747915
4,2013,sanitary closure,1.5215208885024307
4,2014,biotoxins,247.17754238962888
4,2014,sanitary closure,0.27058219042725584
4,2015,biotoxins,255.6826212402672
4,2015,sanitary closure,0.33480890083395914
5,2009,biotoxins,105.68693568164085
5,2009,sanitary closure,29.605896778508527
5,2010,biotoxins,143.28246572288487
5,2010,sanitary closure,50.35848846282466
5,2011,biotoxins,169.1766804146695
5,2011,sanitary closure,25.576970237431727
5,2012,biotoxins,165.57384906922306
5,2012,sanitary closure,28.99576412885966
5,2013,biotoxins,222.66146471965223
5,2013,chemical closure,0
5,2013,sanitary closure,0
5,2014,biotoxins,170.93083268308996
5,2014,chemical closure,13.959982164753093
5,2014,sanitary closure,10.058187493033106
5,2015,biotoxins,164.57228848511872
5,2015,sanitary closure,0.7374874595920188
6,2009,biotoxins,258.91577125840075
6,2009,chemical closure,0
6,2009,sanitary closure,7.5967242142540945
6,2010,biotoxins,291.0328383435953
6,2010,sanitary closure,48.30242665700833
6,2011,biotoxins,289.13107167290434
6,2011,chemical closure,0
6,2011,sanitary closure,17.731981166244115
6,2012,biotoxins,253.4729767797497
6,2012,chemical closure,0
6,2012,sanitary closure,28.11585979315063
6,2013,biotoxins,286.953800957785
6,2013,sanitary closure,49.34838424081452
6,2014,biotoxins,248.00688156465048
6,2014,sanitary closure,69.11976337075939
6,2015,biotoxins,283.6376111714757
6,2015,sanitary closure,31.986035655358364
8,2009,biotoxins,18.62847790507365
8,2010,biotoxins,58.62465902891435
8,2011,biotoxins,195.25422804146208
8,2012,biotoxins,159.4012547735952
8,2013,biotoxins,158.53191489361703
8,2014,biotoxins,278.9528096017458
8,2014,sanitary closure,5.624113475177305
8,2015,biotoxins,162.3278777959629
NA,2009,biotoxins,NA
NA,2010,biotoxins,NA
NA,2010,sanitary closure,NA
NA,2011,biotoxins,NA
NA,2011,sanitary closure,NA
NA,2012,biotoxins,NA
NA,2012,sanitary closure,NA
NA,2013,biotoxins,NA
NA,2014,biotoxins,NA
NA,2014,sanitary closure,NA
NA,2015,biotoxins,NA
