year,variable,fis_mar_sal,total_category,total,prop_category
1998,landed_value,fis,312.7,604.6,0.5172014555077737
1998,landed_value,mar,237.9,604.6,0.3934832947403242
1998,landed_value,sal,54,604.6,0.08931524975190208
1998,weight,fis,204.2,282.8,0.722065063649222
1998,weight,mar,48.300000000000004,282.8,0.1707920792079208
1998,weight,sal,30.3,282.8,0.10714285714285714
1998,wholesale_value,fis,578.2,1066.6000000000001,0.542096381023814
1998,wholesale_value,mar,280.1,1066.6000000000001,0.2626101631351959
1998,wholesale_value,sal,208.3,1066.6000000000001,0.19529345584099006
1999,landed_value,fis,285.2,612.5,0.4656326530612245
1999,landed_value,mar,301,612.5,0.49142857142857144
1999,landed_value,sal,26.3,612.5,0.042938775510204086
1999,weight,fis,188.5,261.6,0.7205657492354739
1999,weight,mar,56.1,261.6,0.21444954128440366
1999,weight,sal,17,261.6,0.06498470948012232
1999,wholesale_value,fis,486,1008.5,0.48190381755081807
1999,wholesale_value,mar,352,1008.5,0.3490332176499752
1999,wholesale_value,sal,170.5,1008.5,0.16906296479920674
2001,landed_value,fis,302.2,627.4,0.48167038571883963
2001,landed_value,mar,288.09999999999997,627.4,0.45919668473063435
2001,landed_value,sal,37.1,627.4,0.05913292955052599
2001,weight,fis,162,263.6,0.6145675265553869
2001,weight,mar,76.9,263.6,0.2917298937784522
2001,weight,sal,24.7,263.6,0.09370257966616084
2001,wholesale_value,fis,521.1,1031.6,0.5051376502520357
2001,wholesale_value,mar,348.6,1031.6,0.3379216750678558
2001,wholesale_value,sal,161.9,1031.6,0.15694067468010858
2002,landed_value,fis,301.40000000000003,662.9,0.45466887916729526
2002,landed_value,mar,304.2,662.9,0.45889274400362046
2002,landed_value,sal,57.3,662.9,0.08643837682908433
2002,weight,fis,166.4,293.2,0.567530695770805
2002,weight,mar,93.5,293.2,0.3188949522510232
2002,weight,sal,33.3,293.2,0.1135743519781719
2002,wholesale_value,fis,569.6,1135.5,0.501629238221048
2002,wholesale_value,mar,367.29999999999995,1135.5,0.3234698370761779
2002,wholesale_value,sal,198.6,1135.5,0.1749009247027741
2003,landed_value,fis,321.1,644.6,0.49813838039094016
2003,landed_value,mar,274.7,644.6,0.4261557555072913
2003,landed_value,sal,48.8,644.6,0.07570586410176854
2003,weight,fis,187.5,309.2,0.6064036222509702
2003,weight,mar,83.10000000000001,309.2,0.26875808538163004
2003,weight,sal,38.6,309.2,0.12483829236739975
2003,wholesale_value,fis,606.4,1130.1,0.5365896823289975
2003,wholesale_value,mar,335.3,1130.1,0.29669940713211224
2003,wholesale_value,sal,188.4,1130.1,0.1667109105388904
2004,landed_value,fis,313.1,609,0.5141215106732349
2004,landed_value,mar,242.7,609,0.3985221674876847
2004,landed_value,sal,53.2,609,0.08735632183908046
2004,weight,fis,235.6,333.4,0.7066586682663467
2004,weight,mar,71.89999999999999,333.4,0.21565686862627473
2004,weight,sal,25.9,333.4,0.07768446310737853
2004,wholesale_value,fis,550.4,1086.3999999999999,0.5066273932253315
2004,wholesale_value,mar,315.9,1086.3999999999999,0.29077687776141387
2004,wholesale_value,sal,220.1,1086.3999999999999,0.20259572901325482
2005,landed_value,fis,313.09999999999997,686.1,0.4563474712141087
2005,landed_value,mar,339,686.1,0.4940970703979012
2005,landed_value,sal,34,686.1,0.04955545838799009
2005,weight,fis,222.6,330.7,0.6731176292712429
2005,weight,mar,80.9,330.7,0.24463259752041128
2005,weight,sal,27.2,330.7,0.08224977320834594
2005,wholesale_value,fis,543.1,1167.1,0.4653414446062891
2005,wholesale_value,mar,405.09999999999997,1167.1,0.34709964870191073
2005,wholesale_value,sal,218.9,1167.1,0.1875589066918002
2006,landed_value,fis,283.8,771.5,0.3678548282566429
2006,landed_value,mar,428.9,771.5,0.5559300064808814
2006,landed_value,sal,58.8,771.5,0.0762151652624757
2006,weight,fis,192.6,304.2,0.6331360946745562
2006,weight,mar,88.1,304.2,0.289612097304405
2006,weight,sal,23.5,304.2,0.07725180802103879
2006,wholesale_value,fis,520,1229.8,0.42283298097251587
2006,wholesale_value,mar,482.2,1229.8,0.3920962758172061
2006,wholesale_value,sal,227.6,1229.8,0.18507074321027808
2007,landed_value,fis,280.2,722.2,0.3879811686513431
2007,landed_value,mar,410.40000000000003,722.2,0.5682636388811964
2007,landed_value,sal,31.6,722.2,0.043755192467460534
2007,weight,fis,158.6,268.7,0.5902493487160402
2007,weight,mar,89.9,268.7,0.33457387420915524
2007,weight,sal,20.2,268.7,0.07517677707480462
2007,wholesale_value,fis,578,1267.8,0.4559078719040858
2007,wholesale_value,mar,507.7,1267.8,0.400457485407793
2007,wholesale_value,sal,182.1,1267.8,0.14363464268812115
2008,landed_value,fis,252.9,709.2,0.3565989847715736
2008,landed_value,mar,434.5,709.2,0.6126621545403271
2008,landed_value,sal,21.8,709.2,0.030738860688099265
2008,weight,fis,157,253.8,0.6185973207249803
2008,weight,mar,91.4,253.8,0.36012608353033887
2008,weight,sal,5.4,253.8,0.02127659574468085
2008,wholesale_value,fis,568.4,1239.8,0.4584610421035651
2008,wholesale_value,mar,533.3,1239.8,0.4301500241974512
2008,wholesale_value,sal,138.1,1239.8,0.1113889336989837
2009,landed_value,fis,253.4,699.9,0.36205172167452493
2009,landed_value,mar,422.8,699.9,0.6040862980425775
2009,landed_value,sal,23.7,699.9,0.03386198028289756
2009,weight,fis,150.3,254.9,0.5896429972538251
2009,weight,mar,86.1,254.9,0.33777952138093364
2009,weight,sal,18.5,254.9,0.07257748136524127
2009,wholesale_value,fis,592.6,1272.2,0.46580726300896086
2009,wholesale_value,mar,536.1,1272.2,0.4213960069171514
2009,wholesale_value,sal,143.5,1272.2,0.11279673007388775
2010,landed_value,fis,264.1,873.3,0.30241612275277685
2010,landed_value,mar,538.6,873.3,0.6167410969884347
2010,landed_value,sal,70.6,873.3,0.08084278025878851
2010,weight,fis,151.29999999999998,266.5,0.5677298311444652
2010,weight,mar,91.60000000000001,266.5,0.3437148217636023
2010,weight,sal,23.6,266.5,0.08855534709193247
2010,wholesale_value,fis,591.7,1431.6,0.41331377479742953
2010,wholesale_value,mar,599,1431.6,0.41841296451522775
2010,wholesale_value,sal,240.9,1431.6,0.16827326068734286
2011,landed_value,fis,299.9,813.4,0.36869928694369314
2011,landed_value,mar,465.5,813.4,0.572289156626506
2011,landed_value,sal,48,813.4,0.05901155642980084
2011,weight,fis,150.2,264.4,0.5680786686838124
2011,weight,mar,93.5,264.4,0.35363086232980334
2011,weight,sal,20.7,264.4,0.07829046898638427
2011,wholesale_value,fis,625.4,1399.8,0.44677811115873695
2011,wholesale_value,mar,552.8,1399.8,0.3949135590798685
2011,wholesale_value,sal,221.6,1399.8,0.15830832976139447
2012,landed_value,fis,277.5,704.4,0.39395229982964225
2012,landed_value,mar,400.5,704.4,0.5685689948892675
2012,landed_value,sal,26.4,704.4,0.03747870528109029
2012,weight,fis,137.4,234.60000000000002,0.5856777493606138
2012,weight,mar,88.2,234.60000000000002,0.37595907928388744
2012,weight,sal,9,234.60000000000002,0.038363171355498715
2012,wholesale_value,fis,585.6,1249.7,0.4685924621909258
2012,wholesale_value,mar,495.9,1249.7,0.3968152356565575
2012,wholesale_value,sal,168.2,1249.7,0.13459230215251658
2013,landed_value,fis,279.1,775.3000000000001,0.35998968141364635
2013,landed_value,mar,451,775.3000000000001,0.5817103056881207
2013,landed_value,sal,45.2,775.3000000000001,0.05830001289823294
2013,weight,fis,137.9,241.8,0.5703060380479735
2013,weight,mar,72.3,241.8,0.2990074441687345
2013,weight,sal,31.6,241.8,0.130686517783292
2013,wholesale_value,fis,606.6,1310.2,0.46298275072508016
2013,wholesale_value,mar,525.1,1310.2,0.40077850709815294
2013,wholesale_value,sal,178.5,1310.2,0.1362387421767669
2014,landed_value,fis,290.8,828.3000000000001,0.3510805263793311
2014,landed_value,mar,412.8,828.3000000000001,0.4983701557406736
2014,landed_value,sal,124.7,828.3000000000001,0.15054931787999515
2014,weight,fis,125.4,240.4,0.521630615640599
2014,weight,mar,73.3,240.4,0.30490848585690516
2014,weight,sal,41.7,240.4,0.17346089850249585
2014,wholesale_value,fis,588.9,1440.1,0.4089299354211513
2014,wholesale_value,mar,543.9,1440.1,0.3776821054093466
2014,wholesale_value,sal,307.3,1440.1,0.21338795916950215
2015,landed_value,fis,318.3,867.4,0.36695872723080475
2015,landed_value,mar,497.20000000000005,867.4,0.5732072861424948
2015,landed_value,sal,51.9,867.4,0.05983398662670048
2015,weight,fis,138.7,254.9,0.5441349548842683
2015,weight,mar,96,254.9,0.37661828167908984
2015,weight,sal,20.2,254.9,0.07924676343664182
2015,wholesale_value,fis,600.7,1431.8,0.4195418354518788
2015,wholesale_value,mar,658.3,1431.8,0.45977091772593937
2015,wholesale_value,sal,172.8,1431.8,0.12068724682218188
