"year","assessed_landings","total_landings","prop_land_ass"
2013,82.8,137.9,0.600435097897027
2014,47.4,125.4,0.37799043062201
2015,47.3,138.7,0.341023792357606
2011,91.5,150.2,0.609187749667111
2012,77.4,137.4,0.563318777292576
2010,94,151.3,0.62128222075347
2009,94,150.3,0.625415834996673
2008,111.7,159.5,0.700313479623825
2007,116.2,159.7,0.727614276768942
2004,172.9,243.1,0.711229946524064
2005,147.6,227.7,0.648221343873518
2006,140.4,199.3,0.704465629703964
2003,116.6,187.7,0.621204049014385
2002,97.9,166.4,0.588341346153846
2001,99.2,162,0.612345679012346
2000,68.4,126.7,0.539857932123125
1999,133.6,188.5,0.708753315649867
1998,131.2,193.9,0.676637441980402
