rgn_id,stockid,area_km2
5,CROCKWCVANISOGQCI,22419.614
6,CROCKWCVANISOGQCI,8024.813
1,CROCKWCVANISOGQCI,16869.771
2,CROCKWCVANISOGQCI,40254.033
3,CROCKWCVANISOGQCI,20205.284
4,CROCKWCVANISOGQCI,12617.02
8,CROCKWCVANISOGQCI,3181.527
7,CROCKWCVANISOGQCI,2611.813
5,EULAPCOASTFRDU,704.163
6,EULAPCOASTFRDU,1632.973
3,HERRCC,3304.069
8,HERRCC,266.186
1,HERRPRD,5172.044
2,HERRQCI,1520.403
5,HERRSOG,1413.171
6,HERRSOG,7282.666
4,HERRSOG,3611.964
5,HERRWCVANI,25845.526
4,HERRWCVANI,3817.328
7,HERRWCVANI,147691.781
5,BIGSKA3CD,25845.526
4,BIGSKA3CD,3817.328
7,BIGSKA3CD,147691.781
5,BIGSKA4B,1413.171
6,BIGSKA4B,7282.666
4,BIGSKA4B,3611.964
2,BIGSKA5AB,8688.437
3,BIGSKA5AB,17283.416
4,BIGSKA5AB,5317.24
8,BIGSKA5AB,83.206
7,BIGSKA5AB,77166.98
1,BIGSKA5CDE,16289.563
2,BIGSKA5CDE,36463.267
3,BIGSKA5CDE,2218.376
8,BIGSKA5CDE,3063.401
7,BIGSKA5CDE,83371.474
5,BOCACCBCW,22419.614
6,BOCACCBCW,8024.813
1,BOCACCBCW,16869.771
2,BOCACCBCW,40254.033
3,BOCACCBCW,20205.284
4,BOCACCBCW,12617.02
8,BOCACCBCW,3181.527
7,BOCACCBCW,2611.813
1,ESOLEHS,16289.563
2,ESOLEHS,36463.267
3,ESOLEHS,2218.376
8,ESOLEHS,3063.401
7,ESOLEHS,83371.474
5,LINGCODSOG,1413.171
6,LINGCODSOG,7282.666
4,LINGCODSOG,3611.964
5,LNOSESKA3CD,25845.526
4,LNOSESKA3CD,3817.328
7,LNOSESKA3CD,147691.781
5,LNOSESKA4B,1413.171
6,LNOSESKA4B,7282.666
4,LNOSESKA4B,3611.964
2,LNOSESKA5AB,8688.437
3,LNOSESKA5AB,17283.416
4,LNOSESKA5AB,5317.24
8,LNOSESKA5AB,83.206
7,LNOSESKA5AB,77166.98
1,LNOSESKA5CDE,16289.563
2,LNOSESKA5CDE,36463.267
3,LNOSESKA5CDE,2218.376
8,LNOSESKA5CDE,3063.401
7,LNOSESKA5CDE,83371.474
2,PCOD5AB,8688.437
3,PCOD5AB,17283.416
4,PCOD5AB,5317.24
8,PCOD5AB,83.206
7,PCOD5AB,77166.98
1,PCODHS,16289.563
2,PCODHS,36463.267
3,PCODHS,2218.376
8,PCODHS,3063.401
7,PCODHS,83371.474
5,PCODWCVANI,25845.526
4,PCODWCVANI,3817.328
7,PCODWCVANI,147691.781
2,RSOLE5AB,8688.437
3,RSOLE5AB,17283.416
4,RSOLE5AB,5317.24
8,RSOLE5AB,83.206
7,RSOLE5AB,77166.98
1,RSOLEHSTR,16289.563
2,RSOLEHSTR,36463.267
3,RSOLEHSTR,2218.376
8,RSOLEHSTR,3063.401
7,RSOLEHSTR,83371.474
5,SABLEFPCAN,28112.45
6,SABLEFPCAN,8104.505
1,SABLEFPCAN,17411.489
2,SABLEFPCAN,45944.503
3,SABLEFPCAN,20431.85
4,SABLEFPCAN,13632.793
8,SABLEFPCAN,3201.815
7,SABLEFPCAN,315764.157
5,SARDBC,14233.561
4,SARDBC,2407.182
6,PANDALSMA14,1642.397
6,PANDALSMA16,1142.425
5,PANDALSMA18-19,530.896
6,PANDALSMA18-19,630.592
6,PANDALSMAFR,2131.677
6,PANDALSMAGTSE,803.852
4,PANDALSMAGTSE,869.431
1,PANDALSMAPRD,4653.122
2,PANDALSMAPRD,1027.15
1,PERCHQCI,9192.315
2,PERCHQCI,19336.618
3,PERCHQCI,20071.136
4,PERCHQCI,7265.741
8,PERCHQCI,3181.532
7,PERCHQCI,35101.1
5,PERCHWCVANI,25845.526
4,PERCHWCVANI,3817.328
7,PERCHWCVANI,147691.781
5,QROCKPCOASTIN,1700.008
6,QROCKPCOASTIN,8104.636
4,QROCKPCOASTIN,4096.768
5,QROCKPCOASTOUT,26412.579
1,QROCKPCOASTOUT,17411.398
2,QROCKPCOASTOUT,45944.315
3,QROCKPCOASTOUT,20431.99
4,QROCKPCOASTOUT,9536.367
8,QROCKPCOASTOUT,3201.783
7,QROCKPCOASTOUT,315764.157
6,SSHRIMPSMAGTSE,803.852
4,SSHRIMPSMAGTSE,869.431
1,SSHRIMPSMAPRD,4653.122
2,SSHRIMPSMAPRD,1027.15
6,SSSHRIMPSMA14,1642.397
6,SSSHRIMPSMA16,1142.425
5,SSSHRIMPSMA18-19,530.896
6,SSSHRIMPSMA18-19,630.592
6,SSSHRIMPSMAFR,2131.677
5,YEYEROCKPCOASTIN,1700.008
6,YEYEROCKPCOASTIN,8104.636
4,YEYEROCKPCOASTIN,4096.768
5,BIGEYEEPAC,26819.775
6,BIGEYEEPAC,6868.36
4,BIGEYEEPAC,239.675
