rgn_name,year,species,stockid,catch,rgn_catch,rgn_ass_catch_prop
West Vancouver Island,2014,bocaccio,BOCACCBCW,19737.6,31301029.080000002,6.305735172333828e-4
North Coast,2014,bocaccio,BOCACCBCW,199.33,830930.46,2.3988770371951464e-4
Haida Gwaii,2014,bocaccio,BOCACCBCW,4705.86,5381161.89,8.745063048084584e-4
Central Coast,2014,bocaccio,BOCACCBCW,8143.07,2235712.94,0.0036422699239733345
North Vancouver Island,2014,bocaccio,BOCACCBCW,7208.41,4623223.77,0.0015591739354636517
West Vancouver Island,2013,bocaccio,BOCACCBCW,15713.47,31231243.810000002,5.031330194722718e-4
Strait of Georgia,2013,bocaccio,BOCACCBCW,0,2220359.48,0
North Coast,2013,bocaccio,BOCACCBCW,305.83,1183364.02,2.584411853252053e-4
Haida Gwaii,2013,bocaccio,BOCACCBCW,6325.66,5786972.91,0.0010930861606538952
Central Coast,2013,bocaccio,BOCACCBCW,7907.35,4682897.63,0.0016885592265231731
North Vancouver Island,2013,bocaccio,BOCACCBCW,10108.84,18195198.150000002,5.555773515992184e-4
West Vancouver Island,2012,bocaccio,BOCACCBCW,13985.75,27955083.53,5.002936222669909e-4
Strait of Georgia,2012,bocaccio,BOCACCBCW,7.99,459578.76,1.7385485787028104e-5
North Coast,2012,bocaccio,BOCACCBCW,331.84,1012947.5,3.2759841946399e-4
Haida Gwaii,2012,bocaccio,BOCACCBCW,9444.69,5858837.890000001,0.0016120415306455935
Central Coast,2012,bocaccio,BOCACCBCW,15092.54,6651097.05,0.002269180540674865
North Vancouver Island,2012,bocaccio,BOCACCBCW,29982.51,15882505.030000001,0.001887769589454995
Pacific Offshore,2012,bocaccio,BOCACCBCW,0,308783.42000000004,0
West Vancouver Island,2011,bocaccio,BOCACCBCW,18401.75,37483061.97,4.909350792826918e-4
North Coast,2011,bocaccio,BOCACCBCW,100.56,1116084.9,9.010067244884328e-5
Haida Gwaii,2011,bocaccio,BOCACCBCW,4503.77,6398602.08,7.03867804825269e-4
Central Coast,2011,bocaccio,BOCACCBCW,21585.23,9315430.09,0.0023171479782958687
North Vancouver Island,2011,bocaccio,BOCACCBCW,24386.73,12880619.940000001,0.001893288530645055
Aristazabal Island,2011,bocaccio,BOCACCBCW,22.77,30500.67,7.465409776244259e-4
West Vancouver Island,2010,bocaccio,BOCACCBCW,15512.27,48255117.88,3.2146372616010695e-4
Strait of Georgia,2010,bocaccio,BOCACCBCW,0,5777.28,0
North Coast,2010,bocaccio,BOCACCBCW,509.09,1510411.17,3.370539162524864e-4
Haida Gwaii,2010,bocaccio,BOCACCBCW,6888.77,9266914.43,7.433725704533133e-4
Central Coast,2010,bocaccio,BOCACCBCW,12527.43,8696099.86,0.0014405802833087522
North Vancouver Island,2010,bocaccio,BOCACCBCW,14632.72,2632440.65,0.005558613448702063
Aristazabal Island,2010,bocaccio,BOCACCBCW,20.98,50359.26,4.166065982701096e-4
Pacific Offshore,2010,bocaccio,BOCACCBCW,0,366517.52,0
West Vancouver Island,2009,bocaccio,BOCACCBCW,16530.3,37271476.04,4.435107421627083e-4
Strait of Georgia,2009,bocaccio,BOCACCBCW,0,39409.399999999994,0
North Coast,2009,bocaccio,BOCACCBCW,699.88,842187.1699999999,8.310266707102651e-4
Haida Gwaii,2009,bocaccio,BOCACCBCW,8229.78,7717113.55,0.0010664324098224524
Central Coast,2009,bocaccio,BOCACCBCW,17854.42,12261406.66,0.0014561477728526784
