rgn_id,n_tot,n_phi,ref,potential,rgn_name,rgn_code
1,17486,12291,mean_prod,1062.0190885200552,North Coast,NC
2,46041,20720,mean_prod,1077.282864092664,Haida Gwaii,HG
3,20528,12504,mean_prod,1022.7563642034548,Central Coast,CC
4,13719,5086,mean_prod,990.2575267400708,North Vancouver Island,NV
5,28153,2929,mean_prod,989.7095670877433,West Vancouver Island,WV
6,8142,682,mean_prod,933.017719941349,Strait of Georgia,SG
7,315882,26,mean_prod,1132.2278846153845,Pacific Offshore,PO
8,3211,2270,mean_prod,1054.4361911894273,Aristazabal Island,AZ
1,17486,12291,highR_prod,1164.272,North Coast,NC
2,46041,20720,highR_prod,1262.131,Haida Gwaii,HG
3,20528,12504,highR_prod,1104.251,Central Coast,CC
4,13719,5086,highR_prod,1042.231,North Vancouver Island,NV
5,28153,2929,highR_prod,1027.769,West Vancouver Island,WV
6,8142,682,highR_prod,1026.849,Strait of Georgia,SG
7,315882,26,highR_prod,1144.791,Pacific Offshore,PO
8,3211,2270,highR_prod,1098.13,Aristazabal Island,AZ
1,17486,12291,lowR_prod,983.2728376877858,North Coast,NC
2,46041,20720,lowR_prod,992.6855891165668,Haida Gwaii,HG
3,20528,12504,lowR_prod,960.0285967599647,Central Coast,CC
4,13719,5086,lowR_prod,934.2573639611034,North Vancouver Island,NV
5,28153,2929,lowR_prod,935.6657409948542,West Vancouver Island,WV
6,8142,682,lowR_prod,859.4768820826953,Strait of Georgia,SG
7,315882,26,lowR_prod,1041.3305384615385,Pacific Offshore,PO
8,3211,2270,lowR_prod,983.0762286343612,Aristazabal Island,AZ
