filename,rgn_id,location,spp,area_km2
Finfish_Tenure_AtlanticSalmon,3,"Lochalsh Bay, Jackson Passage","Atlantic Salmon (Salmo salar) , Chinook Salmon (Oncorhynchus tshawytscha), Coho Salmon (Oncorhynchus kisutch), Black Cod (Anaplopoma fimbria)",0.181
Finfish_Tenure_AtlanticSalmon,3,Jackson Passage S.of Finlayson Channel,"Atlantic Salmon (Salmo salar) , Chinook Salmon (Oncorhynchus tshawytscha), Black Cod (Anaplopoma fimbria)",0.185
Finfish_Tenure_AtlanticSalmon,3,"Lime Bay, vicinity of Pooley Island",Atlantic Salmon (Salmo salar),0.837
Finfish_Tenure_AtlanticSalmon,3,"Goat Cove, Roderick Island","Atlantic Salmon (Salmo salar) , Chinook Salmon (Oncorhynchus tshawytscha), Black Cod (Anaplopoma fimbria)",0.732
Finfish_Tenure_AtlanticSalmon,3,Sheep Passage in vicinity of Pooley Isl.,Atlantic Salmon (Salmo salar),1.17
Finfish_Tenure_AtlanticSalmon,3,"Kid Bay, Roderick Island","Atlantic Salmon (Salmo salar) , Chinook Salmon (Oncorhynchus tshawytscha), Black Cod (Anaplopoma fimbria)",0.878
Finfish_Tenure_AtlanticSalmon,4,"Hardwicke Is. Site B, Chancellor Channel",Atlantic Salmon (Salmo salar),0.175
Finfish_Tenure_AtlanticSalmon,4,"West Thurlow Island, Chancellor Channel",Atlantic Salmon (Salmo salar),0.486
Finfish_Tenure_AtlanticSalmon,4,"Sonora Pt., Nodales Channel","Atlantic Salmon (Salmo salar) , Chinook Salmon (Oncorhynchus tshawytscha)",0.459
Finfish_Tenure_AtlanticSalmon,4,"Bickley Bay, East Thurlow Island","Atlantic Salmon (Salmo salar) , Chinook Salmon (Oncorhynchus tshawytscha), Black Cod (Anaplopoma fimbria)",0.172
Finfish_Tenure_AtlanticSalmon,4,Frederick Arm,"Atlantic Salmon (Salmo salar) , Chinook Salmon (Oncorhynchus tshawytscha), Black Cod (Anaplopoma fimbria)",0.189
Finfish_Tenure_AtlanticSalmon,4,SE Frederick Arm,Atlantic Salmon (Salmo salar),0.433
Finfish_Tenure_AtlanticSalmon,4,"Koskimo Bay, Quatsino Sound","Atlantic Salmon (Salmo salar) , Pacific Halibut (Hippoglossus stenolepis), Pilchard",0.255
Finfish_Tenure_AtlanticSalmon,4,"Althorpe, Sunderland Channel","Atlantic Salmon (Salmo salar) , Chinook Salmon (Oncorhynchus tshawytscha), Black Cod (Anaplopoma fimbria)",0.654
Finfish_Tenure_AtlanticSalmon,4,"Koskimo Islands, Quatsino Sound","Atlantic Salmon (Salmo salar) , Pacific Halibut (Hippoglossus stenolepis), Pilchard",0.303
Finfish_Tenure_AtlanticSalmon,4,"Egerton Creek, Frederick Arm",Atlantic Salmon (Salmo salar),0.315
Finfish_Tenure_AtlanticSalmon,4,"Shaw Point, Sunderland Channel","Atlantic Salmon (Salmo salar) , Chinook Salmon (Oncorhynchus tshawytscha), Black Cod (Anaplopoma fimbria)",0.359
Finfish_Tenure_AtlanticSalmon,4,"2km NE of Mahatta River, Quatsino Sound","Atlantic Salmon (Salmo salar) , Pacific Halibut (Hippoglossus stenolepis), Pilchard",0.294
Finfish_Tenure_AtlanticSalmon,4,"Farside, NW side Frederick Arm",Atlantic Salmon (Salmo salar),0.397
Finfish_Tenure_AtlanticSalmon,4,"Phillips Arm, Cardero Channel",Atlantic Salmon (Salmo salar),0.463
Finfish_Tenure_AtlanticSalmon,4,"Cleagh Creek, Quatsino Sound","Atlantic Salmon (Salmo salar) , Chinook Salmon (Oncorhynchus tshawytscha), Black Cod (Anaplopoma fimbria)",0.466
