rgn_id,n_tot,n_phi,ref,potential,rgn_name,rgn_code
1,17486,16314,mean_prod,135728498.73076946,North Coast,NC
2,46041,45358,mean_prod,138634899.9619503,Haida Gwaii,HG
3,20528,19067,mean_prod,137856580.89768103,Central Coast,CC
4,13719,12098,mean_prod,133823309.36403215,North Vancouver Island,NV
5,28153,27544,mean_prod,141212280.07148772,West Vancouver Island,WV
6,8142,7361,mean_prod,148081064.58809075,Strait of Georgia,SG
7,315882,315882,mean_prod,143642672.44762272,Pacific Offshore,PO
8,3211,3154,mean_prod,138512440.25890076,Aristazabal Island,AZ
1,17486,16314,lowR_prod,125644230.19961959,North Coast,NC
2,46041,45358,lowR_prod,127720911.29286076,Haida Gwaii,HG
3,20528,19067,lowR_prod,124080887.12661679,Central Coast,CC
4,13719,12098,lowR_prod,123009310.45293656,North Vancouver Island,NV
5,28153,27544,lowR_prod,133146054.4663363,West Vancouver Island,WV
6,8142,7361,lowR_prod,134327260.87348855,Strait of Georgia,SG
7,315882,315882,lowR_prod,133981652.15999292,Pacific Offshore,PO
8,3211,3154,lowR_prod,125246670.77925174,Aristazabal Island,AZ
