rgn_id,n_tot,n_phi,min_prod,max_prod,quants,prob_lvl
1,17486,16314,110309685,145536299,119882726.22999999,0.01
1,17486,16314,110309685,145536299,121104398.14,0.02
1,17486,16314,110309685,145536299,123725151.95,0.05
1,17486,16314,110309685,145536299,126657547.7,0.1
1,17486,16314,110309685,145536299,134073669.5,0.25
1,17486,16314,110309685,145536299,137837409.5,0.5
1,17486,16314,110309685,145536299,139224053,0.75
1,17486,16314,110309685,145536299,140266200.7,0.9
1,17486,16314,110309685,145536299,140877081.9,0.95
1,17486,16314,110309685,145536299,141373336.34,0.98
1,17486,16314,110309685,145536299,141768709.32,0.99
2,46041,45358,119343650,148509237,127115337.96000001,0.01
2,46041,45358,119343650,148509237,129337929.6,0.02
2,46041,45358,119343650,148509237,132676610.14999999,0.05
2,46041,45358,119343650,148509237,134783089.7,0.1
2,46041,45358,119343650,148509237,137894756.25,0.25
2,46041,45358,119343650,148509237,139330984.5,0.5
2,46041,45358,119343650,148509237,140387016.75,0.75
2,46041,45358,119343650,148509237,141305367.2,0.9
2,46041,45358,119343650,148509237,141891019.85,0.95
2,46041,45358,119343650,148509237,142670061.12,0.98
2,46041,45358,119343650,148509237,143544442.47,0.99
3,20528,19067,114374735,177015164,125246409.56,0.01
3,20528,19067,114374735,177015164,126256511.4,0.02
3,20528,19067,114374735,177015164,128724828.70000002,0.05
3,20528,19067,114374735,177015164,132663376,0.1
3,20528,19067,114374735,177015164,134983519.5,0.25
3,20528,19067,114374735,177015164,139555242,0.5
3,20528,19067,114374735,177015164,140677095,0.75
3,20528,19067,114374735,177015164,141671723.20000002,0.9
3,20528,19067,114374735,177015164,142427231.60000002,0.95
3,20528,19067,114374735,177015164,143010906.2,0.98
3,20528,19067,114374735,177015164,143422258.96,0.99
4,13719,12098,104546606,187715434,117077043.16000001,0.01
4,13719,12098,104546606,187715434,118282384,0.02
4,13719,12098,104546606,187715434,120706699.75,0.05
4,13719,12098,104546606,187715434,122927734,0.1
4,13719,12098,104546606,187715434,128029215,0.25
4,13719,12098,104546606,187715434,136483044,0.5
4,13719,12098,104546606,187715434,139677918.75,0.75
4,13719,12098,104546606,187715434,141810656,0.9
4,13719,12098,104546606,187715434,142384797.1,0.95
4,13719,12098,104546606,187715434,143107609.44,0.98
4,13719,12098,104546606,187715434,143620258.5,0.99
5,28153,27544,121204205,150280467,124115267.31,0.01
5,28153,27544,121204205,150280467,124862510.74,0.02
5,28153,27544,121204205,150280467,127452594.85,0.05
5,28153,27544,121204205,150280467,133179686.3,0.1
5,28153,27544,121204205,150280467,139555562.75,0.25
5,28153,27544,121204205,150280467,141915029,0.5
5,28153,27544,121204205,150280467,145098678.25,0.75
5,28153,27544,121204205,150280467,147182260.5,0.9
5,28153,27544,121204205,150280467,148040834.1,0.95
5,28153,27544,121204205,150280467,148714075.72,0.98
5,28153,27544,121204205,150280467,149050105.03,0.99
6,8142,7361,112429268,179951839,120363314.6,0.01
6,8142,7361,112429268,179951839,124860062,0.02
6,8142,7361,112429268,179951839,128475997,0.05
6,8142,7361,112429268,179951839,131896566,0.1
6,8142,7361,112429268,179951839,141219922,0.25
6,8142,7361,112429268,179951839,151471376,0.5
6,8142,7361,112429268,179951839,155736022,0.75
6,8142,7361,112429268,179951839,158535941,0.9
6,8142,7361,112429268,179951839,159844608,0.95
6,8142,7361,112429268,179951839,161266642.6,0.98
6,8142,7361,112429268,179951839,161916602.2,0.99
7,315882,315882,126098780,154168894,135138909.29,0.01
7,315882,315882,126098780,154168894,135978972.54000002,0.02
7,315882,315882,126098780,154168894,137761873,0.05
7,315882,315882,126098780,154168894,138760130.29999998,0.1
7,315882,315882,126098780,154168894,140221564.75,0.25
7,315882,315882,126098780,154168894,142745160.5,0.5
7,315882,315882,126098780,154168894,147105815.5,0.75
7,315882,315882,126098780,154168894,149929991.5,0.9
7,315882,315882,126098780,154168894,151104007.35,0.95
7,315882,315882,126098780,154168894,152613766.98000002,0.98
7,315882,315882,126098780,154168894,153068442.5,0.99
8,3211,3154,120330032,143829340,122331222,0.01
8,3211,3154,120330032,143829340,126215373.80000001,0.02
8,3211,3154,120330032,143829340,130786730.3,0.05
8,3211,3154,120330032,143829340,134172008.69999999,0.1
8,3211,3154,120330032,143829340,137017424.25,0.25
8,3211,3154,120330032,143829340,139981407.5,0.5
8,3211,3154,120330032,143829340,140901472.5,0.75
8,3211,3154,120330032,143829340,141604810.8,0.9
8,3211,3154,120330032,143829340,141906427.9,0.95
8,3211,3154,120330032,143829340,142214155.35999998,0.98
8,3211,3154,120330032,143829340,142505584.06,0.99
