loiczid,mean_cat_score,n_cat_species,n_trend_species,source,year
49060.0,0.12698412698412698,63,45,aquamaps,1965.0
49061.0,0.1125,64,47,aquamaps,1965.0
49780.0,0.075177304964539,141,118,aquamaps,1965.0
49781.0,0.06962962962962962,135,114,aquamaps,1965.0
50494.0,0.07237569060773481,181,155,aquamaps,1965.0
50495.0,0.07528735632183908,174,148,aquamaps,1965.0
50496.0,0.07935483870967742,155,130,aquamaps,1965.0
50497.0,0.07105263157894737,152,129,aquamaps,1965.0
50498.0,0.07200000000000001,150,127,aquamaps,1965.0
50499.0,0.07591240875912408,137,115,aquamaps,1965.0
50500.0,0.07323943661971831,142,120,aquamaps,1965.0
51209.0,0.017391304347826087,115,114,aquamaps,1965.0
51210.0,0.017391304347826087,115,114,aquamaps,1965.0
51211.0,0.016666666666666666,120,119,aquamaps,1965.0
51212.0,0.018571428571428572,140,138,aquamaps,1965.0
51213.0,0.031360946745562134,169,158,aquamaps,1965.0
51214.0,0.0679144385026738,187,162,aquamaps,1965.0
51215.0,0.07119565217391305,184,158,aquamaps,1965.0
51216.0,0.07784810126582278,158,133,aquamaps,1965.0
51217.0,0.07467532467532467,154,130,aquamaps,1965.0
51218.0,0.07516339869281045,153,129,aquamaps,1965.0
51219.0,0.07718120805369127,149,125,aquamaps,1965.0
51220.0,0.08156028368794327,141,117,aquamaps,1965.0
51223.0,0.08333333333333334,54,42,aquamaps,1965.0
51924.0,0.01694915254237288,118,117,aquamaps,1965.0
51925.0,0.017391304347826087,115,114,aquamaps,1965.0
51926.0,0.016666666666666666,120,119,aquamaps,1965.0
51927.0,0.01793103448275862,145,143,aquamaps,1965.0
51928.0,0.01756756756756757,148,146,aquamaps,1965.0
51929.0,0.017687074829931974,147,145,aquamaps,1965.0
51930.0,0.01652892561983471,121,120,aquamaps,1965.0
51931.0,0.02033898305084746,118,117,aquamaps,1965.0
51932.0,0.01935483870967742,124,123,aquamaps,1965.0
51933.0,0.023312883435582823,163,161,aquamaps,1965.0
51934.0,0.05506607929515419,227,203,aquamaps,1965.0
51935.0,0.07848837209302326,172,148,aquamaps,1965.0
51936.0,0.09602649006622517,151,125,aquamaps,1965.0
51937.0,0.08675496688741723,151,125,aquamaps,1965.0
51938.0,0.09703703703703703,135,109,aquamaps,1965.0
51939.0,0.08562091503267974,153,127,aquamaps,1965.0
51940.0,0.07572254335260116,173,147,aquamaps,1965.0
51941.0,0.09657534246575343,146,120,aquamaps,1965.0
51942.0,0.07705882352941176,170,144,aquamaps,1965.0
51943.0,0.07941176470588235,170,144,aquamaps,1965.0
52643.0,0.017241379310344827,116,115,aquamaps,1965.0
52644.0,0.017241379310344827,116,115,aquamaps,1965.0
52645.0,0.017543859649122806,114,113,aquamaps,1965.0
52646.0,0.017699115044247787,113,112,aquamaps,1965.0
52647.0,0.017094017094017096,117,116,aquamaps,1965.0
52648.0,0.01793103448275862,145,144,aquamaps,1965.0
52649.0,0.02956989247311828,186,175,aquamaps,1965.0
52650.0,0.018055555555555557,144,142,aquamaps,1965.0
52651.0,0.022388059701492536,134,133,aquamaps,1965.0
52652.0,0.021739130434782608,138,136,aquamaps,1965.0
52653.0,0.01875,128,127,aquamaps,1965.0
52654.0,0.029142857142857144,175,167,aquamaps,1965.0
52655.0,0.054824561403508776,228,204,aquamaps,1965.0
52656.0,0.06793478260869565,184,160,aquamaps,1965.0
52657.0,0.07175141242937853,177,152,aquamaps,1965.0
52658.0,0.07751937984496124,129,110,aquamaps,1965.0
52659.0,0.07383720930232558,172,147,aquamaps,1965.0
52660.0,0.07572254335260116,173,147,aquamaps,1965.0
52661.0,0.07453416149068323,161,137,aquamaps,1965.0
52662.0,0.0784431137724551,167,141,aquamaps,1965.0
52663.0,0.12142857142857143,98,72,aquamaps,1965.0
52664.0,0.13125,80,59,aquamaps,1965.0
53363.0,0.017241379310344827,116,115,aquamaps,1965.0
53364.0,0.017094017094017096,117,116,aquamaps,1965.0
53365.0,0.01639344262295082,122,121,aquamaps,1965.0
53366.0,0.01652892561983471,121,120,aquamaps,1965.0
53367.0,0.013675213675213675,117,116,aquamaps,1965.0
53368.0,0.013793103448275862,116,115,aquamaps,1965.0
53369.0,0.01694915254237288,118,117,aquamaps,1965.0
53370.0,0.016666666666666666,120,119,aquamaps,1965.0
53371.0,0.01680672268907563,119,118,aquamaps,1965.0
53372.0,0.01680672268907563,119,118,aquamaps,1965.0
53373.0,0.016129032258064516,124,123,aquamaps,1965.0
53374.0,0.01639344262295082,122,121,aquamaps,1965.0
53375.0,0.01818181818181818,143,141,aquamaps,1965.0
53376.0,0.05105485232067511,237,213,aquamaps,1965.0
53377.0,0.062254901960784315,204,179,aquamaps,1965.0
53378.0,0.07134831460674157,178,153,aquamaps,1965.0
53379.0,0.07407407407407407,135,116,aquamaps,1965.0
53380.0,0.05116279069767442,129,116,aquamaps,1965.0
53381.0,0.07359550561797754,178,152,aquamaps,1965.0
53382.0,0.07891566265060242,166,140,aquamaps,1965.0
53383.0,0.09591836734693877,147,121,aquamaps,1965.0
53384.0,0.08812500000000001,160,134,aquamaps,1965.0
53386.0,0.1236842105263158,76,56,aquamaps,1965.0
54084.0,0.017391304347826087,115,114,aquamaps,1965.0
54085.0,0.01694915254237288,118,117,aquamaps,1965.0
54086.0,0.01680672268907563,119,118,aquamaps,1965.0
54087.0,0.01391304347826087,115,114,aquamaps,1965.0
54088.0,0.013559322033898305,118,117,aquamaps,1965.0
54089.0,0.017241379310344827,116,115,aquamaps,1965.0
54090.0,0.017094017094017096,117,116,aquamaps,1965.0
54091.0,0.01694915254237288,118,117,aquamaps,1965.0
54092.0,0.017687074829931974,147,145,aquamaps,1965.0
54093.0,0.01818181818181818,143,141,aquamaps,1965.0
54094.0,0.016129032258064516,124,123,aquamaps,1965.0
54095.0,0.017241379310344827,116,115,aquamaps,1965.0
54096.0,0.015625,128,127,aquamaps,1965.0
54097.0,0.05336134453781513,238,213,aquamaps,1965.0
54098.0,0.05825688073394496,218,193,aquamaps,1965.0
54099.0,0.07175141242937853,177,152,aquamaps,1965.0
54100.0,0.04285714285714286,133,122,aquamaps,1965.0
54101.0,0.0528,125,112,aquamaps,1965.0
54102.0,0.07123287671232877,146,126,aquamaps,1965.0
54103.0,0.07705882352941176,170,144,aquamaps,1965.0
54104.0,0.07939393939393939,165,139,aquamaps,1965.0
54105.0,0.08493975903614458,166,140,aquamaps,1965.0
54106.0,0.1278481012658228,79,58,aquamaps,1965.0
54805.0,0.013559322033898305,118,117,aquamaps,1965.0
54806.0,0.013559322033898305,118,117,aquamaps,1965.0
54807.0,0.017094017094017096,117,116,aquamaps,1965.0
54808.0,0.01680672268907563,119,118,aquamaps,1965.0
54809.0,0.016666666666666666,120,119,aquamaps,1965.0
54810.0,0.01680672268907563,119,118,aquamaps,1965.0
54811.0,0.01639344262295082,122,121,aquamaps,1965.0
54812.0,0.016260162601626018,123,122,aquamaps,1965.0
54813.0,0.016,125,124,aquamaps,1965.0
54814.0,0.016260162601626018,123,122,aquamaps,1965.0
54815.0,0.01652892561983471,121,120,aquamaps,1965.0
